event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_mean_hop_4,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,weights_std_hop_4,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,hop_scalar_hop_4,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3,attention_norm_entropy_mean_hop_4,attention_mae_from_baseline_hop_4,attention_max_abs_diff_from_baseline_hop_4,attention_cosine_to_baseline_hop_4
forward,0,train,0,0.005,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5059391260147095, 0.4958987236022949, 0.5019015669822693, 0.4963279962539673, 0.5013452768325806]",,,,0,,,0.5125065445899963,0.4881509244441986,0.49279654026031494,0.4932721257209778,0.5133044123649597,0.040551379323005676,0.03877372667193413,0.03593102842569351,0.039484843611717224,0.03710852190852165,0.5059391260147095,0.4958987236022949,0.5019015669822693,0.4963279962539673,0.5013452768325806,,,,,,,,,,,,,,,,,,,,
backward,0,train,0,0.005,5,,,,,,,,,,,,0,0.04609072421880568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5046895742416382, 0.49464887380599976, 0.5006515979766846, 0.497577965259552, 0.5000952482223511]",,,,0,,,0.5257397294044495,0.47662991285324097,0.43869006633758545,0.5713564157485962,0.5051953792572021,0.0611841157078743,0.052328746765851974,0.046751756221055984,0.06111105531454086,0.04766123369336128,0.5046895742416382,0.49464887380599976,0.5006515979766846,0.497577965259552,0.5000952482223511,,,,,0.9781243205070496,nan,nan,nan,0.9928079843521118,nan,nan,nan,0.9869447350502014,nan,nan,nan,0.9823638796806335,nan,nan,nan
forward,0,test,0,0.005,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5046895742416382, 0.49464887380599976, 0.5006515979766846, 0.497577965259552, 0.5000952482223511]",,,,0,,,0.5257397294044495,0.47662991285324097,0.43869006633758545,0.5713564157485962,0.5051953792572021,0.0611841157078743,0.052328746765851974,0.046751756221055984,0.06111105531454086,0.04766123369336128,0.5046895742416382,0.49464887380599976,0.5006515979766846,0.497577965259552,0.5000952482223511,,,,,0.9781243205070496,nan,nan,nan,0.9928079843521118,nan,nan,nan,0.9869447350502014,nan,nan,nan,0.9823638796806335,nan,nan,nan
forward,50,train,0,0.00108,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5229791402816772, 0.5100299119949341, 0.5212717056274414, 0.5034013390541077, 0.4917946457862854]",,,,0,,,0.9711546897888184,0.8613368272781372,0.749968945980072,0.48326376080513,0.14808794856071472,0.05445558577775955,0.13687467575073242,0.18281109631061554,0.21842095255851746,0.11282894760370255,0.5229791402816772,0.5100299119949341,0.5212717056274414,0.5034013390541077,0.4917946457862854,,,,,,,,,,,,,,,,,,,,
backward,50,train,0,0.00108,5,,,,,,,,,,,,0,0.0042011551023328365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.00108,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5229879021644592, 0.5100484490394592, 0.5213004946708679, 0.5034290552139282, 0.4918181598186493]",,,,0,,,0.971598744392395,0.8669482469558716,0.7539113759994507,0.48417848348617554,0.14748504757881165,0.053075581789016724,0.1338099092245102,0.17791509628295898,0.21776144206523895,0.11193887889385223,0.5229879021644592,0.5100484490394592,0.5213004946708679,0.5034290552139282,0.4918181598186493,,,,,0.7517638802528381,0.1381225734949112,0.8591675162315369,0.9017423987388611,0.9574122428894043,0.013333596289157867,0.6716558933258057,0.954548716545105,0.8583729863166809,0.013278468511998653,0.8662687540054321,0.7031129002571106,0.9550125002861023,0.006428521126508713,0.7404204607009888,0.7016578316688538
forward,50,test,0,0.00108,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5229879021644592, 0.5100484490394592, 0.5213004946708679, 0.5034290552139282, 0.4918181598186493]",,,,0,,,0.971598744392395,0.8669482469558716,0.7539113759994507,0.48417848348617554,0.14748504757881165,0.053075581789016724,0.1338099092245102,0.17791509628295898,0.21776144206523895,0.11193887889385223,0.5229879021644592,0.5100484490394592,0.5213004946708679,0.5034290552139282,0.4918181598186493,,,,,0.7517638802528381,0.1381225734949112,0.8591675162315369,0.9017423987388611,0.9574122428894043,0.013333596289157867,0.6716558933258057,0.954548716545105,0.8583729863166809,0.013278468511998653,0.8662687540054321,0.7031129002571106,0.9550125002861023,0.006428521126508713,0.7404204607009888,0.7016578316688538
forward,100,train,0,0.000139968,5,4,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5231058597564697, 0.510337769985199, 0.5219478011131287, 0.5040411353111267, 0.492506206035614]",,,,0,,,0.9706593155860901,0.8662906289100647,0.753825306892395,0.48681265115737915,0.15182936191558838,0.05493394285440445,0.13489679992198944,0.17724472284317017,0.2196548581123352,0.11735299229621887,0.5231058597564697,0.510337769985199,0.5219478011131287,0.5040411353111267,0.492506206035614,,,,,,,,,,,,,,,,,,,,
backward,100,train,0,0.000139968,5,,,,,,,,,,,,0,0.0033502072926638693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
