epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_mean_hop_4,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,weights_std_hop_4,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,hop_scalar_hop_4
0,train,0,5,,,,"[251, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5059391260147095, 0.4958987236022949, 0.5019015669822693, 0.4963279962539673, 0.5013452768325806]",0.5125065445899963,0.4881509244441986,0.4927965402603149,0.4932721257209778,0.5133044123649597,0.0405513793230056,0.0387737266719341,0.0359310284256935,0.0394848436117172,0.0371085219085216,0.5059391260147095,0.4958987236022949,0.5019015669822693,0.4963279962539673,0.5013452768325806
0,val,0,5,,,,"[251, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5046895742416382, 0.49464887380599976, 0.5006515979766846, 0.497577965259552, 0.5000952482223511]",0.5257397294044495,0.4766299128532409,0.4386900663375854,0.5713564157485962,0.5051953792572021,0.0611841157078743,0.0523287467658519,0.0467517562210559,0.0611110553145408,0.0476612336933612,0.5046895742416382,0.4946488738059997,0.5006515979766846,0.497577965259552,0.5000952482223511
0,test,0,5,,,,"[251, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5046895742416382, 0.49464887380599976, 0.5006515979766846, 0.497577965259552, 0.5000952482223511]",0.5257397294044495,0.4766299128532409,0.4386900663375854,0.5713564157485962,0.5051953792572021,0.0611841157078743,0.0523287467658519,0.0467517562210559,0.0611110553145408,0.0476612336933612,0.5046895742416382,0.4946488738059997,0.5006515979766846,0.497577965259552,0.5000952482223511
50,train,0,5,,,,"[251, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5229791402816772, 0.5100299119949341, 0.5212717056274414, 0.5034013390541077, 0.4917946457862854]",0.9711546897888184,0.8613368272781372,0.749968945980072,0.48326376080513,0.1480879485607147,0.0544555857777595,0.1368746757507324,0.1828110963106155,0.2184209525585174,0.1128289476037025,0.5229791402816772,0.5100299119949341,0.5212717056274414,0.5034013390541077,0.4917946457862854
50,val,0,5,,,,"[251, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5229879021644592, 0.5100484490394592, 0.5213004946708679, 0.5034290552139282, 0.4918181598186493]",0.971598744392395,0.8669482469558716,0.7539113759994507,0.4841784834861755,0.1474850475788116,0.0530755817890167,0.1338099092245102,0.1779150962829589,0.2177614420652389,0.1119388788938522,0.5229879021644592,0.5100484490394592,0.5213004946708679,0.5034290552139282,0.4918181598186493
50,test,0,5,,,,"[251, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5229879021644592, 0.5100484490394592, 0.5213004946708679, 0.5034290552139282, 0.4918181598186493]",0.971598744392395,0.8669482469558716,0.7539113759994507,0.4841784834861755,0.1474850475788116,0.0530755817890167,0.1338099092245102,0.1779150962829589,0.2177614420652389,0.1119388788938522,0.5229879021644592,0.5100484490394592,0.5213004946708679,0.5034290552139282,0.4918181598186493
100,train,0,5,,,,"[251, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5231058597564697, 0.510337769985199, 0.5219478011131287, 0.5040411353111267, 0.492506206035614]",0.97065931558609,0.8662906289100647,0.753825306892395,0.4868126511573791,0.1518293619155883,0.0549339428544044,0.1348967999219894,0.1772447228431701,0.2196548581123352,0.1173529922962188,0.5231058597564697,0.510337769985199,0.5219478011131287,0.5040411353111267,0.492506206035614
100,val,0,5,,,,"[251, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5231065154075623, 0.5103400349617004, 0.5219511985778809, 0.5040462017059326, 0.49251070618629456]",0.9715557098388672,0.8681347370147705,0.7573533058166504,0.4871162474155426,0.1496421694755554,0.0529142655432224,0.1320991516113281,0.1736699938774109,0.2168285846710205,0.1129065081477165,0.5231065154075623,0.5103400349617004,0.5219511985778809,0.5040462017059326,0.4925107061862945
100,test,0,5,,,,"[251, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5231065154075623, 0.5103400349617004, 0.5219511985778809, 0.5040462017059326, 0.49251070618629456]",0.9715557098388672,0.8681347370147705,0.7573533058166504,0.4871162474155426,0.1496421694755554,0.0529142655432224,0.1320991516113281,0.1736699938774109,0.2168285846710205,0.1129065081477165,0.5231065154075623,0.5103400349617004,0.5219511985778809,0.5040462017059326,0.4925107061862945
150,train,0,5,,,,"[251, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[251, 5]",,"[251, 5, 64]","[false, false, false, false, false]","[0.5231179594993591, 0.5103808045387268, 0.5220295190811157, 0.5041418671607971, 0.4926019310951233]",0.9707638025283812,0.8662137985229492,0.7531386017799377,0.4910551309585571,0.1533143371343612,0.0543208271265029,0.1362760215997696,0.179533839225769,0.2227564454078674,0.1175362318754196,0.5231179594993591,0.5103808045387268,0.5220295190811157,0.5041418671607971,0.4926019310951233
