epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.5677146911621094,1.4201828241348267,1.4081968069076538,0.425,0.525,0.5490196078431373,0.005,0.525,0.5490196078431373,0,Accuracy,higher,final,0
1,2.1976916790008545,1.3008649349212646,1.322554588317871,0.5416666666666666,0.6125,0.6078431372549019,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
2,1.7640284299850464,1.3000681400299072,1.3518476486206055,0.525,0.55,0.43137254901960786,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
3,1.7887712717056274,1.2439521551132202,1.329254150390625,0.55,0.55,0.49019607843137253,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
4,2.1186845302581787,1.1629753112792969,1.2751082181930542,0.6083333333333333,0.5875,0.5098039215686274,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
5,1.7201024293899536,1.1501346826553345,1.2926193475723267,0.6,0.6125,0.5490196078431373,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
6,1.6939021348953247,1.1979827880859375,1.361006498336792,0.625,0.6125,0.5098039215686274,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
7,1.8206787109375,1.276052474975586,1.4539810419082642,0.575,0.5125,0.5098039215686274,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
8,1.7988792657852173,1.3041902780532837,1.4967457056045532,0.5666666666666667,0.475,0.49019607843137253,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
9,1.478732943534851,1.3117531538009644,1.534929871559143,0.49166666666666664,0.375,0.43137254901960786,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
10,1.7328166961669922,1.2633070945739746,1.490870714187622,0.5416666666666666,0.3875,0.43137254901960786,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
11,1.6120256185531616,1.2006984949111938,1.4161490201950073,0.5916666666666667,0.45,0.43137254901960786,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
12,1.5299301147460938,1.1461442708969116,1.3561936616897583,0.625,0.5,0.45098039215686275,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
13,2.0475761890411377,1.1040072441101074,1.3269463777542114,0.6833333333333333,0.55,0.45098039215686275,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
14,1.360748291015625,1.080141305923462,1.3127425909042358,0.7333333333333333,0.6125,0.49019607843137253,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
15,1.4683918952941895,1.0636470317840576,1.3009108304977417,0.75,0.5875,0.47058823529411764,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
16,1.733686923980713,1.064516305923462,1.311018943786621,0.7333333333333333,0.6125,0.4117647058823529,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
17,1.5385024547576904,1.0655336380004883,1.3304286003112793,0.75,0.5875,0.4117647058823529,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
18,1.5655643939971924,1.0691709518432617,1.3362199068069458,0.7416666666666667,0.5875,0.43137254901960786,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
19,1.2346844673156738,1.0681194067001343,1.3367986679077148,0.7416666666666667,0.5875,0.4117647058823529,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
20,1.2388588190078735,1.0605757236480713,1.3293546438217163,0.75,0.5875,0.39215686274509803,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
21,1.4825180768966675,1.0562975406646729,1.3273926973342896,0.75,0.6,0.39215686274509803,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
22,1.2805678844451904,1.051999807357788,1.317347526550293,0.7416666666666667,0.6,0.39215686274509803,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
23,1.142918348312378,1.0556751489639282,1.322080373764038,0.75,0.6125,0.39215686274509803,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
24,1.3685821294784546,1.054354190826416,1.3284878730773926,0.75,0.6125,0.4117647058823529,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
25,1.4144641160964966,1.05889892578125,1.3453516960144043,0.7583333333333333,0.6,0.39215686274509803,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
26,1.251538872718811,1.0616824626922607,1.3578826189041138,0.7583333333333333,0.575,0.39215686274509803,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
27,1.2173484563827515,1.0606902837753296,1.3671865463256836,0.75,0.575,0.39215686274509803,0.005,0.6125,0.6078431372549019,1,Accuracy,higher,final,0
