epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.8240551948547363,1.5071663856506348,1.4165680408477783,0.48333333333333334,0.5375,0.5686274509803921,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
1,1.4336426258087158,1.5601680278778076,1.535193920135498,0.39166666666666666,0.25,0.23529411764705882,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
2,1.2406764030456543,1.4739906787872314,1.3205417394638062,0.6083333333333333,0.45,0.37254901960784315,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
3,1.1651146411895752,1.3747470378875732,1.2197848558425903,0.6166666666666667,0.4875,0.45098039215686275,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
4,1.1192985773086548,1.2941935062408447,1.2721105813980103,0.6666666666666666,0.525,0.5294117647058824,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
5,1.0116673707962036,1.3069344758987427,1.3343234062194824,0.675,0.5,0.5686274509803921,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
6,1.0509155988693237,1.3055050373077393,1.3476907014846802,0.7,0.5,0.5098039215686274,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
7,0.8790807127952576,1.323553442955017,1.3768233060836792,0.7083333333333334,0.525,0.5098039215686274,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
8,0.8762937784194946,1.333928108215332,1.395993709564209,0.7,0.5125,0.45098039215686275,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
9,0.7810364961624146,1.3325936794281006,1.390505075454712,0.725,0.5,0.4117647058823529,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
10,0.8109720945358276,1.3281742334365845,1.3717429637908936,0.725,0.525,0.45098039215686275,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
11,0.7419546842575073,1.3480020761489868,1.3714594841003418,0.7333333333333333,0.4875,0.45098039215686275,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
12,0.7133575677871704,1.3795934915542603,1.3790439367294312,0.7333333333333333,0.475,0.45098039215686275,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
13,0.7163802981376648,1.4170304536819458,1.3821197748184204,0.7666666666666667,0.4625,0.45098039215686275,0.01,0.5375,0.5686274509803921,0,Accuracy,higher,final,0
