epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.5634526014328003,1.4193814992904663,1.3649158477783203,0.6416666666666667,0.575,0.6078431372549019,0.01,0.575,0.6078431372549019,0,Accuracy,higher,final,1
1,1.094180703163147,1.1751699447631836,1.083682656288147,0.85,0.6125,0.6078431372549019,0.01,0.6125,0.6078431372549019,1,Accuracy,higher,final,1
2,0.7203830480575562,1.1402467489242554,1.060064673423767,0.9,0.6875,0.6274509803921569,0.01,0.6875,0.6274509803921569,2,Accuracy,higher,final,1
3,0.4889290928840637,1.1484416723251343,1.115749478340149,0.9083333333333333,0.7,0.6470588235294118,0.01,0.7,0.6470588235294118,3,Accuracy,higher,final,1
4,0.33363035321235657,1.134112000465393,1.1882129907608032,0.9333333333333333,0.6875,0.6274509803921569,0.01,0.7,0.6470588235294118,3,Accuracy,higher,final,1
5,0.3274257779121399,1.07920241355896,1.2688162326812744,0.95,0.6875,0.6470588235294118,0.01,0.7,0.6470588235294118,3,Accuracy,higher,final,1
6,0.23395468294620514,1.0265579223632812,1.3621033430099487,0.9583333333333334,0.6875,0.6274509803921569,0.01,0.7,0.6470588235294118,3,Accuracy,higher,final,1
7,0.191868394613266,0.9967771768569946,1.4659184217453003,0.9583333333333334,0.725,0.6470588235294118,0.01,0.725,0.6470588235294118,7,Accuracy,higher,final,1
8,0.16362632811069489,0.998723030090332,1.5750411748886108,0.9833333333333333,0.7375,0.6470588235294118,0.01,0.7375,0.6470588235294118,8,Accuracy,higher,final,1
9,0.16463851928710938,1.0463472604751587,1.6539688110351562,1.0,0.725,0.6666666666666666,0.01,0.7375,0.6470588235294118,8,Accuracy,higher,final,1
10,0.15669764578342438,1.1412357091903687,1.7073005437850952,0.9916666666666667,0.7125,0.6862745098039216,0.01,0.7375,0.6470588235294118,8,Accuracy,higher,final,1
11,0.11323342472314835,1.262473702430725,1.7800532579421997,0.9916666666666667,0.725,0.7058823529411765,0.01,0.7375,0.6470588235294118,8,Accuracy,higher,final,1
