epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3
0,train,0,4,,,,"[183, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.49974003434181213, 0.49803590774536133, 0.494859904050827, 0.49454575777053833]",0.5163553357124329,0.5079928636550903,0.4740774631500244,0.5095248222351074,0.0461958833038806,0.0459717325866222,0.042530883103609,0.0443376339972019,0.4997400343418121,0.4980359077453613,0.494859904050827,0.4945457577705383
0,val,0,4,,,,"[183, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5009900331497192, 0.4967859387397766, 0.493610143661499, 0.49329593777656555]",0.5444490313529968,0.46332848072052,0.4788415431976318,0.5083701014518738,0.0342496447265148,0.0293968096375465,0.0290805585682392,0.0304178074002265,0.5009900331497192,0.4967859387397766,0.493610143661499,0.4932959377765655
0,test,0,4,,,,"[183, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5009900331497192, 0.4967859387397766, 0.493610143661499, 0.49329593777656555]",0.5444490313529968,0.46332848072052,0.4788415431976318,0.5083701014518738,0.0342496447265148,0.0293968096375465,0.0290805585682392,0.0304178074002265,0.5009900331497192,0.4967859387397766,0.493610143661499,0.4932959377765655
50,train,0,4,,,,"[183, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5232353210449219, 0.5088321566581726, 0.5038078427314758, 0.5026472806930542]",0.9797928333282472,0.5429908037185669,0.862354040145874,0.7793871760368347,0.0393195115029811,0.2424576133489608,0.1013086810708046,0.1191032752394676,0.5232353210449219,0.5088321566581726,0.5038078427314758,0.5026472806930542
50,val,0,4,,,,"[183, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5232589244842529, 0.5088614821434021, 0.503804087638855, 0.5026495456695557]",0.9823103547096252,0.5525003671646118,0.8704850673675537,0.7834665179252625,0.0340785421431064,0.2392557114362716,0.0910859331488609,0.1101637557148933,0.5232589244842529,0.5088614821434021,0.503804087638855,0.5026495456695557
50,test,0,4,,,,"[183, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5232589244842529, 0.5088614821434021, 0.503804087638855, 0.5026495456695557]",0.9823103547096252,0.5525003671646118,0.8704850673675537,0.7834665179252625,0.0340785421431064,0.2392557114362716,0.0910859331488609,0.1101637557148933,0.5232589244842529,0.5088614821434021,0.503804087638855,0.5026495456695557
100,train,0,4,,,,"[183, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5236997008323669, 0.5096568465232849, 0.504051685333252, 0.5027986764907837]",0.979036509990692,0.5621185302734375,0.8638483881950378,0.777130663394928,0.0462678484618663,0.2368215024471283,0.0983271077275276,0.1259124875068664,0.5236997008323669,0.5096568465232849,0.504051685333252,0.5027986764907837
100,val,0,4,,,,"[183, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5237033367156982, 0.5096595883369446, 0.5040560960769653, 0.5027986168861389]",0.9827350974082948,0.5629977583885193,0.8705229759216309,0.7809476256370544,0.0333833694458007,0.2390484511852264,0.0908573418855667,0.1106427609920501,0.5237033367156982,0.5096595883369446,0.5040560960769653,0.5027986168861389
100,test,0,4,,,,"[183, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5237033367156982, 0.5096595883369446, 0.5040560960769653, 0.5027986168861389]",0.9827350974082948,0.5629977583885193,0.8705229759216309,0.7809476256370544,0.0333833694458007,0.2390484511852264,0.0908573418855667,0.1106427609920501,0.5237033367156982,0.5096595883369446,0.5040560960769653,0.5027986168861389
150,train,0,4,,,,"[183, 4]",3.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3""]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.5237560868263245, 0.5097177028656006, 0.5040938258171082, 0.5028589367866516]",0.9811311960220336,0.5604755878448486,0.8691296577453613,0.7850911617279053,0.0366923995316028,0.2484636604785919,0.0999271273612976,0.1266113519668579,0.5237560868263245,0.5097177028656006,0.5040938258171082,0.5028589367866516
