event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.005,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.5008173584938049, 0.4957406520843506, 0.5006210803985596]",,,,0,,,0.5012004971504211,0.4955645799636841,0.49912887811660767,0.0028638304211199284,0.0023782423231750727,0.002949622692540288,0.5008173584938049,0.4957406520843506,0.5006210803985596,,,,,,,,,,,,
backward,0,train,0,0.005,3,,,,,,,,,,,,0,0.0004218713847823587,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.5020672678947449, 0.4944908916950226, 0.49937114119529724]",,,,0,,,0.5022406578063965,0.4940745532512665,0.4979739189147949,0.001845086575485766,0.001521807862445712,0.0018524955958127975,0.5020672678947449,0.4944908916950226,0.49937114119529724,,,,,0.999954879283905,nan,nan,nan,0.9999691247940063,nan,nan,nan
forward,0,test,0,0.005,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.5020672678947449, 0.4944908916950226, 0.49937114119529724]",,,,0,,,0.5022406578063965,0.4940745532512665,0.4979739189147949,0.001845086575485766,0.001521807862445712,0.0018524955958127975,0.5020672678947449,0.4944908916950226,0.49937114119529724,,,,,0.999954879283905,nan,nan,nan,0.9999691247940063,nan,nan,nan
forward,50,train,0,0.005,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.5722667574882507, 0.5325897932052612, 0.4965451657772064]",,,,0,,,0.6074038743972778,0.5278357863426208,0.48240333795547485,0.018725086003541946,0.013877062126994133,0.013139309361577034,0.5722667574882507,0.5325897932052612,0.4965451657772064,,,,,,,,,,,,
backward,50,train,0,0.005,3,,,,,,,,,,,,0,0.020792462049279526,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.005,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.57371985912323, 0.533414900302887, 0.4965839684009552]",,,,0,,,0.609870195388794,0.5288240909576416,0.48236533999443054,0.012521544471383095,0.01144343800842762,0.009634631685912609,0.57371985912323,0.533414900302887,0.4965839684009552,,,,,0.9999760985374451,0.0013516214676201344,0.035371243953704834,0.999971866607666,0.9999969601631165,0.0006245282711461186,0.019276171922683716,0.9999925494194031
forward,50,test,0,0.005,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.57371985912323, 0.533414900302887, 0.4965839684009552]",,,,0,,,0.609870195388794,0.5288240909576416,0.48236533999443054,0.012521544471383095,0.01144343800842762,0.009634631685912609,0.57371985912323,0.533414900302887,0.4965839684009552,,,,,0.9999760985374451,0.0013516213512048125,0.035371243953704834,0.999971866607666,0.9999969601631165,0.0006245282711461186,0.019276171922683716,0.9999925494194031
forward,100,train,0,0.005,3,2,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.6457610726356506, 0.5965347290039062, 0.512410044670105]",,,,0,,,0.7063174247741699,0.6075440645217896,0.5055019855499268,0.03442787751555443,0.01256830245256424,0.008259126916527748,0.6457610726356506,0.5965347290039062,0.512410044670105,,,,,,,,,,,,
backward,100,train,0,0.005,3,,,,,,,,,,,,0,0.029407752742006937,,,,,,,,,,,,,,,,,,,,,,
