epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
0,train,0,3,,,,"[7600, 3]",2.0,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.5008173584938049, 0.4957406520843506, 0.5006210803985596]",0.5012004971504211,0.4955645799636841,0.4991288781166076,0.0028638304211199,0.002378242323175,0.0029496226925402,0.5008173584938049,0.4957406520843506,0.5006210803985596
0,val,0,3,,,,"[7600, 3]",2.0,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.5020672678947449, 0.4944908916950226, 0.49937114119529724]",0.5022406578063965,0.4940745532512665,0.4979739189147949,0.0018450865754857,0.0015218078624457,0.0018524955958127,0.5020672678947449,0.4944908916950226,0.4993711411952972
0,test,0,3,,,,"[7600, 3]",2.0,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.5020672678947449, 0.4944908916950226, 0.49937114119529724]",0.5022406578063965,0.4940745532512665,0.4979739189147949,0.0018450865754857,0.0015218078624457,0.0018524955958127,0.5020672678947449,0.4944908916950226,0.4993711411952972
50,train,0,3,,,,"[7600, 3]",2.0,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.5722667574882507, 0.5325897932052612, 0.4965451657772064]",0.6074038743972778,0.5278357863426208,0.4824033379554748,0.0187250860035419,0.0138770621269941,0.013139309361577,0.5722667574882507,0.5325897932052612,0.4965451657772064
50,val,0,3,,,,"[7600, 3]",2.0,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.57371985912323, 0.533414900302887, 0.4965839684009552]",0.609870195388794,0.5288240909576416,0.4823653399944305,0.012521544471383,0.0114434380084276,0.0096346316859126,0.57371985912323,0.533414900302887,0.4965839684009552
50,test,0,3,,,,"[7600, 3]",2.0,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.57371985912323, 0.533414900302887, 0.4965839684009552]",0.609870195388794,0.5288240909576416,0.4823653399944305,0.012521544471383,0.0114434380084276,0.0096346316859126,0.57371985912323,0.533414900302887,0.4965839684009552
100,train,0,3,,,,"[7600, 3]",2.0,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.6457610726356506, 0.5965347290039062, 0.512410044670105]",0.7063174247741699,0.6075440645217896,0.5055019855499268,0.0344278775155544,0.0125683024525642,0.0082591269165277,0.6457610726356506,0.5965347290039062,0.512410044670105
100,val,0,3,,,,"[7600, 3]",2.0,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.6472049951553345, 0.5981994867324829, 0.512851893901825]",0.7085739970207214,0.6095696687698364,0.5061147809028625,0.0239672865718603,0.0100233135744929,0.005952266510576,0.6472049951553345,0.5981994867324829,0.512851893901825
100,test,0,3,,,,"[7600, 3]",2.0,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.6472049951553345, 0.5981994867324829, 0.512851893901825]",0.7085739970207214,0.6095696687698364,0.5061147809028625,0.0239672865718603,0.0100233135744929,0.005952266510576,0.6472049951553345,0.5981994867324829,0.512851893901825
150,train,0,3,,,,"[7600, 3]",2.0,"[""zero_hop"", ""hop_1"", ""hop_2""]","[7600, 3]",,"[7600, 3, 64]","[false, false, false]","[0.6794288754463196, 0.6382845640182495, 0.5252804756164551]",0.7454527616500854,0.657088041305542,0.5212802886962891,0.0383467823266983,0.0153198605403304,0.0060389437712728,0.6794288754463196,0.6382845640182495,0.5252804756164551
