epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_mean_hop_4,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,weights_std_hop_4,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,hop_scalar_hop_4
0,train,0,5,,,,"[7600, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.4937190115451813, 0.5025230050086975, 0.500633716583252, 0.5063512325286865, 0.4951307475566864]",0.4939033985137939,0.5016531944274902,0.5018172264099121,0.5069549679756165,0.4949216544628143,0.0032534599304199,0.0031317838001996,0.0030641625635325,0.0024886082392185,0.0029953969642519,0.4937190115451813,0.5025230050086975,0.500633716583252,0.5063512325286865,0.4951307475566864
0,val,0,5,,,,"[7600, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.49246931076049805, 0.501272976398468, 0.5018837451934814, 0.5051013827323914, 0.49638062715530396]",0.4931017160415649,0.500095009803772,0.5033392906188965,0.5051875710487366,0.496212750673294,0.0027405184227973,0.0028772146906703,0.0028504112269729,0.002047897549346,0.0026165226008743,0.492469310760498,0.501272976398468,0.5018837451934814,0.5051013827323914,0.4963806271553039
0,test,0,5,,,,"[7600, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.49246931076049805, 0.501272976398468, 0.5018837451934814, 0.5051013827323914, 0.49638062715530396]",0.4931017160415649,0.500095009803772,0.5033392906188965,0.5051875710487366,0.496212750673294,0.0027405184227973,0.0028772146906703,0.0028504112269729,0.002047897549346,0.0026165226008743,0.492469310760498,0.501272976398468,0.5018837451934814,0.5051013827323914,0.4963806271553039
50,train,0,5,,,,"[7600, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.5180435180664062, 0.4936833381652832, 0.4849693477153778, 0.5053852200508118, 0.4875020682811737]",0.5293866991996765,0.487747311592102,0.4804117083549499,0.5080307126045227,0.4835909605026245,0.0069985426962375,0.0040012779645621,0.0043408488854765,0.0050158770754933,0.0040609310381114,0.5180435180664062,0.4936833381652832,0.4849693477153778,0.5053852200508118,0.4875020682811737
50,val,0,5,,,,"[7600, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.5179947018623352, 0.49358072876930237, 0.4851513206958771, 0.5055015683174133, 0.4875953495502472]",0.5292360782623291,0.4875953495502472,0.4807526469230652,0.5082210302352905,0.4837659001350403,0.0057636355049908,0.0033114370889961,0.0036919170524924,0.004449660424143,0.0034834567923098,0.5179947018623352,0.4935807287693023,0.4851513206958771,0.5055015683174133,0.4875953495502472
50,test,0,5,,,,"[7600, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.5179947018623352, 0.49358072876930237, 0.4851513206958771, 0.5055015683174133, 0.4875953495502472]",0.5292360782623291,0.4875953495502472,0.4807526469230652,0.5082210302352905,0.4837659001350403,0.0057636355049908,0.0033114370889961,0.0036919170524924,0.004449660424143,0.0034834567923098,0.5179947018623352,0.4935807287693023,0.4851513206958771,0.5055015683174133,0.4875953495502472
100,train,0,5,,,,"[7600, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.5175082683563232, 0.4921896159648895, 0.489458829164505, 0.5072809457778931, 0.4896029233932495]",0.5268897414207458,0.486013799905777,0.488276720046997,0.5111749768257141,0.4874292910099029,0.0074141738004982,0.0042247539386153,0.0041625439189374,0.0059214220382273,0.0041975467465817,0.5175082683563232,0.4921896159648895,0.489458829164505,0.5072809457778931,0.4896029233932495
100,val,0,5,,,,"[7600, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.5175116062164307, 0.49218592047691345, 0.48948705196380615, 0.5072879791259766, 0.48961585760116577]",0.5269050598144531,0.4860493242740631,0.4882942736148834,0.5111139416694641,0.48747318983078,0.0063413237221539,0.0035218358971178,0.0036639678291976,0.0051417266950011,0.0036343801766633,0.5175116062164307,0.4921859204769134,0.4894870519638061,0.5072879791259766,0.4896158576011657
100,test,0,5,,,,"[7600, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.5175116062164307, 0.49218592047691345, 0.48948705196380615, 0.5072879791259766, 0.48961585760116577]",0.5269050598144531,0.4860493242740631,0.4882942736148834,0.5111139416694641,0.48747318983078,0.0063413237221539,0.0035218358971178,0.0036639678291976,0.0051417266950011,0.0036343801766633,0.5175116062164307,0.4921859204769134,0.4894870519638061,0.5072879791259766,0.4896158576011657
150,train,0,5,,,,"[7600, 5]",4.0,"[""zero_hop"", ""hop_1"", ""hop_2"", ""hop_3"", ""hop_4""]","[7600, 5]",,"[7600, 5, 128]","[false, false, false, false, false]","[0.5175532698631287, 0.4921429455280304, 0.48996126651763916, 0.5074159502983093, 0.48984888195991516]",0.5267474055290222,0.4860928952693939,0.4890856146812439,0.5112901329994202,0.4878841042518616,0.0073414901271462,0.0043126279488205,0.0041038370691239,0.0059164674021303,0.0040798620320856,0.5175532698631287,0.4921429455280304,0.4899612665176391,0.5074159502983093,0.4898488819599151
