epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9457899332046509,1.9397040605545044,1.9397414922714233,0.7214285714285714,0.536,0.534,0.01,0.536,0.534,0,Accuracy,higher,baseline,0
1,1.9356536865234375,1.9339823722839355,1.933872103691101,0.7714285714285715,0.562,0.567,0.01,0.562,0.567,1,Accuracy,higher,baseline,0
2,1.92779541015625,1.9273425340652466,1.9269554615020752,0.8357142857142857,0.608,0.616,0.01,0.608,0.616,2,Accuracy,higher,baseline,0
3,1.9214800596237183,1.9207706451416016,1.9201555252075195,0.8571428571428571,0.66,0.663,0.01,0.66,0.663,3,Accuracy,higher,baseline,0
4,1.9057283401489258,1.913833737373352,1.9130189418792725,0.8714285714285714,0.686,0.701,0.01,0.686,0.701,4,Accuracy,higher,baseline,0
5,1.8929259777069092,1.906738042831421,1.9057207107543945,0.8857142857142857,0.706,0.72,0.01,0.706,0.72,5,Accuracy,higher,baseline,0
6,1.8899120092391968,1.8995360136032104,1.8983039855957031,0.8857142857142857,0.72,0.726,0.01,0.72,0.726,6,Accuracy,higher,baseline,0
7,1.8795034885406494,1.8922507762908936,1.8908849954605103,0.8928571428571429,0.718,0.73,0.01,0.72,0.726,6,Accuracy,higher,baseline,0
8,1.858399748802185,1.884379506111145,1.8828847408294678,0.9,0.73,0.739,0.01,0.73,0.739,8,Accuracy,higher,baseline,0
9,1.8463597297668457,1.8764264583587646,1.8747165203094482,0.9,0.734,0.751,0.01,0.734,0.751,9,Accuracy,higher,baseline,0
10,1.8396506309509277,1.8684924840927124,1.866528034210205,0.9,0.748,0.758,0.01,0.748,0.758,10,Accuracy,higher,baseline,0
11,1.8247921466827393,1.8605024814605713,1.85824453830719,0.9071428571428571,0.764,0.764,0.01,0.764,0.764,11,Accuracy,higher,baseline,0
12,1.827660083770752,1.852630853652954,1.850036859512329,0.9142857142857143,0.76,0.763,0.01,0.764,0.764,11,Accuracy,higher,baseline,0
13,1.8076262474060059,1.8444139957427979,1.8414276838302612,0.9214285714285714,0.762,0.765,0.01,0.764,0.764,11,Accuracy,higher,baseline,0
14,1.7783466577529907,1.836269736289978,1.832849383354187,0.9214285714285714,0.76,0.759,0.01,0.764,0.764,11,Accuracy,higher,baseline,0
15,1.7751251459121704,1.8277435302734375,1.824007272720337,0.9214285714285714,0.758,0.76,0.01,0.764,0.764,11,Accuracy,higher,baseline,0
16,1.7275224924087524,1.8183510303497314,1.8143630027770996,0.9142857142857143,0.756,0.758,0.01,0.764,0.764,11,Accuracy,higher,baseline,0
17,1.7407560348510742,1.808595061302185,1.804455280303955,0.9214285714285714,0.752,0.758,0.01,0.764,0.764,11,Accuracy,higher,baseline,0
18,1.7131787538528442,1.7984281778335571,1.7941426038742065,0.9142857142857143,0.764,0.757,0.01,0.764,0.764,11,Accuracy,higher,baseline,0
19,1.6892253160476685,1.7883691787719727,1.783928394317627,0.9142857142857143,0.766,0.76,0.01,0.766,0.76,19,Accuracy,higher,baseline,0
20,1.7474956512451172,1.778438925743103,1.773898959159851,0.9142857142857143,0.766,0.764,0.01,0.766,0.76,19,Accuracy,higher,baseline,0
21,1.7164127826690674,1.7681652307510376,1.7635579109191895,0.9142857142857143,0.766,0.765,0.01,0.766,0.76,19,Accuracy,higher,baseline,0
22,1.703362226486206,1.75788414478302,1.7531838417053223,0.9142857142857143,0.768,0.768,0.01,0.768,0.768,22,Accuracy,higher,baseline,0
23,1.683523178100586,1.747191309928894,1.742375373840332,0.9071428571428571,0.77,0.768,0.01,0.77,0.768,23,Accuracy,higher,baseline,0
24,1.6574273109436035,1.7365190982818604,1.73154878616333,0.9142857142857143,0.772,0.767,0.01,0.772,0.767,24,Accuracy,higher,baseline,0
25,1.6157463788986206,1.7253291606903076,1.7201416492462158,0.9142857142857143,0.774,0.77,0.01,0.774,0.77,25,Accuracy,higher,baseline,0
26,1.6178643703460693,1.7139887809753418,1.7086414098739624,0.9142857142857143,0.774,0.772,0.01,0.774,0.77,25,Accuracy,higher,baseline,0
27,1.594517469406128,1.7022910118103027,1.696838617324829,0.9214285714285714,0.776,0.774,0.01,0.776,0.774,27,Accuracy,higher,baseline,0
28,1.5397722721099854,1.690414309501648,1.6849184036254883,0.9285714285714286,0.782,0.773,0.01,0.782,0.773,28,Accuracy,higher,baseline,0
29,1.5769799947738647,1.6787400245666504,1.6729710102081299,0.95,0.784,0.777,0.01,0.784,0.777,29,Accuracy,higher,baseline,0
30,1.544915795326233,1.6674445867538452,1.6614028215408325,0.95,0.784,0.779,0.01,0.784,0.777,29,Accuracy,higher,baseline,0
31,1.5381206274032593,1.656402349472046,1.6500815153121948,0.95,0.782,0.776,0.01,0.784,0.777,29,Accuracy,higher,baseline,0
32,1.5442410707473755,1.645503044128418,1.6389025449752808,0.9571428571428572,0.784,0.772,0.01,0.784,0.777,29,Accuracy,higher,baseline,0
33,1.526296615600586,1.6346501111984253,1.6278380155563354,0.95,0.786,0.771,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
34,1.5227445363998413,1.624354362487793,1.6173232793807983,0.9357142857142857,0.776,0.769,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
35,1.4240893125534058,1.6138352155685425,1.6066126823425293,0.9357142857142857,0.776,0.77,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
36,1.4598709344863892,1.6033935546875,1.596093773841858,0.9428571428571428,0.776,0.768,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
37,1.4793519973754883,1.5920732021331787,1.5846855640411377,0.9285714285714286,0.774,0.767,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
38,1.4165112972259521,1.5809433460235596,1.5734435319900513,0.9285714285714286,0.772,0.766,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
39,1.4674122333526611,1.5697718858718872,1.5624250173568726,0.9285714285714286,0.768,0.766,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
40,1.3973469734191895,1.558486819267273,1.5511033535003662,0.9285714285714286,0.77,0.769,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
41,1.3292113542556763,1.5470885038375854,1.5396766662597656,0.9428571428571428,0.77,0.766,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
42,1.4291893243789673,1.535913348197937,1.5283886194229126,0.9357142857142857,0.768,0.763,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
43,1.3257300853729248,1.524358868598938,1.5166926383972168,0.9357142857142857,0.766,0.76,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
44,1.415871500968933,1.5134068727493286,1.5055224895477295,0.9357142857142857,0.766,0.761,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
45,1.2789822816848755,1.5020912885665894,1.4940434694290161,0.9357142857142857,0.768,0.761,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
46,1.2711187601089478,1.4904955625534058,1.4823808670043945,0.9357142857142857,0.764,0.759,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
47,1.314083218574524,1.4794586896896362,1.4710603952407837,0.9357142857142857,0.764,0.764,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
48,1.4052537679672241,1.4685263633728027,1.4597662687301636,0.9428571428571428,0.762,0.762,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
49,1.3750113248825073,1.4573527574539185,1.4481313228607178,0.9357142857142857,0.762,0.762,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
50,1.296046495437622,1.4460948705673218,1.4365394115447998,0.9428571428571428,0.766,0.756,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
51,1.2864855527877808,1.4347448348999023,1.4248640537261963,0.9428571428571428,0.764,0.76,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
52,1.244575023651123,1.4226149320602417,1.4125009775161743,0.9428571428571428,0.768,0.765,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
53,1.2037426233291626,1.4110137224197388,1.400719404220581,0.9428571428571428,0.77,0.766,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
54,1.3270466327667236,1.3999992609024048,1.3899012804031372,0.9571428571428572,0.768,0.769,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
55,1.2742713689804077,1.389764428138733,1.379884958267212,0.9642857142857143,0.774,0.772,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
56,1.2782522439956665,1.3799086809158325,1.370244026184082,0.9642857142857143,0.774,0.776,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
57,1.2230290174484253,1.3700097799301147,1.3605265617370605,0.9642857142857143,0.774,0.777,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
58,1.230631709098816,1.3604977130889893,1.3511990308761597,0.9642857142857143,0.776,0.78,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
59,1.1981316804885864,1.3519221544265747,1.3427506685256958,0.9642857142857143,0.776,0.784,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
60,1.1527818441390991,1.3446236848831177,1.3354185819625854,0.9642857142857143,0.778,0.784,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
61,1.2066775560379028,1.3373942375183105,1.328363060951233,0.9714285714285714,0.776,0.79,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
62,1.2322250604629517,1.3303827047348022,1.3216992616653442,0.9642857142857143,0.78,0.79,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
63,1.2310099601745605,1.3238210678100586,1.3155770301818848,0.9571428571428572,0.782,0.79,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
64,1.1828398704528809,1.3168495893478394,1.3089772462844849,0.9571428571428572,0.782,0.793,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
65,1.2058959007263184,1.3103243112564087,1.302675485610962,0.9642857142857143,0.778,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
66,1.2136298418045044,1.3038913011550903,1.2962514162063599,0.9642857142857143,0.776,0.793,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
67,1.1659523248672485,1.2983201742172241,1.2904771566390991,0.9571428571428572,0.776,0.793,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
68,1.1987804174423218,1.2939844131469727,1.2858473062515259,0.9571428571428572,0.78,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
69,1.0666753053665161,1.2896008491516113,1.2811665534973145,0.9571428571428572,0.782,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
70,1.153896450996399,1.284860372543335,1.2762575149536133,0.9571428571428572,0.784,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
71,1.0608536005020142,1.2793869972229004,1.2705535888671875,0.9642857142857143,0.784,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
72,1.1883705854415894,1.275058388710022,1.2658838033676147,0.9714285714285714,0.784,0.795,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
73,1.1122944355010986,1.2710188627243042,1.2616386413574219,0.9714285714285714,0.784,0.79,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
74,1.1492719650268555,1.2669551372528076,1.257308840751648,0.9714285714285714,0.784,0.795,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
75,1.1413192749023438,1.2633610963821411,1.253273844718933,0.9785714285714285,0.784,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
76,1.131437063217163,1.259607195854187,1.248961329460144,0.9857142857142858,0.778,0.8,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
77,1.0999407768249512,1.256570816040039,1.2454135417938232,0.9785714285714285,0.778,0.799,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
78,1.119650959968567,1.253957748413086,1.2423940896987915,0.9785714285714285,0.782,0.799,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
79,1.1807113885879517,1.2507431507110596,1.2387028932571411,0.9785714285714285,0.782,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
80,1.0519673824310303,1.2474372386932373,1.2351399660110474,0.9785714285714285,0.776,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
81,1.1164271831512451,1.24373197555542,1.2313957214355469,0.9785714285714285,0.772,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
82,1.0896052122116089,1.2408015727996826,1.228511929512024,0.9785714285714285,0.774,0.791,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
83,1.0450260639190674,1.2381285429000854,1.2259857654571533,0.9785714285714285,0.772,0.788,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
84,1.2011730670928955,1.2351090908050537,1.2231284379959106,0.9785714285714285,0.772,0.788,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
85,1.1238421201705933,1.231680154800415,1.2199562788009644,0.9785714285714285,0.77,0.788,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
86,1.1190698146820068,1.2276315689086914,1.215964674949646,0.9785714285714285,0.77,0.788,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
87,1.1084507703781128,1.2255500555038452,1.213834524154663,0.9857142857142858,0.774,0.79,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
88,1.1619025468826294,1.2239694595336914,1.2124214172363281,0.9857142857142858,0.774,0.793,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
89,1.0550967454910278,1.2222909927368164,1.2108010053634644,0.9857142857142858,0.772,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
90,1.127294898033142,1.22035813331604,1.2088910341262817,0.9857142857142858,0.772,0.79,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
91,0.9863322377204895,1.2172170877456665,1.2059155702590942,0.9785714285714285,0.772,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
92,1.1765400171279907,1.2143889665603638,1.2032170295715332,0.9857142857142858,0.772,0.794,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
93,1.102484107017517,1.2117023468017578,1.2003681659698486,0.9857142857142858,0.778,0.795,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
94,1.0332860946655273,1.207919955253601,1.196482539176941,0.9857142857142858,0.778,0.796,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
95,1.1054542064666748,1.203978180885315,1.1924858093261719,0.9785714285714285,0.78,0.798,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
96,1.0337742567062378,1.2000846862792969,1.1886482238769531,0.9785714285714285,0.782,0.799,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
97,1.1225028038024902,1.1960256099700928,1.1846274137496948,0.9785714285714285,0.784,0.799,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
98,1.140829086303711,1.191758632659912,1.1805295944213867,0.9857142857142858,0.782,0.798,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
99,0.9994173049926758,1.1855026483535767,1.1746362447738647,0.9857142857142858,0.784,0.798,0.01,0.786,0.771,33,Accuracy,higher,baseline,0
100,1.1328530311584473,1.179229497909546,1.168786644935608,0.9857142857142858,0.788,0.797,0.01,0.788,0.797,100,Accuracy,higher,baseline,0
101,1.0819052457809448,1.1731234788894653,1.1630158424377441,0.9857142857142858,0.792,0.799,0.01,0.792,0.799,101,Accuracy,higher,baseline,0
102,1.031043291091919,1.1680209636688232,1.1580687761306763,0.9857142857142858,0.792,0.8,0.01,0.792,0.799,101,Accuracy,higher,baseline,0
103,1.086054801940918,1.1643171310424805,1.1545664072036743,0.9928571428571429,0.792,0.802,0.01,0.792,0.799,101,Accuracy,higher,baseline,0
104,1.080246925354004,1.1610404253005981,1.1514431238174438,0.9928571428571429,0.796,0.804,0.01,0.796,0.804,104,Accuracy,higher,baseline,0
105,1.126233458518982,1.157667636871338,1.148378849029541,0.9928571428571429,0.796,0.803,0.01,0.796,0.804,104,Accuracy,higher,baseline,0
106,1.060300350189209,1.1554577350616455,1.146518349647522,0.9928571428571429,0.794,0.8,0.01,0.796,0.804,104,Accuracy,higher,baseline,0
107,1.0810606479644775,1.1537938117980957,1.1452795267105103,0.9928571428571429,0.796,0.802,0.01,0.796,0.804,104,Accuracy,higher,baseline,0
108,0.9537937641143799,1.152627944946289,1.1444542407989502,0.9928571428571429,0.798,0.799,0.01,0.798,0.799,108,Accuracy,higher,baseline,0
109,1.0426428318023682,1.1517282724380493,1.1438279151916504,0.9928571428571429,0.798,0.796,0.01,0.798,0.799,108,Accuracy,higher,baseline,0
110,1.0226521492004395,1.1498969793319702,1.142270803451538,0.9928571428571429,0.798,0.795,0.01,0.798,0.799,108,Accuracy,higher,baseline,0
111,1.0412410497665405,1.1473392248153687,1.1397578716278076,0.9928571428571429,0.8,0.799,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
112,0.973192572593689,1.1437382698059082,1.136474847793579,0.9928571428571429,0.8,0.8,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
113,1.128143548965454,1.1415644884109497,1.1343189477920532,0.9857142857142858,0.8,0.804,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
114,1.0568897724151611,1.1388100385665894,1.1317485570907593,0.9785714285714285,0.796,0.802,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
115,1.0741329193115234,1.136633038520813,1.1296035051345825,0.9785714285714285,0.796,0.799,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
116,1.0356556177139282,1.1346731185913086,1.127508282661438,0.9714285714285714,0.794,0.797,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
117,0.9297812581062317,1.132513165473938,1.1252589225769043,0.9714285714285714,0.792,0.794,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
118,0.9336562156677246,1.1303107738494873,1.122890591621399,0.9714285714285714,0.792,0.794,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
119,1.087641716003418,1.1280338764190674,1.1203951835632324,0.9714285714285714,0.792,0.797,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
120,1.079321026802063,1.1251087188720703,1.1174622774124146,0.9714285714285714,0.796,0.798,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
121,1.1494344472885132,1.1220968961715698,1.114471435546875,0.9714285714285714,0.796,0.804,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
122,1.049107313156128,1.1195558309555054,1.1121457815170288,0.9785714285714285,0.794,0.805,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
123,0.9842355847358704,1.116199254989624,1.1088073253631592,0.9857142857142858,0.796,0.805,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
124,1.008447289466858,1.1141326427459717,1.1066102981567383,0.9857142857142858,0.794,0.804,0.01,0.8,0.799,111,Accuracy,higher,baseline,0
