epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9472827911376953,1.9402453899383545,1.9400328397750854,0.15,0.124,0.134,0.01,0.124,0.134,0,Accuracy,higher,baseline,0
1,1.9418836832046509,1.937804937362671,1.9375888109207153,0.18571428571428572,0.126,0.136,0.01,0.126,0.136,1,Accuracy,higher,baseline,0
2,1.9343903064727783,1.9331170320510864,1.9327754974365234,0.2857142857142857,0.164,0.172,0.01,0.164,0.172,2,Accuracy,higher,baseline,0
3,1.9226616621017456,1.9278676509857178,1.9273802042007446,0.7142857142857143,0.31,0.359,0.01,0.31,0.359,3,Accuracy,higher,baseline,0
4,1.908540964126587,1.922034502029419,1.9213337898254395,0.9214285714285714,0.514,0.531,0.01,0.514,0.531,4,Accuracy,higher,baseline,0
5,1.897304892539978,1.9160141944885254,1.9149428606033325,0.9714285714285714,0.516,0.535,0.01,0.516,0.535,5,Accuracy,higher,baseline,0
6,1.8788573741912842,1.909390926361084,1.9077839851379395,0.9928571428571429,0.546,0.561,0.01,0.546,0.561,6,Accuracy,higher,baseline,0
7,1.8554474115371704,1.9017672538757324,1.899701714515686,0.9928571428571429,0.546,0.58,0.01,0.546,0.561,6,Accuracy,higher,baseline,0
8,1.8311233520507812,1.891887903213501,1.8893548250198364,0.9928571428571429,0.576,0.611,0.01,0.576,0.611,8,Accuracy,higher,baseline,0
9,1.8033949136734009,1.8797245025634766,1.8768450021743774,0.9857142857142858,0.626,0.651,0.01,0.626,0.651,9,Accuracy,higher,baseline,0
10,1.7735856771469116,1.8655191659927368,1.8623225688934326,0.9928571428571429,0.668,0.685,0.01,0.668,0.685,10,Accuracy,higher,baseline,0
11,1.7394421100616455,1.849593997001648,1.846051812171936,0.9928571428571429,0.688,0.709,0.01,0.688,0.709,11,Accuracy,higher,baseline,0
12,1.7055566310882568,1.8318064212799072,1.827932357788086,0.9928571428571429,0.698,0.721,0.01,0.698,0.721,12,Accuracy,higher,baseline,0
13,1.6726576089859009,1.8127391338348389,1.8085052967071533,0.9928571428571429,0.714,0.74,0.01,0.714,0.74,13,Accuracy,higher,baseline,0
14,1.6168506145477295,1.792114019393921,1.7873784303665161,1.0,0.738,0.753,0.01,0.738,0.753,14,Accuracy,higher,baseline,0
15,1.5678842067718506,1.7699997425079346,1.764462947845459,1.0,0.742,0.762,0.01,0.742,0.762,15,Accuracy,higher,baseline,0
16,1.5357125997543335,1.7477678060531616,1.7413322925567627,1.0,0.738,0.759,0.01,0.742,0.762,15,Accuracy,higher,baseline,0
17,1.4886305332183838,1.7247002124786377,1.7174118757247925,1.0,0.73,0.754,0.01,0.742,0.762,15,Accuracy,higher,baseline,0
18,1.415423035621643,1.6992473602294922,1.69114351272583,1.0,0.728,0.748,0.01,0.742,0.762,15,Accuracy,higher,baseline,0
19,1.348941445350647,1.6706702709197998,1.6622084379196167,1.0,0.726,0.751,0.01,0.742,0.762,15,Accuracy,higher,baseline,0
20,1.3179512023925781,1.6413692235946655,1.6323771476745605,1.0,0.734,0.755,0.01,0.742,0.762,15,Accuracy,higher,baseline,0
21,1.2374107837677002,1.6097785234451294,1.600437045097351,1.0,0.736,0.753,0.01,0.742,0.762,15,Accuracy,higher,baseline,0
22,1.1911587715148926,1.5785566568374634,1.5688456296920776,1.0,0.744,0.758,0.01,0.744,0.758,22,Accuracy,higher,baseline,0
23,1.1640124320983887,1.54575514793396,1.5358017683029175,1.0,0.748,0.76,0.01,0.748,0.76,23,Accuracy,higher,baseline,0
24,1.0748933553695679,1.5147297382354736,1.5042603015899658,1.0,0.748,0.76,0.01,0.748,0.76,23,Accuracy,higher,baseline,0
25,1.0568852424621582,1.4852386713027954,1.4741432666778564,1.0,0.748,0.762,0.01,0.748,0.76,23,Accuracy,higher,baseline,0
26,0.9599066376686096,1.4562877416610718,1.44496488571167,1.0,0.748,0.762,0.01,0.748,0.76,23,Accuracy,higher,baseline,0
27,0.9057406187057495,1.4261078834533691,1.4147419929504395,1.0,0.75,0.762,0.01,0.75,0.762,27,Accuracy,higher,baseline,0
28,0.8549346923828125,1.3956176042556763,1.3841094970703125,1.0,0.746,0.761,0.01,0.75,0.762,27,Accuracy,higher,baseline,0
29,0.7920266389846802,1.3653147220611572,1.3532966375350952,1.0,0.752,0.768,0.01,0.752,0.768,29,Accuracy,higher,baseline,0
30,0.7543020844459534,1.3354671001434326,1.3228009939193726,1.0,0.754,0.772,0.01,0.754,0.772,30,Accuracy,higher,baseline,0
31,0.6725387573242188,1.308863639831543,1.2951492071151733,1.0,0.752,0.764,0.01,0.754,0.772,30,Accuracy,higher,baseline,0
32,0.6748698353767395,1.283097267150879,1.2686083316802979,1.0,0.75,0.766,0.01,0.754,0.772,30,Accuracy,higher,baseline,0
33,0.6122569441795349,1.2591074705123901,1.243610143661499,1.0,0.744,0.767,0.01,0.754,0.772,30,Accuracy,higher,baseline,0
34,0.6102427840232849,1.234906792640686,1.2191202640533447,1.0,0.744,0.774,0.01,0.754,0.772,30,Accuracy,higher,baseline,0
35,0.5569263100624084,1.2151398658752441,1.1987868547439575,1.0,0.746,0.775,0.01,0.754,0.772,30,Accuracy,higher,baseline,0
36,0.45783981680870056,1.1953505277633667,1.1784067153930664,1.0,0.742,0.772,0.01,0.754,0.772,30,Accuracy,higher,baseline,0
37,0.45189744234085083,1.1760356426239014,1.1587356328964233,1.0,0.74,0.769,0.01,0.754,0.772,30,Accuracy,higher,baseline,0
38,0.4508068561553955,1.1559356451034546,1.1385632753372192,1.0,0.734,0.769,0.01,0.754,0.772,30,Accuracy,higher,baseline,0
39,0.4342218339443207,1.1379997730255127,1.1202313899993896,1.0,0.736,0.766,0.01,0.754,0.772,30,Accuracy,higher,baseline,0
40,0.42224088311195374,1.1239148378372192,1.105405330657959,1.0,0.738,0.768,0.01,0.754,0.772,30,Accuracy,higher,baseline,0
