epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9455318450927734,1.9300810098648071,1.9294929504394531,0.7857142857142857,0.57,0.623,0.01,0.57,0.623,0,Accuracy,higher,baseline,0
1,1.9137555360794067,1.899427890777588,1.8982760906219482,0.9142857142857143,0.666,0.7,0.01,0.666,0.7,1,Accuracy,higher,baseline,0
2,1.8579829931259155,1.8567472696304321,1.8540236949920654,0.9071428571428571,0.656,0.684,0.01,0.666,0.7,1,Accuracy,higher,baseline,0
3,1.77883780002594,1.8035906553268433,1.798492670059204,0.9214285714285714,0.664,0.696,0.01,0.666,0.7,1,Accuracy,higher,baseline,0
4,1.6741187572479248,1.737263560295105,1.7288732528686523,0.9285714285714286,0.688,0.729,0.01,0.688,0.729,4,Accuracy,higher,baseline,0
5,1.5571788549423218,1.6585549116134644,1.6467853784561157,0.9428571428571428,0.712,0.754,0.01,0.712,0.754,5,Accuracy,higher,baseline,0
6,1.4234634637832642,1.5702073574066162,1.554414987564087,0.9642857142857143,0.746,0.773,0.01,0.746,0.773,6,Accuracy,higher,baseline,0
7,1.2699302434921265,1.4731985330581665,1.4532690048217773,0.9642857142857143,0.756,0.783,0.01,0.756,0.783,7,Accuracy,higher,baseline,0
8,1.1570318937301636,1.369686484336853,1.3456814289093018,0.9714285714285714,0.764,0.795,0.01,0.764,0.795,8,Accuracy,higher,baseline,0
9,1.0162917375564575,1.2627947330474854,1.2352768182754517,0.9785714285714285,0.786,0.795,0.01,0.786,0.795,9,Accuracy,higher,baseline,0
10,0.8338279724121094,1.16007661819458,1.129972219467163,0.9785714285714285,0.792,0.812,0.01,0.792,0.812,10,Accuracy,higher,baseline,0
11,0.7280247211456299,1.0625901222229004,1.0306448936462402,0.9785714285714285,0.794,0.82,0.01,0.794,0.82,11,Accuracy,higher,baseline,0
12,0.6084252595901489,0.9765524864196777,0.942129373550415,0.9714285714285714,0.8,0.822,0.01,0.8,0.822,12,Accuracy,higher,baseline,0
