epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.268009662628174,2.01438045501709,1.9854775667190552,0.14285714285714285,0.316,0.319,0.005,0.316,0.319,0,Accuracy,higher,hpo,1
1,2.200740098953247,1.8963212966918945,1.8937028646469116,0.30714285714285716,0.256,0.233,0.005,0.316,0.319,0,Accuracy,higher,hpo,1
2,1.9550799131393433,1.937320351600647,1.9363189935684204,0.5357142857142857,0.166,0.17,0.005,0.316,0.319,0,Accuracy,higher,hpo,1
3,1.7090266942977905,1.9295252561569214,1.931362509727478,0.37142857142857144,0.214,0.192,0.005,0.316,0.319,0,Accuracy,higher,hpo,1
4,1.7628144025802612,1.8295819759368896,1.8293919563293457,0.5,0.204,0.201,0.005,0.316,0.319,0,Accuracy,higher,hpo,1
5,1.7551705837249756,1.7000168561935425,1.694955587387085,0.9428571428571428,0.562,0.547,0.005,0.562,0.547,5,Accuracy,higher,hpo,1
6,1.5308988094329834,1.606580376625061,1.6017169952392578,0.8785714285714286,0.616,0.614,0.005,0.616,0.614,6,Accuracy,higher,hpo,1
7,1.4677562713623047,1.5570217370986938,1.5521233081817627,0.8357142857142857,0.586,0.574,0.005,0.616,0.614,6,Accuracy,higher,hpo,1
8,1.3780171871185303,1.5133178234100342,1.5051532983779907,0.8642857142857143,0.622,0.607,0.005,0.622,0.607,8,Accuracy,higher,hpo,1
9,1.288538932800293,1.45810866355896,1.4491465091705322,0.9785714285714285,0.662,0.665,0.005,0.662,0.665,9,Accuracy,higher,hpo,1
10,1.1381702423095703,1.3995556831359863,1.3931833505630493,1.0,0.684,0.717,0.005,0.684,0.717,10,Accuracy,higher,hpo,1
11,1.0730695724487305,1.3486440181732178,1.34969961643219,0.9928571428571429,0.672,0.645,0.005,0.684,0.717,10,Accuracy,higher,hpo,1
12,0.9749317765235901,1.3039191961288452,1.3099805116653442,0.9928571428571429,0.582,0.549,0.005,0.684,0.717,10,Accuracy,higher,hpo,1
13,0.8542019724845886,1.2409733533859253,1.2469819784164429,0.9928571428571429,0.602,0.562,0.005,0.684,0.717,10,Accuracy,higher,hpo,1
14,0.7899808883666992,1.1576695442199707,1.1593232154846191,0.9928571428571429,0.652,0.633,0.005,0.684,0.717,10,Accuracy,higher,hpo,1
15,0.7299108505249023,1.0660344362258911,1.063467025756836,1.0,0.712,0.699,0.005,0.712,0.699,15,Accuracy,higher,hpo,1
16,0.6983059048652649,1.0139119625091553,1.0051372051239014,1.0,0.726,0.712,0.005,0.726,0.712,16,Accuracy,higher,hpo,1
17,0.6191927790641785,0.9499567747116089,0.9410567879676819,1.0,0.734,0.74,0.005,0.734,0.74,17,Accuracy,higher,hpo,1
18,0.545626699924469,0.8878830671310425,0.8847077488899231,1.0,0.748,0.746,0.005,0.748,0.746,18,Accuracy,higher,hpo,1
19,0.3531101644039154,0.8525944948196411,0.8497758507728577,1.0,0.75,0.743,0.005,0.75,0.743,19,Accuracy,higher,hpo,1
20,0.3685249984264374,0.8339639902114868,0.8238987922668457,1.0,0.734,0.74,0.005,0.75,0.743,19,Accuracy,higher,hpo,1
21,0.3773619532585144,0.8600220680236816,0.8384857177734375,1.0,0.72,0.719,0.005,0.75,0.743,19,Accuracy,higher,hpo,1
22,0.26944500207901,0.8487398624420166,0.8222919702529907,1.0,0.72,0.734,0.005,0.75,0.743,19,Accuracy,higher,hpo,1
23,0.2796884775161743,0.8136674761772156,0.789720356464386,1.0,0.742,0.741,0.005,0.75,0.743,19,Accuracy,higher,hpo,1
24,0.33607858419418335,0.8121618628501892,0.7859067320823669,1.0,0.74,0.746,0.005,0.75,0.743,19,Accuracy,higher,hpo,1
25,0.27378249168395996,0.7970970273017883,0.7729468941688538,1.0,0.738,0.743,0.005,0.75,0.743,19,Accuracy,higher,hpo,1
26,0.3406057357788086,0.7828862071037292,0.7587448954582214,1.0,0.744,0.749,0.005,0.75,0.743,19,Accuracy,higher,hpo,1
27,0.23726864159107208,0.7476903796195984,0.7237569689750671,1.0,0.756,0.75,0.005,0.756,0.75,27,Accuracy,higher,hpo,1
28,0.34929513931274414,0.7393331527709961,0.7131097316741943,1.0,0.762,0.753,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
29,0.259467214345932,0.7511876225471497,0.720870852470398,1.0,0.748,0.748,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
30,0.29435721039772034,0.8006173372268677,0.7662934064865112,1.0,0.728,0.743,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
31,0.21726520359516144,0.8745691180229187,0.8369877338409424,1.0,0.708,0.715,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
32,0.293106347322464,0.8762063384056091,0.8436892032623291,1.0,0.698,0.706,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
33,0.21105819940567017,0.8161883354187012,0.7927976250648499,1.0,0.726,0.724,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
34,0.20736739039421082,0.7750417590141296,0.7572624683380127,1.0,0.748,0.75,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
35,0.22140467166900635,0.7371214628219604,0.720683753490448,1.0,0.75,0.758,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
36,0.12923359870910645,0.7278620004653931,0.70802903175354,1.0,0.756,0.76,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
37,0.23436039686203003,0.7298102974891663,0.7012242674827576,1.0,0.754,0.761,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
38,0.15978102385997772,0.8065713047981262,0.7722908854484558,1.0,0.716,0.728,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
39,0.2095317840576172,0.8888584971427917,0.8517174124717712,1.0,0.702,0.708,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
40,0.15096430480480194,0.9101323485374451,0.8748013973236084,1.0,0.684,0.702,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
41,0.11936559528112411,0.8763285279273987,0.8419783711433411,1.0,0.712,0.707,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
42,0.19846336543560028,0.7849688529968262,0.7595826387405396,1.0,0.736,0.738,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
43,0.20828761160373688,0.7640209794044495,0.7470608949661255,1.0,0.74,0.748,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
44,0.17915910482406616,0.7865686416625977,0.765768826007843,1.0,0.718,0.737,0.005,0.762,0.753,28,Accuracy,higher,hpo,1
