event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3
forward,0,train,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.8999999761581421, 0.8999999761581421, 0.699999988079071, 0.44999998807907104]",,,,0,,,0.9000000357627869,0.9000000357627869,0.7000000476837158,0.45000001788139343,0.0,0.0,0.0,0.0,0.8999999761581421,0.8999999761581421,0.699999988079071,0.44999998807907104,,,,,,,,,,,,,,,,
backward,0,train,0,0.005,4,,,,,,,,,,,,0,9.153901919489726e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.8995490670204163, 0.899549126625061, 0.6989489793777466, 0.4512377977371216]",,,,0,,,0.899549126625061,0.899549126625061,0.6989489197731018,0.4512377679347992,0.0,0.0,0.0,0.0,0.8995490670204163,0.899549126625061,0.6989489793777466,0.4512377977371216,,,,,,,,,,,,,,,,
forward,0,test,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.8995490670204163, 0.899549126625061, 0.6989489793777466, 0.4512377977371216]",,,,0,,,0.899549126625061,0.899549126625061,0.6989489197731018,0.4512377679347992,0.0,0.0,0.0,0.0,0.8995490670204163,0.899549126625061,0.6989489793777466,0.4512377977371216,,,,,,,,,,,,,,,,
forward,50,train,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.8782658576965332, 0.8756076097488403, 0.6479397416114807, 0.5107369422912598]",,,,0,,,0.8782657980918884,0.8756076097488403,0.6479397416114807,0.510736882686615,0.0,0.0,0.0,0.0,0.8782658576965332,0.8756076097488403,0.6479397416114807,0.5107369422912598,,,,,,,,,,,,,,,,
backward,50,train,0,0.005,4,,,,,,,,,,,,0,0.008574984967708588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.8779974579811096, 0.8750868439674377, 0.6469500660896301, 0.51213139295578]",,,,0,,,0.8779975771903992,0.8750869035720825,0.6469500064849854,0.5121314525604248,0.0,0.0,0.0,0.0,0.8779974579811096,0.8750868439674377,0.6469500660896301,0.51213139295578,,,,,,,,,,,,,,,,
forward,50,test,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.8779974579811096, 0.8750868439674377, 0.6469500660896301, 0.51213139295578]",,,,0,,,0.8779975771903992,0.8750869035720825,0.6469500064849854,0.5121314525604248,0.0,0.0,0.0,0.0,0.8779974579811096,0.8750868439674377,0.6469500660896301,0.51213139295578,,,,,,,,,,,,,,,,
forward,100,train,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.8932024240493774, 0.8482722043991089, 0.6017526984214783, 0.5586674213409424]",,,,0,,,0.8932023644447327,0.8482721447944641,0.6017526984214783,0.5586674213409424,0.0,0.0,0.0,0.0,0.8932024240493774,0.8482722043991089,0.6017526984214783,0.5586674213409424,,,,,,,,,,,,,,,,
backward,100,train,0,0.005,4,,,,,,,,,,,,0,0.02613244205713272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
