event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.01,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8999999761581421, 0.949999988079071, 0.25]",,,,0,,,0.9000000357627869,0.9499999284744263,0.25,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.25,,,,,,,,,,,,
backward,0,train,0,0.01,3,,,,,,,,,,,,0,0.014516035094857216,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.01,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8990963697433472, 0.949522852897644, 0.2518796920776367]",,,,0,,,0.8990963101387024,0.949522852897644,0.2518796920776367,0.0,0.0,0.0,0.8990963697433472,0.949522852897644,0.2518796920776367,,,,,,,,,,,,
forward,0,test,0,0.01,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8990963697433472, 0.949522852897644, 0.2518796920776367]",,,,0,,,0.8990963101387024,0.949522852897644,0.2518796920776367,0.0,0.0,0.0,0.8990963697433472,0.949522852897644,0.2518796920776367,,,,,,,,,,,,
forward,50,train,0,0.00216,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8925531506538391, 0.9306045174598694, 0.2553432881832123]",,,,0,,,0.8925532102584839,0.9306044578552246,0.2553432881832123,0.0,0.0,0.0,0.8925531506538391,0.9306045174598694,0.2553432881832123,,,,,,,,,,,,
backward,50,train,0,0.00216,3,,,,,,,,,,,,0,0.003201127052307129,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.00216,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.892333984375, 0.9304915070533752, 0.25554409623146057]",,,,0,,,0.892333984375,0.9304915070533752,0.25554409623146057,0.0,0.0,0.0,0.892333984375,0.9304915070533752,0.25554409623146057,,,,,,,,,,,,
forward,50,test,0,0.00216,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.892333984375, 0.9304915070533752, 0.25554409623146057]",,,,0,,,0.892333984375,0.9304915070533752,0.25554409623146057,0.0,0.0,0.0,0.892333984375,0.9304915070533752,0.25554409623146057,,,,,,,,,,,,
forward,100,train,0,0.000279936,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8873183131217957, 0.9279420375823975, 0.26092439889907837]",,,,0,,,0.8873182535171509,0.9279420971870422,0.26092439889907837,0.0,0.0,0.0,0.8873183131217957,0.9279420375823975,0.26092439889907837,,,,,,,,,,,,
backward,100,train,0,0.000279936,3,,,,,,,,,,,,0,0.0012184353545308113,,,,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.000279936,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8872872591018677, 0.9279265403747559, 0.2609609067440033]",,,,0,,,0.8872872591018677,0.9279264807701111,0.2609609067440033,0.0,0.0,0.0,0.8872872591018677,0.9279265403747559,0.2609609067440033,,,,,,,,,,,,
forward,100,test,0,0.000279936,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8872872591018677, 0.9279265403747559, 0.2609609067440033]",,,,0,,,0.8872872591018677,0.9279264807701111,0.2609609067440033,0.0,0.0,0.0,0.8872872591018677,0.9279265403747559,0.2609609067440033,,,,,,,,,,,,
forward,150,train,0,2.1767823359999995e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8867800235748291, 0.9276637434959412, 0.26158198714256287]",,,,0,,,0.8867799639701843,0.9276637434959412,0.26158198714256287,0.0,0.0,0.0,0.8867800235748291,0.9276637434959412,0.26158198714256287,,,,,,,,,,,,
backward,150,train,0,2.1767823359999995e-05,3,,,,,,,,,,,,0,0.001678603352047503,,,,,,,,,,,,,,,,,,,,,,
forward,150,val,0,2.1767823359999995e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8867776393890381, 0.9276624917984009, 0.26158517599105835]",,,,0,,,0.8867775797843933,0.9276624917984009,0.26158517599105835,0.0,0.0,0.0,0.8867776393890381,0.9276624917984009,0.26158517599105835,,,,,,,,,,,,
forward,150,test,0,2.1767823359999995e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8867776393890381, 0.9276624917984009, 0.26158517599105835]",,,,0,,,0.8867775797843933,0.9276624917984009,0.26158517599105835,0.0,0.0,0.0,0.8867776393890381,0.9276624917984009,0.26158517599105835,,,,,,,,,,,,
forward,200,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.886711835861206, 0.9276267886161804, 0.2616821229457855]",,,,0,,,0.8867118954658508,0.9276267290115356,0.2616821527481079,0.0,0.0,0.0,0.886711835861206,0.9276267886161804,0.2616821229457855,,,,,,,,,,,,
backward,200,train,0,1e-05,3,,,,,,,,,,,,0,0.002856331644579768,,,,,,,,,,,,,,,,,,,,,,
forward,200,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8867108225822449, 0.9276263117790222, 0.2616836726665497]",,,,0,,,0.8867108225822449,0.927626371383667,0.2616836726665497,0.0,0.0,0.0,0.8867108225822449,0.9276263117790222,0.2616836726665497,,,,,,,,,,,,
forward,200,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8867108225822449, 0.9276263117790222, 0.2616836726665497]",,,,0,,,0.8867108225822449,0.927626371383667,0.2616836726665497,0.0,0.0,0.0,0.8867108225822449,0.9276263117790222,0.2616836726665497,,,,,,,,,,,,
forward,250,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8866589069366455, 0.9275965690612793, 0.2617653012275696]",,,,0,,,0.8866589665412903,0.9275966286659241,0.2617653012275696,0.0,0.0,0.0,0.8866589069366455,0.9275965690612793,0.2617653012275696,,,,,,,,,,,,
backward,250,train,0,1e-05,3,,,,,,,,,,,,0,0.0014530317857861519,,,,,,,,,,,,,,,,,,,,,,
forward,250,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8866578936576843, 0.9275959134101868, 0.2617669105529785]",,,,0,,,0.8866578936576843,0.927595853805542,0.2617669105529785,0.0,0.0,0.0,0.8866578936576843,0.9275959134101868,0.2617669105529785,,,,,,,,,,,,
forward,250,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.8866578936576843, 0.9275959134101868, 0.2617669105529785]",,,,0,,,0.8866578936576843,0.927595853805542,0.2617669105529785,0.0,0.0,0.0,0.8866578936576843,0.9275959134101868,0.2617669105529785,,,,,,,,,,,,
