launch_id,dataset_name,model_name,trial_id,seed,params,best_val_metric,final_test_metric,best_epoch,metric_name,metric_direction,run_dir
glant_v7_cora_hpo,Cora,GLANT_v7,0,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.65, ""branch_norm"": ""none"", ""dropout"": 0.35, ""heads"": 2, ""hidden_channels"": 96, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.003, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""weight_decay"": 0.002}",0.656,0.619,75,Accuracy,higher,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_000\seed_0\run_0
glant_v7_cora_hpo,Cora,GLANT_v7,1,1,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.4, ""branch_norm"": ""layernorm"", ""dropout"": 0.7, ""heads"": 8, ""hidden_channels"": 96, ""hop_scalar_profile"": ""front_loaded"", ""lr"": 0.005, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 10000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""weight_decay"": 0.002}",0.764,0.767,98,Accuracy,higher,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_001\seed_1\run_0
glant_v7_cora_hpo,Cora,GLANT_v7,2,2,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.4, ""branch_norm"": ""none"", ""dropout"": 0.35, ""heads"": 1, ""hidden_channels"": 96, ""hop_scalar_profile"": ""one_hop_strong"", ""lr"": 0.01, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 20000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""weight_decay"": 0.002}",0.76,0.703,8,Accuracy,higher,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_002\seed_2\run_0
glant_v7_cora_hpo,Cora,GLANT_v7,3,3,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.65, ""branch_norm"": ""none"", ""dropout"": 0.6, ""heads"": 2, ""hidden_channels"": 96, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.01, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 10000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""weight_decay"": 0.0005}",0.686,0.687,11,Accuracy,higher,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_003\seed_3\run_0
glant_v7_cora_hpo,Cora,GLANT_v7,4,4,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.25, ""branch_norm"": ""layernorm"", ""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 96, ""hop_scalar_profile"": ""balanced"", ""lr"": 0.005, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 40000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""weight_decay"": 0.005}",0.768,0.754,14,Accuracy,higher,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_004\seed_4\run_0
glant_v7_cora_hpo,Cora,GLANT_v7,5,5,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.55, ""branch_norm"": ""none"", ""dropout"": 0.6, ""heads"": 2, ""hidden_channels"": 32, ""hop_scalar_profile"": ""front_loaded"", ""lr"": 0.005, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 10000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""weight_decay"": 0.005}",0.61,0.584,211,Accuracy,higher,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_005\seed_5\run_0
glant_v7_cora_hpo,Cora,GLANT_v7,6,6,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.4, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 32, ""hop_scalar_profile"": ""balanced"", ""lr"": 0.003, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 40000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""weight_decay"": 0.0005}",0.704,0.721,297,Accuracy,higher,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_006\seed_6\run_0
glant_v7_cora_hpo,Cora,GLANT_v7,7,7,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.4, ""branch_norm"": ""layernorm"", ""dropout"": 0.5, ""heads"": 8, ""hidden_channels"": 32, ""hop_scalar_profile"": ""one_hop_strong"", ""lr"": 0.005, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 10000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""weight_decay"": 0.002}",0.768,0.756,17,Accuracy,higher,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_007\seed_7\run_0
glant_v7_cora_hpo,Cora,GLANT_v7,8,8,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.4, ""branch_norm"": ""layernorm"", ""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.01, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""weight_decay"": 0.005}",0.652,0.617,22,Accuracy,higher,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_008\seed_8\run_0
glant_v7_cora_hpo,Cora,GLANT_v7,9,9,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.25, ""branch_norm"": ""layernorm"", ""dropout"": 0.7, ""heads"": 8, ""hidden_channels"": 96, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.005, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 40000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""weight_decay"": 0.001}",0.766,0.784,25,Accuracy,higher,results\launches\glant_v7_cora_hpo\raw\Cora\GLANT_v7\hpo_trial_009\seed_9\run_0
