event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3
forward,0,train,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.8999999761581421, 0.949999988079071, 0.25, 0.10000000149011612]",,,,0,,,0.9000000357627869,0.949999988079071,0.25,0.09999999403953552,0.0,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.25,0.10000000149011612,,,,,,,,,,,,,,,,
backward,0,train,0,0.005,4,,,,,,,,,,,,0,0.008352081291377544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,4,,,,,,,,,,,,0,0.007721152156591415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.899549126625061, 0.9497619271278381, 0.25093865394592285, 0.10045088827610016]",,,,0,,,0.899549126625061,0.9497619271278381,0.25093865394592285,0.10045088082551956,0.0,0.0,0.0,0.0,0.899549126625061,0.9497619271278381,0.25093865394592285,0.10045088827610016,,,,,,,,,,,,,,,,
forward,0,test,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.899549126625061, 0.9497619271278381, 0.25093865394592285, 0.10045088827610016]",,,,0,,,0.899549126625061,0.9497619271278381,0.25093865394592285,0.10045088082551956,0.0,0.0,0.0,0.0,0.899549126625061,0.9497619271278381,0.25093865394592285,0.10045088827610016,,,,,,,,,,,,,,,,
forward,50,train,0,0.000648,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.8925707340240479, 0.9434550404548645, 0.2634628415107727, 0.10816251486539841]",,,,0,,,0.8925707340240479,0.9434551000595093,0.2634628415107727,0.10816250741481781,0.0,0.0,0.0,0.0,0.8925707340240479,0.9434550404548645,0.2634628415107727,0.10816251486539841,,,,,,,,,,,,,,,,
backward,50,train,0,0.000648,4,,,,,,,,,,,,0,0.005552404560148716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.000648,4,,,,,,,,,,,,0,0.0054055205546319485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.000648,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.8925468921661377, 0.9434217214584351, 0.26346585154533386, 0.10819274932146072]",,,,0,,,0.8925468921661377,0.9434218406677246,0.26346585154533386,0.10819275677204132,0.0,0.0,0.0,0.0,0.8925468921661377,0.9434217214584351,0.26346585154533386,0.10819274932146072,,,,,,,,,,,,,,,,
forward,50,test,0,0.000648,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 32]","[false, false, false, false]","[0.8925468921661377, 0.9434217214584351, 0.26346585154533386, 0.10819274932146072]",,,,0,,,0.8925468921661377,0.9434218406677246,0.26346585154533386,0.10819275677204132,0.0,0.0,0.0,0.0,0.8925468921661377,0.9434217214584351,0.26346585154533386,0.10819274932146072,,,,,,,,,,,,,,,,
