epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3
0,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 96]","[false, false, false, false]","[0.949999988079071, 0.8999999761581421, 0.699999988079071, 0.44999998807907104]",0.949999988079071,0.9000000357627869,0.7000000476837158,0.4500000178813934,0.0,0.0,0.0,0.0,0.949999988079071,0.8999999761581421,0.699999988079071,0.449999988079071
0,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 96]","[false, false, false, false]","[0.9497619271278381, 0.899549126625061, 0.6989489793777466, 0.4512377083301544]",0.949761927127838,0.899549126625061,0.6989489197731018,0.451237678527832,0.0,0.0,0.0,0.0,0.949761927127838,0.899549126625061,0.6989489793777466,0.4512377083301544
0,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 96]","[false, false, false, false]","[0.9497619271278381, 0.899549126625061, 0.6989489793777466, 0.4512377083301544]",0.949761927127838,0.899549126625061,0.6989489197731018,0.451237678527832,0.0,0.0,0.0,0.0,0.949761927127838,0.899549126625061,0.6989489793777466,0.4512377083301544
50,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 96]","[false, false, false, false]","[0.9503856301307678, 0.886239230632782, 0.6700795292854309, 0.4739552438259125]",0.9503856301307678,0.8862391114234924,0.6700794696807861,0.4739551842212677,0.0,0.0,0.0,0.0,0.9503856301307678,0.886239230632782,0.6700795292854309,0.4739552438259125
50,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 96]","[false, false, false, false]","[0.9505893588066101, 0.886189877986908, 0.6699953079223633, 0.47380512952804565]",0.9505892992019652,0.886189877986908,0.6699952483177185,0.4738051891326904,0.0,0.0,0.0,0.0,0.95058935880661,0.886189877986908,0.6699953079223633,0.4738051295280456
50,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 96]","[false, false, false, false]","[0.9505893588066101, 0.886189877986908, 0.6699953079223633, 0.47380512952804565]",0.9505892992019652,0.886189877986908,0.6699952483177185,0.4738051891326904,0.0,0.0,0.0,0.0,0.95058935880661,0.886189877986908,0.6699953079223633,0.4738051295280456
100,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 96]","[false, false, false, false]","[0.9530224800109863, 0.883539080619812, 0.664892852306366, 0.4717651903629303]",0.9530223608016968,0.8835391402244568,0.6648929119110107,0.4717651307582855,0.0,0.0,0.0,0.0,0.9530224800109864,0.883539080619812,0.664892852306366,0.4717651903629303
100,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 96]","[false, false, false, false]","[0.9530338644981384, 0.8835242986679077, 0.6648457050323486, 0.4717459976673126]",0.9530337452888488,0.8835243582725525,0.6648456454277039,0.471746027469635,0.0,0.0,0.0,0.0,0.9530338644981384,0.8835242986679077,0.6648457050323486,0.4717459976673126
100,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 96]","[false, false, false, false]","[0.9530338644981384, 0.8835242986679077, 0.6648457050323486, 0.4717459976673126]",0.9530337452888488,0.8835243582725525,0.6648456454277039,0.471746027469635,0.0,0.0,0.0,0.0,0.9530338644981384,0.8835242986679077,0.6648457050323486,0.4717459976673126
150,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 96]","[false, false, false, false]","[0.9532931447029114, 0.883442759513855, 0.6649951338768005, 0.4717532694339752]",0.9532932043075562,0.8834426403045654,0.6649951338768005,0.4717532396316528,0.0,0.0,0.0,0.0,0.9532931447029114,0.883442759513855,0.6649951338768005,0.4717532694339752
