event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8999999761581421, 0.949999988079071, 0.5]",,,,0,,,0.9000000357627869,0.9499999284744263,0.5,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.5,,,,,,,,,,,,
backward,0,train,0,0.003,3,,,,,,,,,,,,0,0.0040347035974264145,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.003,3,,,,,,,,,,,,0,0.007548616733402014,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8997296690940857, 0.9498573541641235, 0.49924999475479126]",,,,0,,,0.8997296094894409,0.949857234954834,0.49924999475479126,0.0,0.0,0.0,0.8997296690940857,0.9498573541641235,0.49924999475479126,,,,,,,,,,,,
forward,0,test,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8997296690940857, 0.9498573541641235, 0.49924999475479126]",,,,0,,,0.8997296094894409,0.949857234954834,0.49924999475479126,0.0,0.0,0.0,0.8997296690940857,0.9498573541641235,0.49924999475479126,,,,,,,,,,,,
forward,50,train,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8869450092315674, 0.9426704049110413, 0.5010848045349121]",,,,0,,,0.8869450092315674,0.9426704049110413,0.5010848045349121,0.0,0.0,0.0,0.8869450092315674,0.9426704049110413,0.5010848045349121,,,,,,,,,,,,
backward,50,train,0,0.003,3,,,,,,,,,,,,0,0.005590157583355904,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.003,3,,,,,,,,,,,,0,0.03558473289012909,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8866835236549377, 0.9425294995307922, 0.5010747909545898]",,,,0,,,0.8866835832595825,0.9425293803215027,0.5010747909545898,0.0,0.0,0.0,0.8866835236549377,0.9425294995307922,0.5010747909545898,,,,,,,,,,,,
forward,50,test,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8866835236549377, 0.9425294995307922, 0.5010747909545898]",,,,0,,,0.8866835832595825,0.9425293803215027,0.5010747909545898,0.0,0.0,0.0,0.8866835236549377,0.9425294995307922,0.5010747909545898,,,,,,,,,,,,
forward,100,train,0,0.000648,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8774690628051758, 0.9374244213104248, 0.5052058696746826]",,,,0,,,0.877469003200531,0.9374244213104248,0.5052058696746826,0.0,0.0,0.0,0.8774690628051758,0.9374244213104248,0.5052058696746826,,,,,,,,,,,,
backward,100,train,0,0.000648,3,,,,,,,,,,,,0,0.009656793437898159,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.000648,3,,,,,,,,,,,,0,0.01347406953573227,,,,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.000648,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8774010539054871, 0.9373852610588074, 0.5053296089172363]",,,,0,,,0.8774009943008423,0.9373851418495178,0.5053295493125916,0.0,0.0,0.0,0.8774010539054871,0.9373852610588074,0.5053296089172363,,,,,,,,,,,,
forward,100,test,0,0.000648,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8774010539054871, 0.9373852610588074, 0.5053296089172363]",,,,0,,,0.8774009943008423,0.9373851418495178,0.5053295493125916,0.0,0.0,0.0,0.8774010539054871,0.9373852610588074,0.5053296089172363,,,,,,,,,,,,
forward,150,train,0,5.038847999999999e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8763503432273865, 0.9367372989654541, 0.5053379535675049]",,,,0,,,0.8763503432273865,0.9367372393608093,0.5053379535675049,0.0,0.0,0.0,0.8763503432273865,0.9367372989654541,0.5053379535675049,,,,,,,,,,,,
backward,150,train,0,5.038847999999999e-05,3,,,,,,,,,,,,0,0.007885895669460297,,,,,,,,,,,,,,,,,,,,,,
backward,150,train,1,5.038847999999999e-05,3,,,,,,,,,,,,0,0.010301375761628151,,,,,,,,,,,,,,,,,,,,,,
forward,150,val,0,5.038847999999999e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8763455152511597, 0.9367349147796631, 0.5053384304046631]",,,,0,,,0.8763454556465149,0.9367349147796631,0.5053384304046631,0.0,0.0,0.0,0.8763455152511597,0.9367349147796631,0.5053384304046631,,,,,,,,,,,,
forward,150,test,0,5.038847999999999e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8763455152511597, 0.9367349147796631, 0.5053384304046631]",,,,0,,,0.8763454556465149,0.9367349147796631,0.5053384304046631,0.0,0.0,0.0,0.8763455152511597,0.9367349147796631,0.5053384304046631,,,,,,,,,,,,
forward,200,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8762237429618835, 0.9366756081581116, 0.5053658485412598]",,,,0,,,0.8762237429618835,0.9366756081581116,0.5053658485412598,0.0,0.0,0.0,0.8762237429618835,0.9366756081581116,0.5053658485412598,,,,,,,,,,,,
backward,200,train,0,1e-05,3,,,,,,,,,,,,0,0.02321680448949337,,,,,,,,,,,,,,,,,,,,,,
backward,200,train,1,1e-05,3,,,,,,,,,,,,0,0.016620740294456482,,,,,,,,,,,,,,,,,,,,,,
forward,200,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8762227892875671, 0.9366751909255981, 0.5053657293319702]",,,,0,,,0.8762228488922119,0.9366750717163086,0.5053656697273254,0.0,0.0,0.0,0.8762227892875671,0.9366751909255981,0.5053657293319702,,,,,,,,,,,,
forward,200,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8762227892875671, 0.9366751909255981, 0.5053657293319702]",,,,0,,,0.8762228488922119,0.9366750717163086,0.5053656697273254,0.0,0.0,0.0,0.8762227892875671,0.9366751909255981,0.5053657293319702,,,,,,,,,,,,
forward,250,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8761729598045349, 0.9366489052772522, 0.5053961873054504]",,,,0,,,0.8761729001998901,0.9366489052772522,0.5053961873054504,0.0,0.0,0.0,0.8761729598045349,0.9366489052772522,0.5053961873054504,,,,,,,,,,,,
backward,250,train,0,1e-05,3,,,,,,,,,,,,0,0.021938825026154518,,,,,,,,,,,,,,,,,,,,,,
backward,250,train,1,1e-05,3,,,,,,,,,,,,0,0.0251140333712101,,,,,,,,,,,,,,,,,,,,,,
forward,250,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.876171886920929, 0.9366483688354492, 0.5053970217704773]",,,,0,,,0.8761718273162842,0.9366483688354492,0.5053970217704773,0.0,0.0,0.0,0.876171886920929,0.9366483688354492,0.5053970217704773,,,,,,,,,,,,
forward,250,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.876171886920929, 0.9366483688354492, 0.5053970217704773]",,,,0,,,0.8761718273162842,0.9366483688354492,0.5053970217704773,0.0,0.0,0.0,0.876171886920929,0.9366483688354492,0.5053970217704773,,,,,,,,,,,,
forward,300,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8761240839958191, 0.936622679233551, 0.5054152607917786]",,,,0,,,0.8761240243911743,0.9366227984428406,0.5054152607917786,0.0,0.0,0.0,0.8761240839958191,0.936622679233551,0.5054152607917786,,,,,,,,,,,,
backward,300,train,0,1e-05,3,,,,,,,,,,,,0,0.02110832929611206,,,,,,,,,,,,,,,,,,,,,,
backward,300,train,1,1e-05,3,,,,,,,,,,,,0,0.019309572875499725,,,,,,,,,,,,,,,,,,,,,,
