epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.031830072402954,1.9705383777618408,1.9555304050445557,0.15714285714285714,0.076,0.078,0.003,0.076,0.078,0,Accuracy,higher,hpo,0
1,2.006531000137329,1.9439799785614014,1.9370505809783936,0.4857142857142857,0.292,0.274,0.003,0.292,0.274,1,Accuracy,higher,hpo,0
2,1.9413055181503296,1.8823800086975098,1.8796982765197754,0.5071428571428571,0.274,0.278,0.003,0.292,0.274,1,Accuracy,higher,hpo,0
3,1.9224293231964111,1.8506481647491455,1.849607229232788,0.7071428571428572,0.338,0.367,0.003,0.338,0.367,3,Accuracy,higher,hpo,0
4,1.852455735206604,1.8207614421844482,1.820163607597351,0.5571428571428572,0.284,0.305,0.003,0.338,0.367,3,Accuracy,higher,hpo,0
5,1.8024739027023315,1.7865774631500244,1.78507399559021,0.6642857142857143,0.434,0.426,0.003,0.434,0.426,5,Accuracy,higher,hpo,0
6,1.8530207872390747,1.750615119934082,1.746356725692749,0.8142857142857143,0.5,0.508,0.003,0.5,0.508,6,Accuracy,higher,hpo,0
7,1.696353793144226,1.6908137798309326,1.6835821866989136,0.95,0.638,0.652,0.003,0.638,0.652,7,Accuracy,higher,hpo,0
8,1.5437780618667603,1.5979093313217163,1.5889331102371216,0.9785714285714285,0.66,0.659,0.003,0.66,0.659,8,Accuracy,higher,hpo,0
9,1.477421522140503,1.4549425840377808,1.4486945867538452,0.9714285714285714,0.67,0.63,0.003,0.67,0.63,9,Accuracy,higher,hpo,0
10,1.328923225402832,1.2850029468536377,1.2839308977127075,0.9714285714285714,0.658,0.636,0.003,0.67,0.63,9,Accuracy,higher,hpo,0
11,1.2193403244018555,1.1349025964736938,1.1296191215515137,0.9785714285714285,0.662,0.66,0.003,0.67,0.63,9,Accuracy,higher,hpo,0
12,1.1081689596176147,0.9963337779045105,0.9870830178260803,0.9857142857142858,0.726,0.725,0.003,0.726,0.725,12,Accuracy,higher,hpo,0
13,0.8951743245124817,0.8949954509735107,0.8827397227287292,0.9928571428571429,0.764,0.766,0.003,0.764,0.766,13,Accuracy,higher,hpo,0
14,0.8298400044441223,0.8524050116539001,0.8301678895950317,0.9857142857142858,0.766,0.775,0.003,0.766,0.775,14,Accuracy,higher,hpo,0
15,0.7016794681549072,0.8568689227104187,0.8255351185798645,1.0,0.752,0.757,0.003,0.766,0.775,14,Accuracy,higher,hpo,0
16,0.6220480799674988,0.8255279660224915,0.7924529910087585,1.0,0.744,0.764,0.003,0.766,0.775,14,Accuracy,higher,hpo,0
17,0.5452340841293335,0.7709728479385376,0.7386062741279602,1.0,0.764,0.771,0.003,0.766,0.775,14,Accuracy,higher,hpo,0
18,0.4944101572036743,0.7429711818695068,0.7098543643951416,1.0,0.772,0.777,0.003,0.772,0.777,18,Accuracy,higher,hpo,0
19,0.45117172598838806,0.7331071496009827,0.6966808438301086,1.0,0.772,0.773,0.003,0.772,0.777,18,Accuracy,higher,hpo,0
20,0.4113905131816864,0.7135596871376038,0.6712761521339417,1.0,0.786,0.78,0.003,0.786,0.78,20,Accuracy,higher,hpo,0
21,0.364166259765625,0.6940433382987976,0.6455360651016235,1.0,0.772,0.79,0.003,0.786,0.78,20,Accuracy,higher,hpo,0
22,0.33301931619644165,0.6848586201667786,0.6322906613349915,1.0,0.776,0.79,0.003,0.786,0.78,20,Accuracy,higher,hpo,0
23,0.2680028975009918,0.6801539063453674,0.6217700242996216,1.0,0.77,0.795,0.003,0.786,0.78,20,Accuracy,higher,hpo,0
24,0.25510290265083313,0.6706315875053406,0.6051314473152161,1.0,0.774,0.804,0.003,0.786,0.78,20,Accuracy,higher,hpo,0
25,0.23056559264659882,0.657127320766449,0.5844437479972839,1.0,0.78,0.81,0.003,0.786,0.78,20,Accuracy,higher,hpo,0
26,0.21548359096050262,0.6598274111747742,0.582222044467926,1.0,0.788,0.806,0.003,0.788,0.806,26,Accuracy,higher,hpo,0
27,0.20361895859241486,0.6976875066757202,0.6168750524520874,1.0,0.78,0.795,0.003,0.788,0.806,26,Accuracy,higher,hpo,0
28,0.1913415938615799,0.7321721315383911,0.649191677570343,1.0,0.77,0.782,0.003,0.788,0.806,26,Accuracy,higher,hpo,0
29,0.1745258867740631,0.7499169111251831,0.6654932498931885,1.0,0.764,0.769,0.003,0.788,0.806,26,Accuracy,higher,hpo,0
30,0.13492077589035034,0.7504758238792419,0.6633455753326416,1.0,0.744,0.778,0.003,0.788,0.806,26,Accuracy,higher,hpo,0
31,0.1681002974510193,0.7300156354904175,0.6396908760070801,1.0,0.758,0.79,0.003,0.788,0.806,26,Accuracy,higher,hpo,0
32,0.12966182827949524,0.6883114576339722,0.5965600609779358,1.0,0.788,0.802,0.003,0.788,0.806,26,Accuracy,higher,hpo,0
33,0.09739258885383606,0.6702207326889038,0.5734455585479736,1.0,0.794,0.819,0.003,0.794,0.819,33,Accuracy,higher,hpo,0
34,0.09156390279531479,0.6804267764091492,0.5754755735397339,1.0,0.794,0.819,0.003,0.794,0.819,33,Accuracy,higher,hpo,0
35,0.07897860556840897,0.7095857262611389,0.5960667729377747,1.0,0.784,0.818,0.003,0.794,0.819,33,Accuracy,higher,hpo,0
36,0.10297294706106186,0.7535894513130188,0.6316595673561096,1.0,0.772,0.81,0.003,0.794,0.819,33,Accuracy,higher,hpo,0
37,0.06958648562431335,0.7903109192848206,0.6644513607025146,1.0,0.76,0.804,0.0018,0.794,0.819,33,Accuracy,higher,hpo,0
38,0.0902906283736229,0.820115864276886,0.6944368481636047,1.0,0.758,0.799,0.0018,0.794,0.819,33,Accuracy,higher,hpo,0
39,0.09017712622880936,0.8284038305282593,0.7068941593170166,1.0,0.754,0.79,0.0018,0.794,0.819,33,Accuracy,higher,hpo,0
40,0.059272412210702896,0.8336918950080872,0.7156632542610168,1.0,0.754,0.787,0.0018,0.794,0.819,33,Accuracy,higher,hpo,0
41,0.07706774771213531,0.8291361927986145,0.7127635478973389,1.0,0.758,0.788,0.0018,0.794,0.819,33,Accuracy,higher,hpo,0
42,0.05968828871846199,0.8128043413162231,0.699355959892273,1.0,0.764,0.792,0.0018,0.794,0.819,33,Accuracy,higher,hpo,0
43,0.09092080593109131,0.8007209897041321,0.6847978234291077,1.0,0.764,0.801,0.0018,0.794,0.819,33,Accuracy,higher,hpo,0
44,0.0677076056599617,0.7939565777778625,0.6745548248291016,1.0,0.764,0.802,0.0018,0.794,0.819,33,Accuracy,higher,hpo,0
45,0.05528608337044716,0.7987014055252075,0.6738463044166565,1.0,0.762,0.805,0.0018,0.794,0.819,33,Accuracy,higher,hpo,0
46,0.05654500797390938,0.7967612147331238,0.6678212881088257,1.0,0.772,0.799,0.0018,0.794,0.819,33,Accuracy,higher,hpo,0
47,0.04734164476394653,0.7881836295127869,0.6574427485466003,1.0,0.778,0.804,0.0018,0.794,0.819,33,Accuracy,higher,hpo,0
48,0.039765357971191406,0.7854903936386108,0.6541827321052551,1.0,0.778,0.805,0.00108,0.794,0.819,33,Accuracy,higher,hpo,0
49,0.05211612954735756,0.7751997113227844,0.6452429294586182,1.0,0.782,0.809,0.00108,0.794,0.819,33,Accuracy,higher,hpo,0
50,0.05833188444375992,0.7645310759544373,0.6382989287376404,1.0,0.788,0.816,0.00108,0.794,0.819,33,Accuracy,higher,hpo,0
51,0.04679712653160095,0.7593233585357666,0.6373889446258545,1.0,0.784,0.819,0.00108,0.794,0.819,33,Accuracy,higher,hpo,0
52,0.04136364907026291,0.7578560709953308,0.6409511566162109,1.0,0.784,0.817,0.00108,0.794,0.819,33,Accuracy,higher,hpo,0
53,0.042430680245161057,0.7643713355064392,0.6518957018852234,1.0,0.782,0.812,0.00108,0.794,0.819,33,Accuracy,higher,hpo,0
54,0.046407267451286316,0.7781157493591309,0.668651282787323,1.0,0.776,0.808,0.00108,0.794,0.819,33,Accuracy,higher,hpo,0
55,0.04357308894395828,0.79791259765625,0.6897830367088318,1.0,0.772,0.804,0.00108,0.794,0.819,33,Accuracy,higher,hpo,0
56,0.036764368414878845,0.8208757638931274,0.7132222652435303,1.0,0.77,0.793,0.00108,0.794,0.819,33,Accuracy,higher,hpo,0
57,0.04450273513793945,0.8470641374588013,0.737952470779419,1.0,0.76,0.79,0.00108,0.794,0.819,33,Accuracy,higher,hpo,0
58,0.045197319239377975,0.8692119717597961,0.7591689825057983,1.0,0.758,0.788,0.00108,0.794,0.819,33,Accuracy,higher,hpo,0
59,0.04510515183210373,0.874711275100708,0.76459139585495,1.0,0.758,0.787,0.000648,0.794,0.819,33,Accuracy,higher,hpo,0
60,0.04914237558841705,0.8791627287864685,0.7677797079086304,1.0,0.756,0.785,0.000648,0.794,0.819,33,Accuracy,higher,hpo,0
61,0.04796559363603592,0.8742155432701111,0.7622119188308716,1.0,0.758,0.787,0.000648,0.794,0.819,33,Accuracy,higher,hpo,0
62,0.03335464745759964,0.8653509020805359,0.752699077129364,1.0,0.754,0.786,0.000648,0.794,0.819,33,Accuracy,higher,hpo,0
63,0.035884857177734375,0.856001615524292,0.7422701120376587,1.0,0.752,0.79,0.000648,0.794,0.819,33,Accuracy,higher,hpo,0
64,0.03715383633971214,0.8479240536689758,0.7323479652404785,1.0,0.752,0.792,0.000648,0.794,0.819,33,Accuracy,higher,hpo,0
65,0.05235793814063072,0.8351948261260986,0.7170208096504211,1.0,0.756,0.8,0.000648,0.794,0.819,33,Accuracy,higher,hpo,0
66,0.03735392540693283,0.8268361687660217,0.7056896090507507,1.0,0.758,0.803,0.000648,0.794,0.819,33,Accuracy,higher,hpo,0
67,0.048466116189956665,0.8171404004096985,0.6946547031402588,1.0,0.764,0.805,0.000648,0.794,0.819,33,Accuracy,higher,hpo,0
68,0.039605848491191864,0.8043480515480042,0.6815836429595947,1.0,0.772,0.813,0.000648,0.794,0.819,33,Accuracy,higher,hpo,0
69,0.046043433248996735,0.7929338216781616,0.670707643032074,1.0,0.776,0.814,0.000648,0.794,0.819,33,Accuracy,higher,hpo,0
70,0.0415203794836998,0.7866649031639099,0.6645492911338806,1.0,0.776,0.816,0.0003888,0.794,0.819,33,Accuracy,higher,hpo,0
71,0.034355442970991135,0.7836429476737976,0.6615340113639832,1.0,0.782,0.817,0.0003888,0.794,0.819,33,Accuracy,higher,hpo,0
72,0.03769748657941818,0.7819755673408508,0.6597561240196228,1.0,0.78,0.816,0.0003888,0.794,0.819,33,Accuracy,higher,hpo,0
73,0.04191615805029869,0.7799348831176758,0.6579360961914062,1.0,0.782,0.817,0.0003888,0.794,0.819,33,Accuracy,higher,hpo,0
74,0.043830741196870804,0.779209554195404,0.6578396558761597,1.0,0.786,0.817,0.0003888,0.794,0.819,33,Accuracy,higher,hpo,0
75,0.0473460853099823,0.7810103297233582,0.6603553295135498,1.0,0.784,0.815,0.0003888,0.794,0.819,33,Accuracy,higher,hpo,0
