epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
0,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8999999761581421, 0.949999988079071, 0.5]",0.9000000357627869,0.9499999284744264,0.5,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.5
0,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8997296690940857, 0.9498573541641235, 0.49924999475479126]",0.8997296094894409,0.949857234954834,0.4992499947547912,0.0,0.0,0.0,0.8997296690940857,0.9498573541641236,0.4992499947547912
0,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8997296690940857, 0.9498573541641235, 0.49924999475479126]",0.8997296094894409,0.949857234954834,0.4992499947547912,0.0,0.0,0.0,0.8997296690940857,0.9498573541641236,0.4992499947547912
50,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8869917392730713, 0.9426475167274475, 0.500956654548645]",0.886991560459137,0.9426475167274476,0.500956654548645,0.0,0.0,0.0,0.8869917392730713,0.9426475167274476,0.500956654548645
50,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8867206573486328, 0.9425069689750671, 0.5009600520133972]",0.8867207169532776,0.942507028579712,0.5009600520133972,0.0,0.0,0.0,0.8867206573486328,0.9425069689750672,0.5009600520133972
50,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8867206573486328, 0.9425069689750671, 0.5009600520133972]",0.8867207169532776,0.942507028579712,0.5009600520133972,0.0,0.0,0.0,0.8867206573486328,0.9425069689750672,0.5009600520133972
100,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8770003318786621, 0.9372924566268921, 0.5059496760368347]",0.8770003318786621,0.937292456626892,0.5059496760368347,0.0,0.0,0.0,0.8770003318786621,0.937292456626892,0.5059496760368347
100,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8769354820251465, 0.9372537732124329, 0.5060492157936096]",0.8769354224205017,0.9372536540031432,0.5060492157936096,0.0,0.0,0.0,0.8769354820251465,0.9372537732124328,0.5060492157936096
100,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8769354820251465, 0.9372537732124329, 0.5060492157936096]",0.8769354224205017,0.9372536540031432,0.5060492157936096,0.0,0.0,0.0,0.8769354820251465,0.9372537732124328,0.5060492157936096
150,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8758942484855652, 0.9365411996841431, 0.5061498284339905]",0.8758942484855652,0.9365412592887878,0.5061498284339905,0.0,0.0,0.0,0.8758942484855652,0.9365411996841432,0.5061498284339905
150,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8758862018585205, 0.9365369081497192, 0.5061522722244263]",0.8758862018585205,0.936536967754364,0.5061522722244263,0.0,0.0,0.0,0.8758862018585205,0.9365369081497192,0.5061522722244263
150,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8758862018585205, 0.9365369081497192, 0.5061522722244263]",0.8758862018585205,0.936536967754364,0.5061522722244263,0.0,0.0,0.0,0.8758862018585205,0.9365369081497192,0.5061522722244263
200,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757603764533997, 0.936474084854126, 0.5061911940574646]",0.8757603764533997,0.9364740252494812,0.5061911940574646,0.0,0.0,0.0,0.8757603764533997,0.936474084854126,0.5061911940574646
200,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757594227790833, 0.936473548412323, 0.5061912536621094]",0.8757594227790833,0.9364734888076782,0.5061912536621094,0.0,0.0,0.0,0.8757594227790833,0.936473548412323,0.5061912536621094
200,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757594227790833, 0.936473548412323, 0.5061912536621094]",0.8757594227790833,0.9364734888076782,0.5061912536621094,0.0,0.0,0.0,0.8757594227790833,0.936473548412323,0.5061912536621094
250,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757113218307495, 0.9364466071128845, 0.5062199234962463]",0.8757113218307495,0.9364466071128844,0.5062199234962463,0.0,0.0,0.0,0.8757113218307495,0.9364466071128844,0.5062199234962463
250,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757102489471436, 0.9364460706710815, 0.5062206387519836]",0.8757102489471436,0.9364460706710817,0.5062206387519836,0.0,0.0,0.0,0.8757102489471436,0.9364460706710817,0.5062206387519836
250,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757102489471436, 0.9364460706710815, 0.5062206387519836]",0.8757102489471436,0.9364460706710817,0.5062206387519836,0.0,0.0,0.0,0.8757102489471436,0.9364460706710817,0.5062206387519836
300,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8756625056266785, 0.9364197254180908, 0.5062410831451416]",0.8756625056266785,0.9364197254180908,0.5062410831451416,0.0,0.0,0.0,0.8756625056266785,0.9364197254180908,0.5062410831451416
300,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8756616115570068, 0.9364191889762878, 0.506241500377655]",0.8756616115570068,0.9364191889762878,0.5062414407730103,0.0,0.0,0.0,0.8756616115570068,0.9364191889762878,0.506241500377655
300,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8756616115570068, 0.9364191889762878, 0.506241500377655]",0.8756616115570068,0.9364191889762878,0.5062414407730103,0.0,0.0,0.0,0.8756616115570068,0.9364191889762878,0.506241500377655
