launch_id,dataset_name,model_name,trial_id,seed,params,best_val_metric,final_test_metric,best_epoch,metric_name,metric_direction,run_dir
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,0,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.25, ""branch_norm"": ""layernorm"", ""dropout"": 0.7, ""heads"": 2, ""hidden_channels"": 64, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.005, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_num_banks"": 3, ""weight_decay"": 0.005}",0.472,0.114,19,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_000\seed_0\run_0
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,1,0,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.65, ""branch_norm"": ""layernorm"", ""dropout"": 0.7, ""heads"": 2, ""hidden_channels"": 32, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.005, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 10000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_num_banks"": 2, ""weight_decay"": 0.001}",0.524,0.564,326,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_001\seed_0\run_0
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,2,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.65, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 1, ""hidden_channels"": 64, ""hop_scalar_profile"": ""balanced"", ""lr"": 0.01, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 20000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 2, ""weight_decay"": 0.005}",0.77,0.755,27,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_002\seed_0\run_0
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,3,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.25, ""branch_norm"": ""none"", ""dropout"": 0.6, ""heads"": 4, ""hidden_channels"": 96, ""hop_scalar_profile"": ""front_loaded"", ""lr"": 0.005, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 3, ""weight_decay"": 0.0005}",0.754,0.762,79,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_003\seed_0\run_0
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,4,0,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.4, ""branch_norm"": ""layernorm"", ""dropout"": 0.35, ""heads"": 1, ""hidden_channels"": 32, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.003, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 1, ""weight_decay"": 0.001}",0.73,0.738,67,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_004\seed_0\run_0
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,5,0,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.55, ""branch_norm"": ""layernorm"", ""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""hop_scalar_profile"": ""balanced"", ""lr"": 0.005, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 40000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 1, ""weight_decay"": 0.0005}",0.772,0.745,14,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_005\seed_0\run_0
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,6,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.4, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 1, ""hidden_channels"": 32, ""hop_scalar_profile"": ""balanced"", ""lr"": 0.005, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 2, ""weight_decay"": 0.001}",0.776,0.784,91,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_006\seed_0\run_0
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,7,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.55, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 32, ""hop_scalar_profile"": ""one_hop_strong"", ""lr"": 0.003, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 20000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_num_banks"": 2, ""weight_decay"": 0.002}",0.81,0.807,51,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_007\seed_0\run_0
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,8,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.25, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 8, ""hidden_channels"": 96, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.01, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_num_banks"": 1, ""weight_decay"": 0.002}",0.632,0.587,29,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_008\seed_0\run_0
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,9,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.4, ""branch_norm"": ""none"", ""dropout"": 0.35, ""heads"": 4, ""hidden_channels"": 64, ""hop_scalar_profile"": ""one_hop_strong"", ""lr"": 0.01, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 40000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 3, ""weight_decay"": 0.0005}",0.59,0.581,105,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_009\seed_0\run_0
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,10,0,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.55, ""branch_norm"": ""none"", ""dropout"": 0.6, ""heads"": 8, ""hidden_channels"": 32, ""hop_scalar_profile"": ""one_hop_strong"", ""lr"": 0.003, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 20000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_num_banks"": 2, ""weight_decay"": 0.002}",0.808,0.816,62,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_010\seed_0\run_0
glant_v7_edge_hop_hpo_cora_fixed_seed0,Cora,GLANT_v7,11,0,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.55, ""branch_norm"": ""none"", ""dropout"": 0.6, ""heads"": 8, ""hidden_channels"": 32, ""hop_scalar_profile"": ""one_hop_strong"", ""lr"": 0.003, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 20000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_num_banks"": 2, ""weight_decay"": 0.002}",0.81,0.811,62,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_011\seed_0\run_0
