number,value,state,params_act,params_alpha,params_attn_dropout,params_branch_norm,params_dropout,params_heads,params_hidden_channels,params_hop_scalar_profile,params_lr,params_max_hops,params_norm,params_num_edges,params_num_layers,params_root_scalar_init,params_v7_num_banks,params_weight_decay,user_attrs_best_epoch,user_attrs_final_test_metric,user_attrs_run_dir
0,0.472,COMPLETE,elu,1.0,0.25,layernorm,0.7,2,64,low_high_hops,0.005,3,layernorm,75000,2,0.9,3,0.005,19,0.114,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_000\seed_0\run_0
1,0.524,COMPLETE,relu,1.0,0.65,layernorm,0.7,2,32,low_high_hops,0.005,3,layernorm,10000,2,0.9,2,0.001,326,0.564,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_001\seed_0\run_0
2,0.77,COMPLETE,elu,1.0,0.65,none,0.5,1,64,balanced,0.01,2,layernorm,20000,2,0.95,2,0.005,27,0.755,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_002\seed_0\run_0
3,0.754,COMPLETE,elu,1.0,0.25,none,0.6,4,96,front_loaded,0.005,3,none,75000,2,0.95,3,0.0005,79,0.762,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_003\seed_0\run_0
4,0.73,COMPLETE,relu,1.0,0.4,layernorm,0.35,1,32,low_high_hops,0.003,2,layernorm,75000,2,0.95,1,0.001,67,0.738,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_004\seed_0\run_0
5,0.772,COMPLETE,relu,1.0,0.55,layernorm,0.5,2,64,balanced,0.005,2,layernorm,40000,2,0.95,1,0.0005,14,0.745,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_005\seed_0\run_0
6,0.776,COMPLETE,elu,1.0,0.4,none,0.5,1,32,balanced,0.005,2,none,75000,2,0.95,2,0.001,91,0.784,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_006\seed_0\run_0
7,0.81,COMPLETE,elu,1.0,0.55,none,0.5,2,32,one_hop_strong,0.003,2,layernorm,20000,2,0.9,2,0.002,51,0.807,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_007\seed_0\run_0
8,0.632,COMPLETE,elu,1.0,0.25,none,0.5,8,96,low_high_hops,0.01,2,none,75000,2,0.9,1,0.002,29,0.587,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_008\seed_0\run_0
9,0.59,COMPLETE,elu,1.0,0.4,none,0.35,4,64,one_hop_strong,0.01,3,none,40000,2,0.95,3,0.0005,105,0.581,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_009\seed_0\run_0
10,0.808,COMPLETE,relu,1.0,0.55,none,0.6,8,32,one_hop_strong,0.003,2,layernorm,20000,2,0.9,2,0.002,62,0.816,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_010\seed_0\run_0
11,0.81,COMPLETE,relu,1.0,0.55,none,0.6,8,32,one_hop_strong,0.003,2,layernorm,20000,2,0.9,2,0.002,62,0.811,results\launches\glant_v7_edge_hop_hpo_cora_fixed_seed0\raw\Cora\GLANT_v7\hpo_trial_011\seed_0\run_0
