epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.1463515758514404,2.0773732662200928,2.074413537979126,0.16428571428571428,0.128,0.14,0.002,0.128,0.14,0,Accuracy,higher,hpo,0
1,2.1462562084198,2.0549778938293457,2.056455612182617,0.38571428571428573,0.218,0.214,0.002,0.218,0.214,1,Accuracy,higher,hpo,0
2,2.093580722808838,1.989273190498352,1.9903438091278076,0.2571428571428571,0.128,0.125,0.002,0.218,0.214,1,Accuracy,higher,hpo,0
3,2.1012327671051025,1.9034432172775269,1.8972771167755127,0.38571428571428573,0.166,0.172,0.002,0.218,0.214,1,Accuracy,higher,hpo,0
4,2.0469088554382324,1.8295830488204956,1.8169113397598267,0.4357142857142857,0.382,0.416,0.002,0.382,0.416,4,Accuracy,higher,hpo,0
5,1.9777858257293701,1.7871191501617432,1.7727010250091553,0.38571428571428573,0.372,0.405,0.002,0.382,0.416,4,Accuracy,higher,hpo,0
6,2.0022664070129395,1.7471133470535278,1.7349629402160645,0.4142857142857143,0.37,0.403,0.002,0.382,0.416,4,Accuracy,higher,hpo,0
7,1.9338752031326294,1.7241814136505127,1.715695858001709,0.6642857142857143,0.494,0.529,0.002,0.494,0.529,7,Accuracy,higher,hpo,0
8,1.887444019317627,1.718481421470642,1.713352918624878,0.8571428571428571,0.618,0.658,0.002,0.618,0.658,8,Accuracy,higher,hpo,0
9,1.9222017526626587,1.7273294925689697,1.723693609237671,0.7928571428571428,0.486,0.491,0.002,0.618,0.658,8,Accuracy,higher,hpo,0
10,1.8174409866333008,1.7295467853546143,1.725866675376892,0.7928571428571428,0.482,0.483,0.002,0.618,0.658,8,Accuracy,higher,hpo,0
11,1.7033451795578003,1.7135004997253418,1.7087600231170654,0.8285714285714286,0.514,0.51,0.002,0.618,0.658,8,Accuracy,higher,hpo,0
12,1.8002742528915405,1.6742075681686401,1.668463110923767,0.8571428571428571,0.522,0.527,0.002,0.618,0.658,8,Accuracy,higher,hpo,0
13,1.7195100784301758,1.611208200454712,1.6020146608352661,0.9071428571428571,0.548,0.556,0.002,0.618,0.658,8,Accuracy,higher,hpo,0
14,1.6602234840393066,1.5134609937667847,1.498777985572815,0.9642857142857143,0.686,0.685,0.002,0.686,0.685,14,Accuracy,higher,hpo,0
15,1.5187357664108276,1.3809138536453247,1.362557291984558,0.9642857142857143,0.786,0.787,0.002,0.786,0.787,15,Accuracy,higher,hpo,0
16,1.4746837615966797,1.2378195524215698,1.218375325202942,0.9714285714285714,0.79,0.792,0.002,0.79,0.792,16,Accuracy,higher,hpo,0
17,1.3426234722137451,1.0983539819717407,1.0821962356567383,0.9714285714285714,0.786,0.796,0.002,0.79,0.792,16,Accuracy,higher,hpo,0
18,1.3009800910949707,0.9696403741836548,0.9569626450538635,0.9642857142857143,0.78,0.812,0.002,0.79,0.792,16,Accuracy,higher,hpo,0
19,1.1856285333633423,0.8700672388076782,0.8562027215957642,0.9928571428571429,0.798,0.826,0.002,0.798,0.826,19,Accuracy,higher,hpo,0
20,1.126960277557373,0.8271307945251465,0.8084434866905212,0.9785714285714285,0.8,0.801,0.002,0.8,0.801,20,Accuracy,higher,hpo,0
21,0.9383926391601562,0.8136538863182068,0.791135847568512,0.9714285714285714,0.776,0.773,0.002,0.8,0.801,20,Accuracy,higher,hpo,0
22,0.8376108407974243,0.8011086583137512,0.7749720215797424,0.9642857142857143,0.764,0.771,0.002,0.8,0.801,20,Accuracy,higher,hpo,0
23,0.7542043328285217,0.7373453974723816,0.708880603313446,0.9857142857142858,0.778,0.788,0.002,0.8,0.801,20,Accuracy,higher,hpo,0
24,0.6722380518913269,0.6614049673080444,0.6331586837768555,0.9785714285714285,0.788,0.809,0.002,0.8,0.801,20,Accuracy,higher,hpo,0
25,0.6133262515068054,0.6049834489822388,0.5805894732475281,0.9714285714285714,0.81,0.813,0.002,0.81,0.813,25,Accuracy,higher,hpo,0
26,0.5888692140579224,0.5877811312675476,0.5638240575790405,0.9857142857142858,0.814,0.823,0.002,0.814,0.823,26,Accuracy,higher,hpo,0
27,0.49893635511398315,0.5901236534118652,0.5652265548706055,0.9857142857142858,0.806,0.818,0.002,0.814,0.823,26,Accuracy,higher,hpo,0
28,0.4902799427509308,0.6084056496620178,0.582555890083313,0.9785714285714285,0.806,0.807,0.002,0.814,0.823,26,Accuracy,higher,hpo,0
29,0.447761207818985,0.6491409540176392,0.621062159538269,0.9785714285714285,0.792,0.794,0.002,0.814,0.823,26,Accuracy,higher,hpo,0
30,0.5029608607292175,0.7033868432044983,0.6731337308883667,0.9857142857142858,0.776,0.772,0.002,0.814,0.823,26,Accuracy,higher,hpo,0
31,0.42068687081336975,0.7363355159759521,0.7047744393348694,0.9857142857142858,0.756,0.761,0.002,0.814,0.823,26,Accuracy,higher,hpo,0
32,0.409473180770874,0.7293456792831421,0.6981470584869385,0.9857142857142858,0.77,0.766,0.002,0.814,0.823,26,Accuracy,higher,hpo,0
33,0.3552549183368683,0.6788474321365356,0.6497498750686646,0.9857142857142858,0.794,0.787,0.002,0.814,0.823,26,Accuracy,higher,hpo,0
