event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.004,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 48]","[false, false, false]","[0.949999988079071, 0.800000011920929, 0.800000011920929]",,,,0,,,0.9499999284744263,0.7999999523162842,0.7999999523162842,0.0,0.0,0.0,0.949999988079071,0.800000011920929,0.800000011920929,,,,,,,,,,,,
backward,0,train,0,0.004,3,,,,,,,,,,,,0,0.0034686499275267124,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.004,3,,,,,,,,,,,,0,0.0037669623270630836,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.004,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 48]","[false, false, false]","[0.9498096704483032, 0.7993592023849487, 0.7993592023849487]",,,,0,,,0.9498096108436584,0.799359142780304,0.799359142780304,0.0,0.0,0.0,0.9498096704483032,0.7993592023849487,0.7993592023849487,,,,,,,,,,,,
forward,0,test,0,0.004,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 48]","[false, false, false]","[0.9498096704483032, 0.7993592023849487, 0.7993592023849487]",,,,0,,,0.9498096108436584,0.799359142780304,0.799359142780304,0.0,0.0,0.0,0.9498096704483032,0.7993592023849487,0.7993592023849487,,,,,,,,,,,,
forward,50,train,0,0.004,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 48]","[false, false, false]","[0.9395825266838074, 0.7877069711685181, 0.7770416736602783]",,,,0,,,0.9395824074745178,0.7877069115638733,0.7770416140556335,0.0,0.0,0.0,0.9395825266838074,0.7877069711685181,0.7770416736602783,,,,,,,,,,,,
backward,50,train,0,0.004,3,,,,,,,,,,,,0,0.032000720500946045,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.004,3,,,,,,,,,,,,0,0.006699667777866125,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.004,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 48]","[false, false, false]","[0.9393535852432251, 0.7876413464546204, 0.77679443359375]",,,,0,,,0.9393535852432251,0.7876412868499756,0.77679443359375,0.0,0.0,0.0,0.9393535852432251,0.7876413464546204,0.77679443359375,,,,,,,,,,,,
forward,50,test,0,0.004,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 48]","[false, false, false]","[0.9393535852432251, 0.7876413464546204, 0.77679443359375]",,,,0,,,0.9393535852432251,0.7876412868499756,0.77679443359375,0.0,0.0,0.0,0.9393535852432251,0.7876413464546204,0.77679443359375,,,,,,,,,,,,
forward,100,train,0,0.0005183999999999999,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 48]","[false, false, false]","[0.9325881600379944, 0.7860716581344604, 0.7688642740249634]",,,,0,,,0.9325881600379944,0.7860715985298157,0.7688641548156738,0.0,0.0,0.0,0.9325881600379944,0.7860716581344604,0.7688642740249634,,,,,,,,,,,,
backward,100,train,0,0.0005183999999999999,3,,,,,,,,,,,,0,0.0032349361572414637,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.0005183999999999999,3,,,,,,,,,,,,0,0.005419796332716942,,,,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.0005183999999999999,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 48]","[false, false, false]","[0.9325594305992126, 0.7860069870948792, 0.7688614726066589]",,,,0,,,0.9325593709945679,0.7860069274902344,0.7688614726066589,0.0,0.0,0.0,0.9325594305992126,0.7860069870948792,0.7688614726066589,,,,,,,,,,,,
forward,100,test,0,0.0005183999999999999,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 48]","[false, false, false]","[0.9325594305992126, 0.7860069870948792, 0.7688614726066589]",,,,0,,,0.9325593709945679,0.7860069274902344,0.7688614726066589,0.0,0.0,0.0,0.9325594305992126,0.7860069870948792,0.7688614726066589,,,,,,,,,,,,
forward,150,train,0,6.718463999999998e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 48]","[false, false, false]","[0.9318529367446899, 0.7849986553192139, 0.7684741616249084]",,,,0,,,0.9318529963493347,0.7849986553192139,0.7684741020202637,0.0,0.0,0.0,0.9318529367446899,0.7849986553192139,0.7684741616249084,,,,,,,,,,,,
backward,150,train,0,6.718463999999998e-05,3,,,,,,,,,,,,0,0.013477165251970291,,,,,,,,,,,,,,,,,,,,,,
backward,150,train,1,6.718463999999998e-05,3,,,,,,,,,,,,0,0.0030306335538625717,,,,,,,,,,,,,,,,,,,,,,
forward,150,val,0,6.718463999999998e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 48]","[false, false, false]","[0.9318486452102661, 0.7849978804588318, 0.7684705853462219]",,,,0,,,0.9318487048149109,0.784997820854187,0.7684705853462219,0.0,0.0,0.0,0.9318486452102661,0.7849978804588318,0.7684705853462219,,,,,,,,,,,,
