epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
0,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8999999761581421, 0.949999988079071, 0.5]",0.9000000357627869,0.9499999284744264,0.5,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.5
0,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",0.8998197317123413,0.9499047994613647,0.5004999041557312,0.0,0.0,0.0,0.8998197913169861,0.9499048590660096,0.500499963760376
0,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",0.8998197317123413,0.9499047994613647,0.5004999041557312,0.0,0.0,0.0,0.8998197913169861,0.9499048590660096,0.500499963760376
50,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8899738788604736, 0.9455679655075073, 0.5138766169548035]",0.8899738788604736,0.9455679655075072,0.5138766169548035,0.0,0.0,0.0,0.8899738788604736,0.9455679655075072,0.5138766169548035
50,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8897512555122375, 0.9454823732376099, 0.5143328905105591]",0.8897511959075928,0.9454823136329652,0.5143328905105591,0.0,0.0,0.0,0.8897512555122375,0.94548237323761,0.5143328905105591
50,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8897512555122375, 0.9454823732376099, 0.5143328905105591]",0.8897511959075928,0.9454823136329652,0.5143328905105591,0.0,0.0,0.0,0.8897512555122375,0.94548237323761,0.5143328905105591
100,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8819088935852051, 0.9415850043296814, 0.5278348326683044]",0.8819089531898499,0.9415850043296814,0.5278348326683044,0.0,0.0,0.0,0.8819088935852051,0.9415850043296814,0.5278348326683044
100,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8818516731262207, 0.9415447115898132, 0.5279003977775574]",0.8818517923355103,0.9415447115898132,0.5279004573822021,0.0,0.0,0.0,0.8818516731262207,0.9415447115898132,0.5279003977775574
100,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8818516731262207, 0.9415447115898132, 0.5279003977775574]",0.8818517923355103,0.9415447115898132,0.5279004573822021,0.0,0.0,0.0,0.8818516731262207,0.9415447115898132,0.5279003977775574
150,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.880780041217804, 0.9408402442932129, 0.5294395089149475]",0.880780041217804,0.9408402442932128,0.5294395089149475,0.0,0.0,0.0,0.880780041217804,0.9408402442932128,0.5294395089149475
150,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8807751536369324, 0.9408373236656189, 0.5294445753097534]",0.8807750344276428,0.9408373236656188,0.5294445753097534,0.0,0.0,0.0,0.8807751536369324,0.9408373236656188,0.5294445753097534
