launch_id,dataset_name,model_name,trial_id,seed,params,best_val_metric,final_test_metric,best_epoch,metric_name,metric_direction,run_dir
glant_v7_edge_hop_hpo_cora_local_seed0,Cora,GLANT_v7,0,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.6, ""branch_norm"": ""none"", ""dropout"": 0.6, ""heads"": 2, ""hidden_channels"": 96, ""hop_scalar_profile"": ""one_hop_strong"", ""lr"": 0.003, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 20000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_input_skip"": false, ""v7_num_banks"": 2, ""weight_decay"": 0.001}",0.794,0.785,68,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_000\seed_0\run_0
glant_v7_edge_hop_hpo_cora_local_seed0,Cora,GLANT_v7,1,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.45, ""branch_norm"": ""none"", ""dropout"": 0.65, ""heads"": 4, ""hidden_channels"": 64, ""hop_scalar_profile"": ""front_loaded"", ""lr"": 0.002, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 30000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_input_skip"": false, ""v7_num_banks"": 2, ""weight_decay"": 0.003}",0.82,0.801,36,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_001\seed_0\run_0
glant_v7_edge_hop_hpo_cora_local_seed0,Cora,GLANT_v7,2,0,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.5, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 64, ""hop_scalar_profile"": ""front_loaded"", ""lr"": 0.004, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 15000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_input_skip"": false, ""v7_num_banks"": 2, ""weight_decay"": 0.001}",0.808,0.803,17,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_002\seed_0\run_0
glant_v7_edge_hop_hpo_cora_local_seed0,Cora,GLANT_v7,3,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.5, ""branch_norm"": ""none"", ""dropout"": 0.65, ""heads"": 8, ""hidden_channels"": 64, ""hop_scalar_profile"": ""balanced"", ""lr"": 0.002, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 20000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_input_skip"": false, ""v7_num_banks"": 2, ""weight_decay"": 0.0015}",0.808,0.806,50,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_003\seed_0\run_0
glant_v7_edge_hop_hpo_cora_local_seed0,Cora,GLANT_v7,4,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.6, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 4, ""hidden_channels"": 48, ""hop_scalar_profile"": ""front_loaded"", ""lr"": 0.004, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 40000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_input_skip"": false, ""v7_num_banks"": 2, ""weight_decay"": 0.002}",0.804,0.793,29,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_004\seed_0\run_0
glant_v7_edge_hop_hpo_cora_local_seed0,Cora,GLANT_v7,5,0,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.6, ""branch_norm"": ""none"", ""dropout"": 0.6, ""heads"": 2, ""hidden_channels"": 32, ""hop_scalar_profile"": ""front_loaded"", ""lr"": 0.002, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 20000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_input_skip"": false, ""v7_num_banks"": 2, ""weight_decay"": 0.005}",0.804,0.799,77,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_005\seed_0\run_0
glant_v7_edge_hop_hpo_cora_local_seed0,Cora,GLANT_v7,6,0,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.45, ""branch_norm"": ""none"", ""dropout"": 0.55, ""heads"": 4, ""hidden_channels"": 48, ""hop_scalar_profile"": ""one_hop_strong"", ""lr"": 0.004, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 40000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_input_skip"": false, ""v7_num_banks"": 2, ""weight_decay"": 0.005}",0.796,0.801,44,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_006\seed_0\run_0
glant_v7_edge_hop_hpo_cora_local_seed0,Cora,GLANT_v7,7,0,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.55, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""hop_scalar_profile"": ""balanced"", ""lr"": 0.003, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 30000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_input_skip"": false, ""v7_num_banks"": 2, ""weight_decay"": 0.003}",0.812,0.811,29,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_007\seed_0\run_0
glant_v7_edge_hop_hpo_cora_local_seed0,Cora,GLANT_v7,8,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.45, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 8, ""hidden_channels"": 32, ""hop_scalar_profile"": ""front_loaded"", ""lr"": 0.002, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 20000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_input_skip"": false, ""v7_num_banks"": 2, ""weight_decay"": 0.001}",0.802,0.795,27,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_008\seed_0\run_0
glant_v7_edge_hop_hpo_cora_local_seed0,Cora,GLANT_v7,9,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.55, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 8, ""hidden_channels"": 96, ""hop_scalar_profile"": ""front_loaded"", ""lr"": 0.005, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 40000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_input_skip"": false, ""v7_num_banks"": 2, ""weight_decay"": 0.005}",0.73,0.71,30,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_local_seed0\raw\Cora\GLANT_v7\hpo_trial_009\seed_0\run_0
