epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3
0,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8999999761581421, 0.949999988079071, 0.25, 0.10000000149011612]",0.9000000357627869,0.949999988079071,0.25,0.0999999940395355,0.0,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.25,0.1000000014901161
0,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.899549126625061, 0.9497619271278381, 0.2490636706352234, 0.10045088827610016]",0.899549126625061,0.949761927127838,0.2490636706352234,0.1004508808255195,0.0,0.0,0.0,0.0,0.899549126625061,0.949761927127838,0.2490636706352234,0.1004508882761001
0,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.899549126625061, 0.9497619271278381, 0.2490636706352234, 0.10045088827610016]",0.899549126625061,0.949761927127838,0.2490636706352234,0.1004508808255195,0.0,0.0,0.0,0.0,0.899549126625061,0.949761927127838,0.2490636706352234,0.1004508882761001
50,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.887246310710907, 0.9431613087654114, 0.2587651312351227, 0.11172566562891006]",0.8872462511062622,0.9431613683700562,0.2587651312351227,0.11172566562891,0.0,0.0,0.0,0.0,0.887246310710907,0.9431613087654114,0.2587651312351227,0.11172566562891
50,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8871797919273376, 0.9431276917457581, 0.2588513195514679, 0.11178378015756607]",0.8871797919273376,0.9431278109550476,0.2588513195514679,0.1117837876081466,0.0,0.0,0.0,0.0,0.8871797919273376,0.943127691745758,0.2588513195514679,0.111783780157566
50,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8871797919273376, 0.9431276917457581, 0.2588513195514679, 0.11178378015756607]",0.8871797919273376,0.9431278109550476,0.2588513195514679,0.1117837876081466,0.0,0.0,0.0,0.0,0.8871797919273376,0.943127691745758,0.2588513195514679,0.111783780157566
100,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8858304619789124, 0.9424049258232117, 0.26043784618377686, 0.11302809417247772]",0.8858305215835571,0.9424049854278564,0.2604378759860992,0.1130280941724777,0.0,0.0,0.0,0.0,0.8858304619789124,0.9424049258232116,0.2604378461837768,0.1130280941724777
100,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8858222365379333, 0.942400336265564, 0.26044660806655884, 0.11303593963384628]",0.8858222365379333,0.9424002766609192,0.2604465782642364,0.1130359321832656,0.0,0.0,0.0,0.0,0.8858222365379333,0.942400336265564,0.2604466080665588,0.1130359396338462
100,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8858222365379333, 0.942400336265564, 0.26044660806655884, 0.11303593963384628]",0.8858222365379333,0.9424002766609192,0.2604465782642364,0.1130359321832656,0.0,0.0,0.0,0.0,0.8858222365379333,0.942400336265564,0.2604466080665588,0.1130359396338462
150,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8856987357139587, 0.9423279166221619, 0.2605847418308258, 0.1131579726934433]",0.8856987357139587,0.942327916622162,0.2605847120285034,0.1131579801440239,0.0,0.0,0.0,0.0,0.8856987357139587,0.942327916622162,0.2605847418308258,0.1131579726934433
150,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8856978416442871, 0.9423273801803589, 0.26058587431907654, 0.11315896362066269]",0.8856978416442871,0.942327320575714,0.2605858445167541,0.1131589487195015,0.0,0.0,0.0,0.0,0.8856978416442871,0.9423273801803588,0.2605858743190765,0.1131589636206626
150,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8856978416442871, 0.9423273801803589, 0.26058587431907654, 0.11315896362066269]",0.8856978416442871,0.942327320575714,0.2605858445167541,0.1131589487195015,0.0,0.0,0.0,0.0,0.8856978416442871,0.9423273801803588,0.2605858743190765,0.1131589636206626
200,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8856521844863892, 0.9423004984855652, 0.26064249873161316, 0.11320649087429047]",0.8856521844863892,0.9423003792762756,0.2606425285339355,0.1132064834237098,0.0,0.0,0.0,0.0,0.8856521844863892,0.9423004984855652,0.2606424987316131,0.1132064908742904
200,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8856512904167175, 0.9422999620437622, 0.2606436014175415, 0.11320748925209045]",0.8856512904167175,0.9422999620437622,0.2606436014175415,0.1132074818015098,0.0,0.0,0.0,0.0,0.8856512904167175,0.9422999620437622,0.2606436014175415,0.1132074892520904
200,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8856512904167175, 0.9422999620437622, 0.2606436014175415, 0.11320748925209045]",0.8856512904167175,0.9422999620437622,0.2606436014175415,0.1132074818015098,0.0,0.0,0.0,0.0,0.8856512904167175,0.9422999620437622,0.2606436014175415,0.1132074892520904
250,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8856037855148315, 0.9422733187675476, 0.26070043444633484, 0.11325567960739136]",0.885603666305542,0.9422733187675476,0.2607004344463348,0.1132556796073913,0.0,0.0,0.0,0.0,0.8856037855148315,0.9422733187675476,0.2607004344463348,0.1132556796073913
250,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8856028318405151, 0.9422727823257446, 0.26070162653923035, 0.11325667798519135]",0.8856027722358704,0.9422727823257446,0.2607016265392303,0.1132566779851913,0.0,0.0,0.0,0.0,0.8856028318405151,0.9422727823257446,0.2607016265392303,0.1132566779851913
250,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8856028318405151, 0.9422727823257446, 0.26070162653923035, 0.11325667798519135]",0.8856027722358704,0.9422727823257446,0.2607016265392303,0.1132566779851913,0.0,0.0,0.0,0.0,0.8856028318405151,0.9422727823257446,0.2607016265392303,0.1132566779851913
300,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8855549693107605, 0.94224613904953, 0.2607611417770386, 0.11330508440732956]",0.8855549097061157,0.94224613904953,0.2607611417770386,0.1133050844073295,0.0,0.0,0.0,0.0,0.8855549693107605,0.94224613904953,0.2607611417770386,0.1133050844073295
300,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8855540156364441, 0.942245602607727, 0.2607623338699341, 0.11330606043338776]",0.8855540156364441,0.942245602607727,0.2607623338699341,0.1133060529828071,0.0,0.0,0.0,0.0,0.8855540156364441,0.942245602607727,0.2607623338699341,0.1133060604333877
300,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.8855540156364441, 0.942245602607727, 0.2607623338699341, 0.11330606043338776]",0.8855540156364441,0.942245602607727,0.2607623338699341,0.1133060529828071,0.0,0.0,0.0,0.0,0.8855540156364441,0.942245602607727,0.2607623338699341,0.1133060604333877
