event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.005,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.949999988079071, 0.800000011920929, 0.800000011920929]",,,,0,,,0.9499999284744263,0.7999999523162842,0.7999999523162842,0.0,0.0,0.0,0.949999988079071,0.800000011920929,0.800000011920929,,,,,,,,,,,,
backward,0,train,0,0.005,3,,,,,,,,,,,,0,0.007880928926169872,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9502369165420532, 0.7991988062858582, 0.7991988062858582]",,,,0,,,0.9502369165420532,0.7991988062858582,0.7991988062858582,0.0,0.0,0.0,0.9502369165420532,0.7991988062858582,0.7991988062858582,,,,,,,,,,,,
forward,0,test,0,0.005,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9502369165420532, 0.7991988062858582, 0.7991988062858582]",,,,0,,,0.9502369165420532,0.7991988062858582,0.7991988062858582,0.0,0.0,0.0,0.9502369165420532,0.7991988062858582,0.7991988062858582,,,,,,,,,,,,
forward,50,train,0,0.0018,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.950817346572876, 0.780163586139679, 0.7815128564834595]",,,,0,,,0.950817346572876,0.780163586139679,0.7815128564834595,0.0,0.0,0.0,0.950817346572876,0.780163586139679,0.7815128564834595,,,,,,,,,,,,
backward,50,train,0,0.0018,3,,,,,,,,,,,,0,0.0009789378382265568,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.0018,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9507498741149902, 0.7801207304000854, 0.7814363241195679]",,,,0,,,0.9507498145103455,0.7801206707954407,0.7814363241195679,0.0,0.0,0.0,0.9507498741149902,0.7801207304000854,0.7814363241195679,,,,,,,,,,,,
forward,50,test,0,0.0018,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9507498741149902, 0.7801207304000854, 0.7814363241195679]",,,,0,,,0.9507498145103455,0.7801206707954407,0.7814363241195679,0.0,0.0,0.0,0.9507498741149902,0.7801207304000854,0.7814363241195679,,,,,,,,,,,,
forward,100,train,0,0.000139968,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 64]","[false, false, false]","[0.9496775269508362, 0.7792794108390808, 0.7806040048599243]",,,,0,,,0.9496776461601257,0.779279351234436,0.7806040048599243,0.0,0.0,0.0,0.9496775269508362,0.7792794108390808,0.7806040048599243,,,,,,,,,,,,
backward,100,train,0,0.000139968,3,,,,,,,,,,,,0,0.001082820352166891,,,,,,,,,,,,,,,,,,,,,,
