epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
0,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.949999988079071, 0.800000011920929, 0.800000011920929]",0.9499999284744264,0.7999999523162842,0.7999999523162842,0.0,0.0,0.0,0.949999988079071,0.800000011920929,0.800000011920929
0,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9497619271278381, 0.7991988062858582, 0.7991988062858582]",0.949761927127838,0.7991988062858582,0.7991988062858582,0.0,0.0,0.0,0.949761927127838,0.7991988062858582,0.7991988062858582
0,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9497619271278381, 0.7991988062858582, 0.7991988062858582]",0.949761927127838,0.7991988062858582,0.7991988062858582,0.0,0.0,0.0,0.949761927127838,0.7991988062858582,0.7991988062858582
50,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9498289227485657, 0.8189253211021423, 0.8138757348060608]",0.9498289227485656,0.8189253807067871,0.8138757348060608,0.0,0.0,0.0,0.9498289227485656,0.8189253211021423,0.8138757348060608
50,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9501638412475586, 0.8199983835220337, 0.8149359226226807]",0.9501639008522034,0.8199984431266785,0.8149358034133911,0.0,0.0,0.0,0.9501638412475586,0.8199983835220337,0.8149359226226807
50,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9501638412475586, 0.8199983835220337, 0.8149359226226807]",0.9501639008522034,0.8199984431266785,0.8149358034133911,0.0,0.0,0.0,0.9501638412475586,0.8199983835220337,0.8149359226226807
100,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9589369893074036, 0.850117027759552, 0.8420525193214417]",0.9589369297027588,0.8501170873641968,0.8420525193214417,0.0,0.0,0.0,0.9589369893074036,0.850117027759552,0.8420525193214417
100,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9589969515800476, 0.8503630757331848, 0.84224933385849]",0.9589969515800476,0.8503630757331848,0.84224933385849,0.0,0.0,0.0,0.9589969515800476,0.8503630757331848,0.84224933385849
100,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9589969515800476, 0.8503630757331848, 0.84224933385849]",0.9589969515800476,0.8503630757331848,0.84224933385849,0.0,0.0,0.0,0.9589969515800476,0.8503630757331848,0.84224933385849
150,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.960075318813324, 0.8546134829521179, 0.8457322120666504]",0.9600752592086792,0.8546135425567627,0.8457321524620056,0.0,0.0,0.0,0.960075318813324,0.8546134829521179,0.8457322120666504
150,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9600800275802612, 0.8546319007873535, 0.8457456827163696]",0.960080087184906,0.8546319007873535,0.8457456827163696,0.0,0.0,0.0,0.9600800275802612,0.8546319007873535,0.8457456827163696
150,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9600800275802612, 0.8546319007873535, 0.8457456827163696]",0.960080087184906,0.8546319007873535,0.8457456827163696,0.0,0.0,0.0,0.9600800275802612,0.8546319007873535,0.8457456827163696
200,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9601816534996033, 0.855060875415802, 0.8460901975631714]",0.9601815938949584,0.855060875415802,0.8460902571678162,0.0,0.0,0.0,0.9601816534996032,0.855060875415802,0.8460901975631714
200,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.960182249546051, 0.8550636768341064, 0.8460923433303833]",0.9601823687553406,0.8550636768341064,0.8460924029350281,0.0,0.0,0.0,0.960182249546051,0.8550636768341064,0.8460923433303833
200,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.960182249546051, 0.8550636768341064, 0.8460923433303833]",0.9601823687553406,0.8550636768341064,0.8460924029350281,0.0,0.0,0.0,0.960182249546051,0.8550636768341064,0.8460923433303833
250,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9601959586143494, 0.855119526386261, 0.8461395502090454]",0.960196018218994,0.8551194667816162,0.8461395502090454,0.0,0.0,0.0,0.9601959586143494,0.855119526386261,0.8461395502090454
250,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.9601961970329285, 0.8551204800605774, 0.8461405038833618]",0.9601961970329284,0.8551205396652222,0.846140444278717,0.0,0.0,0.0,0.9601961970329284,0.8551204800605774,0.8461405038833618
