epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.0361413955688477,2.025141716003418,2.0326664447784424,0.12857142857142856,0.112,0.101,0.003,0.112,0.101,0,Accuracy,higher,hpo,11
1,2.1317386627197266,1.964654564857483,1.9782596826553345,0.14285714285714285,0.116,0.106,0.003,0.116,0.106,1,Accuracy,higher,hpo,11
2,2.065585136413574,1.9187859296798706,1.9304792881011963,0.15714285714285714,0.12,0.107,0.003,0.12,0.107,2,Accuracy,higher,hpo,11
3,1.9559928178787231,1.8899028301239014,1.8963290452957153,0.18571428571428572,0.134,0.121,0.003,0.134,0.121,3,Accuracy,higher,hpo,11
4,2.012552261352539,1.872092843055725,1.8726050853729248,0.2714285714285714,0.276,0.275,0.003,0.276,0.275,4,Accuracy,higher,hpo,11
5,1.9789539575576782,1.8754591941833496,1.8736681938171387,0.37142857142857144,0.35,0.345,0.003,0.35,0.345,5,Accuracy,higher,hpo,11
6,1.9412262439727783,1.8817449808120728,1.8784514665603638,0.6071428571428571,0.342,0.397,0.003,0.35,0.345,5,Accuracy,higher,hpo,11
7,1.9292415380477905,1.8925163745880127,1.8878461122512817,0.5428571428571428,0.19,0.217,0.003,0.35,0.345,5,Accuracy,higher,hpo,11
8,1.8950090408325195,1.9031497240066528,1.8978033065795898,0.5642857142857143,0.206,0.232,0.003,0.35,0.345,5,Accuracy,higher,hpo,11
9,1.9275712966918945,1.9136769771575928,1.9075555801391602,0.5428571428571428,0.234,0.246,0.003,0.35,0.345,5,Accuracy,higher,hpo,11
10,1.9440137147903442,1.9177285432815552,1.9107980728149414,0.5,0.224,0.22,0.003,0.35,0.345,5,Accuracy,higher,hpo,11
11,1.9081315994262695,1.912017583847046,1.90610671043396,0.5928571428571429,0.282,0.288,0.003,0.35,0.345,5,Accuracy,higher,hpo,11
12,1.9059208631515503,1.8928008079528809,1.8877625465393066,0.5785714285714286,0.322,0.313,0.003,0.35,0.345,5,Accuracy,higher,hpo,11
13,1.8921369314193726,1.8715695142745972,1.8681203126907349,0.55,0.334,0.323,0.003,0.35,0.345,5,Accuracy,higher,hpo,11
14,1.8543413877487183,1.8461962938308716,1.8443725109100342,0.5714285714285714,0.346,0.335,0.003,0.35,0.345,5,Accuracy,higher,hpo,11
15,1.8706191778182983,1.820880651473999,1.8196818828582764,0.6714285714285714,0.396,0.386,0.003,0.396,0.386,15,Accuracy,higher,hpo,11
16,1.8888423442840576,1.7932392358779907,1.791710376739502,0.8142857142857143,0.51,0.495,0.003,0.51,0.495,16,Accuracy,higher,hpo,11
17,1.8511182069778442,1.7710390090942383,1.7694768905639648,0.8642857142857143,0.584,0.565,0.003,0.584,0.565,17,Accuracy,higher,hpo,11
18,1.8476741313934326,1.7459772825241089,1.7444374561309814,0.9214285714285714,0.632,0.598,0.003,0.632,0.598,18,Accuracy,higher,hpo,11
19,1.822281837463379,1.7164907455444336,1.7156462669372559,0.9285714285714286,0.616,0.605,0.003,0.632,0.598,18,Accuracy,higher,hpo,11
20,1.7473392486572266,1.6763581037521362,1.6764514446258545,0.9285714285714286,0.632,0.611,0.003,0.632,0.598,18,Accuracy,higher,hpo,11
21,1.6671466827392578,1.6164616346359253,1.6183210611343384,0.9428571428571428,0.652,0.629,0.003,0.652,0.629,21,Accuracy,higher,hpo,11
22,1.6896659135818481,1.5411840677261353,1.5428054332733154,0.9428571428571428,0.664,0.667,0.003,0.664,0.667,22,Accuracy,higher,hpo,11
23,1.609585165977478,1.475923776626587,1.4752085208892822,0.9428571428571428,0.648,0.658,0.003,0.664,0.667,22,Accuracy,higher,hpo,11
24,1.5364772081375122,1.4489257335662842,1.4445291757583618,0.9285714285714286,0.618,0.647,0.003,0.664,0.667,22,Accuracy,higher,hpo,11
25,1.5332545042037964,1.451786756515503,1.4416992664337158,0.9142857142857143,0.57,0.602,0.003,0.664,0.667,22,Accuracy,higher,hpo,11
26,1.4274438619613647,1.447139024734497,1.4340773820877075,0.9285714285714286,0.554,0.566,0.003,0.664,0.667,22,Accuracy,higher,hpo,11
27,1.3689165115356445,1.323050856590271,1.3146201372146606,0.9428571428571428,0.658,0.67,0.003,0.664,0.667,22,Accuracy,higher,hpo,11
28,1.3659758567810059,1.2377358675003052,1.2355822324752808,0.9714285714285714,0.72,0.708,0.003,0.72,0.708,28,Accuracy,higher,hpo,11
29,1.3291692733764648,1.1949398517608643,1.1943767070770264,0.9857142857142858,0.734,0.733,0.003,0.734,0.733,29,Accuracy,higher,hpo,11
30,1.253488302230835,1.181003212928772,1.1756454706192017,0.9785714285714285,0.718,0.727,0.003,0.734,0.733,29,Accuracy,higher,hpo,11
31,1.27030348777771,1.152662992477417,1.1405774354934692,0.9642857142857143,0.72,0.727,0.003,0.734,0.733,29,Accuracy,higher,hpo,11
32,1.1591356992721558,1.1101889610290527,1.089741587638855,0.9642857142857143,0.724,0.726,0.003,0.734,0.733,29,Accuracy,higher,hpo,11
33,1.1499816179275513,1.0533102750778198,1.028175711631775,0.9714285714285714,0.74,0.757,0.003,0.74,0.757,33,Accuracy,higher,hpo,11
34,1.0519428253173828,1.0298175811767578,1.0038098096847534,0.9714285714285714,0.734,0.751,0.003,0.74,0.757,33,Accuracy,higher,hpo,11
35,1.014937400817871,1.012637734413147,0.9866666197776794,0.9785714285714285,0.732,0.753,0.003,0.74,0.757,33,Accuracy,higher,hpo,11
36,0.9825505018234253,0.98806232213974,0.961000919342041,0.9928571428571429,0.748,0.757,0.003,0.748,0.757,36,Accuracy,higher,hpo,11
37,0.982666552066803,0.9636889100074768,0.9386107325553894,1.0,0.75,0.773,0.003,0.75,0.773,37,Accuracy,higher,hpo,11
38,0.9018024802207947,0.9249519109725952,0.9020320773124695,1.0,0.758,0.764,0.003,0.758,0.764,38,Accuracy,higher,hpo,11
39,0.9181128144264221,0.8885524272918701,0.8646124601364136,1.0,0.762,0.766,0.003,0.762,0.766,39,Accuracy,higher,hpo,11
40,0.8336837887763977,0.8520798087120056,0.8257986307144165,0.9928571428571429,0.756,0.776,0.003,0.762,0.766,39,Accuracy,higher,hpo,11
41,0.7843330502510071,0.8483232259750366,0.81998211145401,0.9857142857142858,0.752,0.769,0.003,0.762,0.766,39,Accuracy,higher,hpo,11
42,0.7497664093971252,0.8372802734375,0.8064175844192505,0.9857142857142858,0.762,0.768,0.003,0.762,0.766,39,Accuracy,higher,hpo,11
43,0.715874433517456,0.8071891069412231,0.7682334184646606,0.9928571428571429,0.776,0.768,0.003,0.776,0.768,43,Accuracy,higher,hpo,11
44,0.6622931361198425,0.7864854335784912,0.7445617318153381,0.9928571428571429,0.776,0.777,0.003,0.776,0.768,43,Accuracy,higher,hpo,11
45,0.659642219543457,0.7742224931716919,0.7267869114875793,0.9928571428571429,0.768,0.789,0.003,0.776,0.768,43,Accuracy,higher,hpo,11
46,0.6241058707237244,0.7459883689880371,0.697804868221283,0.9928571428571429,0.782,0.794,0.003,0.782,0.794,46,Accuracy,higher,hpo,11
47,0.5785393118858337,0.7354246973991394,0.6876345276832581,1.0,0.782,0.799,0.003,0.782,0.794,46,Accuracy,higher,hpo,11
48,0.5640926361083984,0.7517000436782837,0.7047072052955627,1.0,0.786,0.791,0.003,0.786,0.791,48,Accuracy,higher,hpo,11
49,0.46679818630218506,0.7902762293815613,0.7387127876281738,1.0,0.77,0.782,0.003,0.786,0.791,48,Accuracy,higher,hpo,11
