launch_id,dataset_name,model_name,trial_id,seed,params,best_val_metric,final_test_metric,best_epoch,metric_name,metric_direction,run_dir
glant_v7_edge_hop_hpo_cora_seed0,Cora,GLANT_v7,0,0,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.25, ""branch_norm"": ""layernorm"", ""dropout"": 0.7, ""heads"": 2, ""hidden_channels"": 64, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.005, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_num_banks"": 3, ""weight_decay"": 0.005}",0.4,0.066,6,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_000\seed_0\run_0
glant_v7_edge_hop_hpo_cora_seed0,Cora,GLANT_v7,1,1,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.65, ""branch_norm"": ""layernorm"", ""dropout"": 0.7, ""heads"": 2, ""hidden_channels"": 32, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.005, ""max_hops"": 3, ""norm"": ""layernorm"", ""num_edges"": 10000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_num_banks"": 2, ""weight_decay"": 0.001}",0.782,0.788,203,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_001\seed_1\run_0
glant_v7_edge_hop_hpo_cora_seed0,Cora,GLANT_v7,2,2,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.65, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 1, ""hidden_channels"": 64, ""hop_scalar_profile"": ""balanced"", ""lr"": 0.01, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 20000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 2, ""weight_decay"": 0.005}",0.778,0.762,16,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_002\seed_2\run_0
glant_v7_edge_hop_hpo_cora_seed0,Cora,GLANT_v7,3,3,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.25, ""branch_norm"": ""none"", ""dropout"": 0.6, ""heads"": 4, ""hidden_channels"": 96, ""hop_scalar_profile"": ""front_loaded"", ""lr"": 0.005, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 3, ""weight_decay"": 0.0005}",0.702,0.694,80,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_003\seed_3\run_0
glant_v7_edge_hop_hpo_cora_seed0,Cora,GLANT_v7,4,4,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.4, ""branch_norm"": ""layernorm"", ""dropout"": 0.35, ""heads"": 1, ""hidden_channels"": 32, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.003, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 1, ""weight_decay"": 0.001}",0.77,0.763,58,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_004\seed_4\run_0
glant_v7_edge_hop_hpo_cora_seed0,Cora,GLANT_v7,5,5,"{""act"": ""relu"", ""alpha"": 1.0, ""attn_dropout"": 0.55, ""branch_norm"": ""layernorm"", ""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 64, ""hop_scalar_profile"": ""balanced"", ""lr"": 0.005, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 40000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 1, ""weight_decay"": 0.0005}",0.762,0.764,9,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_005\seed_5\run_0
glant_v7_edge_hop_hpo_cora_seed0,Cora,GLANT_v7,6,6,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.4, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 1, ""hidden_channels"": 32, ""hop_scalar_profile"": ""balanced"", ""lr"": 0.005, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 2, ""weight_decay"": 0.001}",0.758,0.763,58,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_006\seed_6\run_0
glant_v7_edge_hop_hpo_cora_seed0,Cora,GLANT_v7,7,7,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.55, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 2, ""hidden_channels"": 32, ""hop_scalar_profile"": ""one_hop_strong"", ""lr"": 0.003, ""max_hops"": 2, ""norm"": ""layernorm"", ""num_edges"": 20000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_num_banks"": 2, ""weight_decay"": 0.002}",0.808,0.808,27,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_007\seed_7\run_0
glant_v7_edge_hop_hpo_cora_seed0,Cora,GLANT_v7,8,8,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.25, ""branch_norm"": ""none"", ""dropout"": 0.5, ""heads"": 8, ""hidden_channels"": 96, ""hop_scalar_profile"": ""low_high_hops"", ""lr"": 0.01, ""max_hops"": 2, ""norm"": ""none"", ""num_edges"": 75000, ""num_layers"": 2, ""root_scalar_init"": 0.9, ""v7_num_banks"": 1, ""weight_decay"": 0.002}",0.622,0.585,34,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_008\seed_8\run_0
glant_v7_edge_hop_hpo_cora_seed0,Cora,GLANT_v7,9,9,"{""act"": ""elu"", ""alpha"": 1.0, ""attn_dropout"": 0.4, ""branch_norm"": ""none"", ""dropout"": 0.35, ""heads"": 4, ""hidden_channels"": 64, ""hop_scalar_profile"": ""one_hop_strong"", ""lr"": 0.01, ""max_hops"": 3, ""norm"": ""none"", ""num_edges"": 40000, ""num_layers"": 2, ""root_scalar_init"": 0.95, ""v7_num_banks"": 3, ""weight_decay"": 0.0005}",0.68,0.65,34,Accuracy,higher,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_009\seed_9\run_0
