number,value,state,params_act,params_alpha,params_attn_dropout,params_branch_norm,params_dropout,params_heads,params_hidden_channels,params_hop_scalar_profile,params_lr,params_max_hops,params_norm,params_num_edges,params_num_layers,params_root_scalar_init,params_v7_num_banks,params_weight_decay,user_attrs_best_epoch,user_attrs_final_test_metric,user_attrs_run_dir
0,0.4,COMPLETE,elu,1.0,0.25,layernorm,0.7,2,64,low_high_hops,0.005,3,layernorm,75000,2,0.9,3,0.005,6,0.066,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_000\seed_0\run_0
1,0.782,COMPLETE,relu,1.0,0.65,layernorm,0.7,2,32,low_high_hops,0.005,3,layernorm,10000,2,0.9,2,0.001,203,0.788,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_001\seed_1\run_0
2,0.778,COMPLETE,elu,1.0,0.65,none,0.5,1,64,balanced,0.01,2,layernorm,20000,2,0.95,2,0.005,16,0.762,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_002\seed_2\run_0
3,0.702,COMPLETE,elu,1.0,0.25,none,0.6,4,96,front_loaded,0.005,3,none,75000,2,0.95,3,0.0005,80,0.694,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_003\seed_3\run_0
4,0.77,COMPLETE,relu,1.0,0.4,layernorm,0.35,1,32,low_high_hops,0.003,2,layernorm,75000,2,0.95,1,0.001,58,0.763,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_004\seed_4\run_0
5,0.762,COMPLETE,relu,1.0,0.55,layernorm,0.5,2,64,balanced,0.005,2,layernorm,40000,2,0.95,1,0.0005,9,0.764,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_005\seed_5\run_0
6,0.758,COMPLETE,elu,1.0,0.4,none,0.5,1,32,balanced,0.005,2,none,75000,2,0.95,2,0.001,58,0.763,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_006\seed_6\run_0
7,0.808,COMPLETE,elu,1.0,0.55,none,0.5,2,32,one_hop_strong,0.003,2,layernorm,20000,2,0.9,2,0.002,27,0.808,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_007\seed_7\run_0
8,0.622,COMPLETE,elu,1.0,0.25,none,0.5,8,96,low_high_hops,0.01,2,none,75000,2,0.9,1,0.002,34,0.585,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_008\seed_8\run_0
9,0.68,COMPLETE,elu,1.0,0.4,none,0.35,4,64,one_hop_strong,0.01,3,none,40000,2,0.95,3,0.0005,34,0.65,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_009\seed_9\run_0
10,0.816,COMPLETE,relu,1.0,0.55,none,0.6,8,32,one_hop_strong,0.003,2,layernorm,20000,2,0.9,2,0.002,38,0.81,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_010\seed_10\run_0
11,0.794,COMPLETE,relu,1.0,0.55,none,0.6,8,32,one_hop_strong,0.003,2,layernorm,20000,2,0.9,2,0.002,71,0.804,results\launches\glant_v7_edge_hop_hpo_cora_seed0\raw\Cora\GLANT_v7\hpo_trial_011\seed_11\run_0
