epoch,phase,layer_id,hop,stat_name,stat_value
0,val,0,1,attention_norm_entropy_mean,0.9999862313270568
0,val,0,2,attention_norm_entropy_mean,0.9999874234199524
0,test,0,1,attention_norm_entropy_mean,0.9999862313270568
0,test,0,2,attention_norm_entropy_mean,0.9999874234199524
50,val,0,1,attention_norm_entropy_mean,0.9999979734420776
50,val,0,1,attention_mae_from_baseline,0.0008848028373904
50,val,0,1,attention_max_abs_diff_from_baseline,0.0140702724456787
50,val,0,1,attention_cosine_to_baseline,0.9999849200248718
50,val,0,2,attention_norm_entropy_mean,0.9999988675117492
50,val,0,2,attention_mae_from_baseline,0.0006339973188005
50,val,0,2,attention_max_abs_diff_from_baseline,0.0141014456748962
50,val,0,2,attention_cosine_to_baseline,0.99998277425766
50,test,0,1,attention_norm_entropy_mean,0.9999979734420776
50,test,0,1,attention_mae_from_baseline,0.0008848028373904
50,test,0,1,attention_max_abs_diff_from_baseline,0.0140702724456787
50,test,0,1,attention_cosine_to_baseline,0.9999849200248718
50,test,0,2,attention_norm_entropy_mean,0.9999988675117492
50,test,0,2,attention_mae_from_baseline,0.0006339973188005
50,test,0,2,attention_max_abs_diff_from_baseline,0.0141014456748962
50,test,0,2,attention_cosine_to_baseline,0.99998277425766
100,val,0,1,attention_norm_entropy_mean,0.9999993443489076
100,val,0,1,attention_mae_from_baseline,0.0009040523436851
100,val,0,1,attention_max_abs_diff_from_baseline,0.0136570334434509
100,val,0,1,attention_cosine_to_baseline,0.9999839067459106
100,val,0,2,attention_norm_entropy_mean,0.999999701976776
100,val,0,2,attention_mae_from_baseline,0.0006419000565074
100,val,0,2,attention_max_abs_diff_from_baseline,0.0161688327789306
100,val,0,2,attention_cosine_to_baseline,0.9999811053276062
100,test,0,1,attention_norm_entropy_mean,0.9999993443489076
100,test,0,1,attention_mae_from_baseline,0.0009040523436851
100,test,0,1,attention_max_abs_diff_from_baseline,0.0136570334434509
100,test,0,1,attention_cosine_to_baseline,0.9999839067459106
100,test,0,2,attention_norm_entropy_mean,0.999999701976776
100,test,0,2,attention_mae_from_baseline,0.0006419000565074
100,test,0,2,attention_max_abs_diff_from_baseline,0.0161688327789306
100,test,0,2,attention_cosine_to_baseline,0.9999810457229614
150,val,0,1,attention_norm_entropy_mean,0.9999993443489076
150,val,0,1,attention_mae_from_baseline,0.0009046851773746
150,val,0,1,attention_max_abs_diff_from_baseline,0.0135266780853271
150,val,0,1,attention_cosine_to_baseline,0.9999842643737792
150,val,0,2,attention_norm_entropy_mean,0.9999998211860656
150,val,0,2,attention_mae_from_baseline,0.0006419412093237
150,val,0,2,attention_max_abs_diff_from_baseline,0.0162839293479919
150,val,0,2,attention_cosine_to_baseline,0.9999808073043824
150,test,0,1,attention_norm_entropy_mean,0.9999993443489076
150,test,0,1,attention_mae_from_baseline,0.0009046851773746
150,test,0,1,attention_max_abs_diff_from_baseline,0.0135266780853271
150,test,0,1,attention_cosine_to_baseline,0.9999842643737792
150,test,0,2,attention_norm_entropy_mean,0.9999998211860656
150,test,0,2,attention_mae_from_baseline,0.0006419412093237
150,test,0,2,attention_max_abs_diff_from_baseline,0.0162839293479919
150,test,0,2,attention_cosine_to_baseline,0.9999808073043824
200,val,0,1,attention_norm_entropy_mean,0.9999993443489076
200,val,0,1,attention_mae_from_baseline,0.0009047932107932
200,val,0,1,attention_max_abs_diff_from_baseline,0.0135114192962646
200,val,0,1,attention_cosine_to_baseline,0.999984085559845
200,val,0,2,attention_norm_entropy_mean,0.9999998211860656
200,val,0,2,attention_mae_from_baseline,0.0006419725250452
200,val,0,2,attention_max_abs_diff_from_baseline,0.0162947177886962
200,val,0,2,attention_cosine_to_baseline,0.9999807476997375
200,test,0,1,attention_norm_entropy_mean,0.9999993443489076
200,test,0,1,attention_mae_from_baseline,0.0009047932107932
200,test,0,1,attention_max_abs_diff_from_baseline,0.0135114192962646
200,test,0,1,attention_cosine_to_baseline,0.9999840259552002
200,test,0,2,attention_norm_entropy_mean,0.9999998211860656
