epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
0,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8999999761581421, 0.949999988079071, 0.5]",0.9000000357627869,0.9499999284744264,0.5,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.5
0,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8997296690940857, 0.9498573541641235, 0.49924999475479126]",0.8997296094894409,0.949857234954834,0.4992499947547912,0.0,0.0,0.0,0.8997296690940857,0.9498573541641236,0.4992499947547912
0,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8997296690940857, 0.9498573541641235, 0.49924999475479126]",0.8997296094894409,0.949857234954834,0.4992499947547912,0.0,0.0,0.0,0.8997296690940857,0.9498573541641236,0.4992499947547912
50,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8863661289215088, 0.9425679445266724, 0.49896928668022156]",0.886366069316864,0.9425678849220276,0.4989693462848663,0.0,0.0,0.0,0.8863661289215088,0.9425679445266724,0.4989692866802215
50,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8860536813735962, 0.9424126148223877, 0.4991258680820465]",0.8860536813735962,0.9424125552177428,0.4991258978843689,0.0,0.0,0.0,0.8860536813735962,0.9424126148223876,0.4991258680820465
50,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8860536813735962, 0.9424126148223877, 0.4991258680820465]",0.8860536813735962,0.9424125552177428,0.4991258978843689,0.0,0.0,0.0,0.8860536813735962,0.9424126148223876,0.4991258680820465
100,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8782871961593628, 0.9383503198623657, 0.5024943947792053]",0.8782871961593628,0.9383503198623656,0.5024943351745605,0.0,0.0,0.0,0.8782871961593628,0.9383503198623656,0.5024943947792053
100,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8782422542572021, 0.9383304119110107, 0.5025116205215454]",0.8782422542572021,0.9383304715156556,0.5025116205215454,0.0,0.0,0.0,0.8782422542572021,0.9383304119110109,0.5025116205215454
100,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8782422542572021, 0.9383304119110107, 0.5025116205215454]",0.8782422542572021,0.9383304715156556,0.5025116205215454,0.0,0.0,0.0,0.8782422542572021,0.9383304119110109,0.5025116205215454
150,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8773805499076843, 0.9379206895828247, 0.5025181174278259]",0.8773805499076843,0.9379207491874696,0.5025181174278259,0.0,0.0,0.0,0.8773805499076843,0.9379206895828248,0.5025181174278259
150,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8773751854896545, 0.9379178881645203, 0.5025216341018677]",0.8773751258850098,0.9379178285598756,0.5025215744972229,0.0,0.0,0.0,0.8773751854896545,0.9379178881645204,0.5025216341018677
150,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8773751854896545, 0.9379178881645203, 0.5025216341018677]",0.8773751258850098,0.9379178285598756,0.5025215744972229,0.0,0.0,0.0,0.8773751854896545,0.9379178881645204,0.5025216341018677
200,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8772974610328674, 0.9378718137741089, 0.5025410652160645]",0.8772975206375122,0.937871754169464,0.5025410056114197,0.0,0.0,0.0,0.8772974610328674,0.9378718137741088,0.5025410652160645
200,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8772965669631958, 0.9378713369369507, 0.5025416016578674]",0.8772966265678406,0.9378712177276612,0.5025415420532227,0.0,0.0,0.0,0.8772965669631958,0.9378713369369508,0.5025416016578674
200,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8772965669631958, 0.9378713369369507, 0.5025416016578674]",0.8772966265678406,0.9378712177276612,0.5025415420532227,0.0,0.0,0.0,0.8772965669631958,0.9378713369369508,0.5025416016578674
250,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8772431015968323, 0.9378438591957092, 0.5025937557220459]",0.877243161201477,0.9378438591957092,0.5025937557220459,0.0,0.0,0.0,0.8772431015968323,0.9378438591957092,0.5025937557220459
250,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8772419691085815, 0.9378433227539062, 0.502594530582428]",0.8772419691085815,0.9378432631492616,0.502594530582428,0.0,0.0,0.0,0.8772419691085815,0.9378433227539062,0.502594530582428
250,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8772419691085815, 0.9378433227539062, 0.502594530582428]",0.8772419691085815,0.9378432631492616,0.502594530582428,0.0,0.0,0.0,0.8772419691085815,0.9378433227539062,0.502594530582428
300,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8771917223930359, 0.9378154277801514, 0.5026294589042664]",0.8771916627883911,0.9378154277801514,0.5026294589042664,0.0,0.0,0.0,0.8771917223930359,0.9378154277801514,0.5026294589042664
300,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8771905899047852, 0.9378148913383484, 0.5026304721832275]",0.8771905899047852,0.9378148913383484,0.5026304721832275,0.0,0.0,0.0,0.8771905899047852,0.9378148913383484,0.5026304721832275
300,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8771905899047852, 0.9378148913383484, 0.5026304721832275]",0.8771905899047852,0.9378148913383484,0.5026304721832275,0.0,0.0,0.0,0.8771905899047852,0.9378148913383484,0.5026304721832275
350,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8771408796310425, 0.9377869963645935, 0.5026541352272034]",0.8771408796310425,0.9377870559692384,0.5026541352272034,0.0,0.0,0.0,0.8771408796310425,0.9377869963645936,0.5026541352272034
