epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.064871311187744,1.9074093103408813,1.9106494188308716,0.22142857142857142,0.16,0.161,0.003,0.16,0.161,0,Accuracy,higher,final,0
1,2.0076985359191895,1.8969804048538208,1.892055630683899,0.4928571428571429,0.29,0.267,0.003,0.29,0.267,1,Accuracy,higher,final,0
2,1.954626202583313,1.897544264793396,1.885833740234375,0.4714285714285714,0.188,0.21,0.003,0.29,0.267,1,Accuracy,higher,final,0
3,1.8761123418807983,1.8957675695419312,1.884459376335144,0.6071428571428571,0.184,0.23,0.003,0.29,0.267,1,Accuracy,higher,final,0
4,1.7987221479415894,1.8735731840133667,1.865419864654541,0.7857142857142857,0.248,0.246,0.003,0.29,0.267,1,Accuracy,higher,final,0
5,1.7454471588134766,1.8361773490905762,1.831559181213379,0.9,0.366,0.361,0.003,0.366,0.361,5,Accuracy,higher,final,0
6,1.641929030418396,1.782883882522583,1.7815001010894775,0.9642857142857143,0.4,0.4,0.003,0.4,0.4,6,Accuracy,higher,final,0
7,1.5340417623519897,1.739310622215271,1.7375656366348267,0.9928571428571429,0.48,0.482,0.003,0.48,0.482,7,Accuracy,higher,final,0
8,1.5055903196334839,1.697523593902588,1.697772741317749,1.0,0.556,0.537,0.003,0.556,0.537,8,Accuracy,higher,final,0
9,1.3641232252120972,1.6643823385238647,1.6669588088989258,1.0,0.596,0.582,0.003,0.596,0.582,9,Accuracy,higher,final,0
10,1.4363539218902588,1.645147442817688,1.648447036743164,1.0,0.61,0.6,0.003,0.61,0.6,10,Accuracy,higher,final,0
11,1.2583097219467163,1.6320712566375732,1.6348278522491455,1.0,0.614,0.589,0.003,0.614,0.589,11,Accuracy,higher,final,0
12,1.2201324701309204,1.6224985122680664,1.6235288381576538,1.0,0.596,0.581,0.003,0.614,0.589,11,Accuracy,higher,final,0
13,1.2020642757415771,1.6109797954559326,1.609853744506836,1.0,0.594,0.571,0.003,0.614,0.589,11,Accuracy,higher,final,0
14,1.1608284711837769,1.5970392227172852,1.5937201976776123,1.0,0.594,0.572,0.003,0.614,0.589,11,Accuracy,higher,final,0
15,1.0752758979797363,1.5824899673461914,1.5781359672546387,1.0,0.586,0.565,0.003,0.614,0.589,11,Accuracy,higher,final,0
16,1.109785556793213,1.5660114288330078,1.5613611936569214,1.0,0.59,0.569,0.003,0.614,0.589,11,Accuracy,higher,final,0
17,0.9755593538284302,1.5457446575164795,1.5409365892410278,1.0,0.584,0.565,0.003,0.614,0.589,11,Accuracy,higher,final,0
18,0.928163468837738,1.5176149606704712,1.5134022235870361,1.0,0.586,0.578,0.003,0.614,0.589,11,Accuracy,higher,final,0
19,0.8934618234634399,1.4880326986312866,1.4840105772018433,1.0,0.604,0.586,0.003,0.614,0.589,11,Accuracy,higher,final,0
20,0.9283314347267151,1.4596740007400513,1.4556188583374023,1.0,0.61,0.588,0.003,0.614,0.589,11,Accuracy,higher,final,0
21,0.8868637681007385,1.4312564134597778,1.4258428812026978,1.0,0.618,0.593,0.003,0.618,0.593,21,Accuracy,higher,final,0
22,0.8005850911140442,1.4009602069854736,1.3927556276321411,1.0,0.622,0.606,0.003,0.622,0.606,22,Accuracy,higher,final,0
23,0.7274068593978882,1.3707668781280518,1.3598610162734985,1.0,0.634,0.614,0.003,0.634,0.614,23,Accuracy,higher,final,0
24,0.7095855474472046,1.3359935283660889,1.3217023611068726,1.0,0.638,0.623,0.003,0.638,0.623,24,Accuracy,higher,final,0
25,0.7142439484596252,1.2936553955078125,1.2772107124328613,1.0,0.638,0.634,0.003,0.638,0.623,24,Accuracy,higher,final,0
26,0.6302614212036133,1.2457636594772339,1.230226993560791,1.0,0.656,0.645,0.003,0.656,0.645,26,Accuracy,higher,final,0
27,0.6027082204818726,1.1921608448028564,1.1803537607192993,1.0,0.658,0.665,0.003,0.658,0.665,27,Accuracy,higher,final,0
28,0.6111769676208496,1.1438759565353394,1.1340954303741455,1.0,0.672,0.676,0.003,0.672,0.676,28,Accuracy,higher,final,0
29,0.530157744884491,1.1001092195510864,1.0852192640304565,1.0,0.69,0.679,0.003,0.69,0.679,29,Accuracy,higher,final,0
30,0.5196933746337891,1.0921623706817627,1.0694737434387207,1.0,0.676,0.675,0.003,0.69,0.679,29,Accuracy,higher,final,0
31,0.47016677260398865,1.1277587413787842,1.0984925031661987,1.0,0.666,0.654,0.003,0.69,0.679,29,Accuracy,higher,final,0
32,0.5058559775352478,1.1141735315322876,1.082462191581726,1.0,0.662,0.658,0.003,0.69,0.679,29,Accuracy,higher,final,0
33,0.40037059783935547,1.0565578937530518,1.0285847187042236,1.0,0.674,0.676,0.003,0.69,0.679,29,Accuracy,higher,final,0
34,0.4267579913139343,1.0114773511886597,0.9879993796348572,1.0,0.694,0.687,0.003,0.694,0.687,34,Accuracy,higher,final,0
35,0.40232211351394653,0.9869078397750854,0.9678709506988525,1.0,0.7,0.698,0.003,0.7,0.698,35,Accuracy,higher,final,0
36,0.38994747400283813,0.9764893054962158,0.955108642578125,1.0,0.694,0.697,0.003,0.7,0.698,35,Accuracy,higher,final,0
37,0.36745354533195496,0.9642119407653809,0.936049222946167,1.0,0.702,0.701,0.003,0.702,0.701,37,Accuracy,higher,final,0
38,0.3369314968585968,0.9778653383255005,0.9398679733276367,1.0,0.684,0.694,0.003,0.702,0.701,37,Accuracy,higher,final,0
39,0.26377955079078674,0.9764963388442993,0.9321814179420471,1.0,0.684,0.699,0.003,0.702,0.701,37,Accuracy,higher,final,0
40,0.3169887661933899,0.948988139629364,0.9036040306091309,1.0,0.686,0.703,0.003,0.702,0.701,37,Accuracy,higher,final,0
41,0.26935243606567383,0.9018703103065491,0.8624871969223022,1.0,0.7,0.724,0.003,0.702,0.701,37,Accuracy,higher,final,0
42,0.31674307584762573,0.8911812901496887,0.856109082698822,1.0,0.71,0.72,0.003,0.71,0.72,42,Accuracy,higher,final,0
43,0.27279132604599,0.9043354988098145,0.8627771139144897,1.0,0.706,0.723,0.003,0.71,0.72,42,Accuracy,higher,final,0
44,0.23950228095054626,0.9279928207397461,0.8786435723304749,1.0,0.696,0.706,0.003,0.71,0.72,42,Accuracy,higher,final,0
45,0.22582922875881195,0.9670642018318176,0.9128202199935913,1.0,0.694,0.699,0.003,0.71,0.72,42,Accuracy,higher,final,0
46,0.23253628611564636,0.9885348081588745,0.9304413795471191,1.0,0.694,0.697,0.003,0.71,0.72,42,Accuracy,higher,final,0
47,0.23120160400867462,0.9511202573776245,0.8899969458580017,1.0,0.702,0.71,0.003,0.71,0.72,42,Accuracy,higher,final,0
48,0.19272807240486145,0.8959819674491882,0.8339095711708069,1.0,0.714,0.723,0.003,0.714,0.723,48,Accuracy,higher,final,0
49,0.17233175039291382,0.836694598197937,0.7817460894584656,1.0,0.738,0.739,0.003,0.738,0.739,49,Accuracy,higher,final,0
50,0.1709834784269333,0.8229745030403137,0.7709692120552063,1.0,0.748,0.744,0.003,0.748,0.744,50,Accuracy,higher,final,0
51,0.1687265932559967,0.8202138543128967,0.7673376202583313,1.0,0.752,0.744,0.003,0.752,0.744,51,Accuracy,higher,final,0
52,0.17114675045013428,0.832600474357605,0.7734942436218262,1.0,0.75,0.741,0.003,0.752,0.744,51,Accuracy,higher,final,0
53,0.18754486739635468,0.8493344783782959,0.7821511030197144,1.0,0.742,0.74,0.003,0.752,0.744,51,Accuracy,higher,final,0
54,0.1582515686750412,0.8788066506385803,0.8066688179969788,1.0,0.724,0.731,0.003,0.752,0.744,51,Accuracy,higher,final,0
55,0.177334725856781,0.9158653616905212,0.8390103578567505,1.0,0.712,0.726,0.003,0.752,0.744,51,Accuracy,higher,final,0
56,0.16448816657066345,0.9275006055831909,0.84634929895401,1.0,0.706,0.728,0.003,0.752,0.744,51,Accuracy,higher,final,0
57,0.1314721405506134,0.9372869729995728,0.85514897108078,1.0,0.706,0.723,0.003,0.752,0.744,51,Accuracy,higher,final,0
58,0.10519850254058838,0.9468033313751221,0.8637709021568298,1.0,0.696,0.722,0.003,0.752,0.744,51,Accuracy,higher,final,0
59,0.1310129165649414,0.9313758611679077,0.8475424647331238,1.0,0.702,0.723,0.003,0.752,0.744,51,Accuracy,higher,final,0
60,0.11816830188035965,0.8988114595413208,0.8142931461334229,1.0,0.716,0.732,0.003,0.752,0.744,51,Accuracy,higher,final,0
61,0.09957829862833023,0.8918989300727844,0.8032947778701782,1.0,0.73,0.738,0.003,0.752,0.744,51,Accuracy,higher,final,0
62,0.09956478327512741,0.9132075905799866,0.8191048502922058,1.0,0.72,0.748,0.003,0.752,0.744,51,Accuracy,higher,final,0
63,0.09006959944963455,0.9254255294799805,0.8294864296913147,1.0,0.72,0.751,0.0018,0.752,0.744,51,Accuracy,higher,final,0
64,0.10295145958662033,0.9231956601142883,0.8252007365226746,1.0,0.718,0.749,0.0018,0.752,0.744,51,Accuracy,higher,final,0
65,0.13286682963371277,0.9057186245918274,0.8086571097373962,1.0,0.724,0.748,0.0018,0.752,0.744,51,Accuracy,higher,final,0
66,0.12544912099838257,0.8876856565475464,0.7947792410850525,1.0,0.732,0.749,0.0018,0.752,0.744,51,Accuracy,higher,final,0
67,0.0869641974568367,0.8909983038902283,0.8015679717063904,1.0,0.724,0.746,0.0018,0.752,0.744,51,Accuracy,higher,final,0
68,0.09452247619628906,0.9156122207641602,0.8245145082473755,1.0,0.718,0.737,0.0018,0.752,0.744,51,Accuracy,higher,final,0
69,0.11934735625982285,0.9121553897857666,0.8207991719245911,1.0,0.714,0.738,0.0018,0.752,0.744,51,Accuracy,higher,final,0
70,0.10227710008621216,0.904914915561676,0.8115581274032593,1.0,0.72,0.744,0.0018,0.752,0.744,51,Accuracy,higher,final,0
71,0.1032247468829155,0.8841490745544434,0.790733277797699,1.0,0.732,0.754,0.0018,0.752,0.744,51,Accuracy,higher,final,0
72,0.09729830175638199,0.8833398818969727,0.7863868474960327,1.0,0.736,0.751,0.0018,0.752,0.744,51,Accuracy,higher,final,0
73,0.12803862988948822,0.9022760987281799,0.7978339791297913,1.0,0.732,0.747,0.0018,0.752,0.744,51,Accuracy,higher,final,0
74,0.08860199898481369,0.9282978773117065,0.8183007836341858,1.0,0.732,0.745,0.00108,0.752,0.744,51,Accuracy,higher,final,0
75,0.10955462604761124,0.9519402384757996,0.8394584059715271,1.0,0.728,0.739,0.00108,0.752,0.744,51,Accuracy,higher,final,0
76,0.12122263014316559,0.9703235030174255,0.8554779887199402,1.0,0.724,0.739,0.00108,0.752,0.744,51,Accuracy,higher,final,0
77,0.12471725046634674,0.9867568016052246,0.8700429797172546,1.0,0.716,0.735,0.00108,0.752,0.744,51,Accuracy,higher,final,0
78,0.09657212346792221,0.9938486218452454,0.8750490546226501,1.0,0.712,0.736,0.00108,0.752,0.744,51,Accuracy,higher,final,0
79,0.06915462762117386,0.9942259788513184,0.8743711113929749,1.0,0.71,0.738,0.00108,0.752,0.744,51,Accuracy,higher,final,0
80,0.08387338370084763,0.9936922192573547,0.8743741512298584,1.0,0.708,0.738,0.00108,0.752,0.744,51,Accuracy,higher,final,0
81,0.08714935183525085,0.9897940158843994,0.8738099336624146,1.0,0.706,0.742,0.00108,0.752,0.744,51,Accuracy,higher,final,0
82,0.08190862834453583,0.9772728681564331,0.8667833209037781,1.0,0.712,0.738,0.00108,0.752,0.744,51,Accuracy,higher,final,0
83,0.06879948079586029,0.9704787135124207,0.8656038641929626,1.0,0.712,0.733,0.00108,0.752,0.744,51,Accuracy,higher,final,0
84,0.08006380498409271,0.9528070092201233,0.8545145392417908,1.0,0.716,0.73,0.00108,0.752,0.744,51,Accuracy,higher,final,0
85,0.08348270505666733,0.9361047744750977,0.8428420424461365,1.0,0.714,0.741,0.000648,0.752,0.744,51,Accuracy,higher,final,0
86,0.1059076189994812,0.9194650650024414,0.8301685452461243,1.0,0.712,0.746,0.000648,0.752,0.744,51,Accuracy,higher,final,0
87,0.10128676891326904,0.9025548696517944,0.8148906230926514,1.0,0.724,0.749,0.000648,0.752,0.744,51,Accuracy,higher,final,0
88,0.1016933023929596,0.8910890221595764,0.80278480052948,1.0,0.736,0.75,0.000648,0.752,0.744,51,Accuracy,higher,final,0
89,0.08522074669599533,0.8855308294296265,0.7944533824920654,1.0,0.736,0.75,0.000648,0.752,0.744,51,Accuracy,higher,final,0
90,0.08365026116371155,0.8864670991897583,0.791180431842804,1.0,0.738,0.754,0.000648,0.752,0.744,51,Accuracy,higher,final,0
91,0.09408659487962723,0.8986591696739197,0.7967942953109741,1.0,0.74,0.748,0.000648,0.752,0.744,51,Accuracy,higher,final,0
92,0.07742679864168167,0.9112390875816345,0.8051683306694031,1.0,0.734,0.751,0.000648,0.752,0.744,51,Accuracy,higher,final,0
93,0.06446413695812225,0.9253183603286743,0.8163114190101624,1.0,0.73,0.751,0.000648,0.752,0.744,51,Accuracy,higher,final,0
94,0.11558499932289124,0.9384442567825317,0.8262956142425537,1.0,0.716,0.75,0.000648,0.752,0.744,51,Accuracy,higher,final,0
95,0.0540877990424633,0.9490823745727539,0.834924578666687,1.0,0.712,0.749,0.000648,0.752,0.744,51,Accuracy,higher,final,0
96,0.07286877185106277,0.9528054594993591,0.8380101323127747,1.0,0.71,0.749,0.0003888,0.752,0.744,51,Accuracy,higher,final,0
97,0.09323372691869736,0.9564505815505981,0.8409348130226135,1.0,0.71,0.75,0.0003888,0.752,0.744,51,Accuracy,higher,final,0
98,0.11026854068040848,0.9501261115074158,0.8344541192054749,1.0,0.718,0.75,0.0003888,0.752,0.744,51,Accuracy,higher,final,0
99,0.08262426406145096,0.942279040813446,0.8269519209861755,1.0,0.726,0.748,0.0003888,0.752,0.744,51,Accuracy,higher,final,0
100,0.08107733726501465,0.9343997240066528,0.8197282552719116,1.0,0.728,0.75,0.0003888,0.752,0.744,51,Accuracy,higher,final,0
101,0.08661692589521408,0.9259843826293945,0.8123047947883606,1.0,0.734,0.751,0.0003888,0.752,0.744,51,Accuracy,higher,final,0
102,0.09853868186473846,0.9160223007202148,0.8043145537376404,1.0,0.738,0.758,0.0003888,0.752,0.744,51,Accuracy,higher,final,0
103,0.08954808861017227,0.9094381332397461,0.7993816137313843,1.0,0.74,0.76,0.0003888,0.752,0.744,51,Accuracy,higher,final,0
104,0.08016767352819443,0.9029931426048279,0.7948910593986511,1.0,0.738,0.758,0.0003888,0.752,0.744,51,Accuracy,higher,final,0
105,0.10596779733896255,0.8998989462852478,0.7931694388389587,1.0,0.732,0.757,0.0003888,0.752,0.744,51,Accuracy,higher,final,0
106,0.07545526325702667,0.9006344676017761,0.7931804060935974,1.0,0.734,0.756,0.0003888,0.752,0.744,51,Accuracy,higher,final,0
107,0.10320458561182022,0.900211751461029,0.7919948101043701,1.0,0.734,0.756,0.00023328,0.752,0.744,51,Accuracy,higher,final,0
108,0.09649164974689484,0.9005032777786255,0.7912048101425171,1.0,0.736,0.759,0.00023328,0.752,0.744,51,Accuracy,higher,final,0
109,0.04748373478651047,0.9011327028274536,0.790812611579895,1.0,0.738,0.761,0.00023328,0.752,0.744,51,Accuracy,higher,final,0
