epoch,phase,layer_id,hop,stat_name,stat_value
0,val,0,1,attention_norm_entropy_mean,0.9999842643737792
0,val,0,2,attention_norm_entropy_mean,0.999987006187439
0,test,0,1,attention_norm_entropy_mean,0.9999842643737792
0,test,0,2,attention_norm_entropy_mean,0.999987006187439
50,val,0,1,attention_norm_entropy_mean,0.999995231628418
50,val,0,1,attention_mae_from_baseline,0.0009805645095184
50,val,0,1,attention_max_abs_diff_from_baseline,0.017456442117691
50,val,0,1,attention_cosine_to_baseline,0.9999815225601196
50,val,0,2,attention_norm_entropy_mean,0.9999977946281432
50,val,0,2,attention_mae_from_baseline,0.0006658395286649
50,val,0,2,attention_max_abs_diff_from_baseline,0.0102961063385009
50,val,0,2,attention_cosine_to_baseline,0.9999823570251464
50,test,0,1,attention_norm_entropy_mean,0.999995231628418
50,test,0,1,attention_mae_from_baseline,0.0009805645095184
50,test,0,1,attention_max_abs_diff_from_baseline,0.017456442117691
50,test,0,1,attention_cosine_to_baseline,0.9999815225601196
50,test,0,2,attention_norm_entropy_mean,0.9999977946281432
50,test,0,2,attention_mae_from_baseline,0.0006658395868726
50,test,0,2,attention_max_abs_diff_from_baseline,0.0102961063385009
50,test,0,2,attention_cosine_to_baseline,0.9999823570251464
100,val,0,1,attention_norm_entropy_mean,0.9999987483024596
100,val,0,1,attention_mae_from_baseline,0.0009888687636703
100,val,0,1,attention_max_abs_diff_from_baseline,0.0163116157054901
100,val,0,1,attention_cosine_to_baseline,0.9999808073043824
100,val,0,2,attention_norm_entropy_mean,0.9999995827674866
100,val,0,2,attention_mae_from_baseline,0.0006550913094542
100,val,0,2,attention_max_abs_diff_from_baseline,0.009730190038681
100,val,0,2,attention_cosine_to_baseline,0.9999822378158568
100,test,0,1,attention_norm_entropy_mean,0.9999987483024596
100,test,0,1,attention_mae_from_baseline,0.0009888687636703
100,test,0,1,attention_max_abs_diff_from_baseline,0.0163116157054901
100,test,0,1,attention_cosine_to_baseline,0.9999808073043824
100,test,0,2,attention_norm_entropy_mean,0.9999995827674866
100,test,0,2,attention_mae_from_baseline,0.0006550913676619
100,test,0,2,attention_max_abs_diff_from_baseline,0.009730190038681
100,test,0,2,attention_cosine_to_baseline,0.9999822378158568
150,val,0,1,attention_norm_entropy_mean,0.9999989867210388
150,val,0,1,attention_mae_from_baseline,0.0009851614013314
150,val,0,1,attention_max_abs_diff_from_baseline,0.0162212550640106
150,val,0,1,attention_cosine_to_baseline,0.999981164932251
150,val,0,2,attention_norm_entropy_mean,0.999999701976776
150,val,0,2,attention_mae_from_baseline,0.0006537255248986
150,val,0,2,attention_max_abs_diff_from_baseline,0.0096224546432495
150,val,0,2,attention_cosine_to_baseline,0.9999827146530152
150,test,0,1,attention_norm_entropy_mean,0.9999989867210388
150,test,0,1,attention_mae_from_baseline,0.0009851614013314
150,test,0,1,attention_max_abs_diff_from_baseline,0.0162212550640106
150,test,0,1,attention_cosine_to_baseline,0.999981164932251
150,test,0,2,attention_norm_entropy_mean,0.999999701976776
150,test,0,2,attention_mae_from_baseline,0.0006537255248986
150,test,0,2,attention_max_abs_diff_from_baseline,0.0096224546432495
150,test,0,2,attention_cosine_to_baseline,0.9999827146530152
200,val,0,1,attention_norm_entropy_mean,0.9999990463256836
200,val,0,1,attention_mae_from_baseline,0.0009848604677245
200,val,0,1,attention_max_abs_diff_from_baseline,0.016158640384674
200,val,0,1,attention_cosine_to_baseline,0.9999810457229614
200,val,0,2,attention_norm_entropy_mean,0.999999701976776
200,val,0,2,attention_mae_from_baseline,0.0006536144064739
200,val,0,2,attention_max_abs_diff_from_baseline,0.0095987319946289
200,val,0,2,attention_cosine_to_baseline,0.9999826550483704
200,test,0,1,attention_norm_entropy_mean,0.9999990463256836
200,test,0,1,attention_mae_from_baseline,0.0009848604677245
200,test,0,1,attention_max_abs_diff_from_baseline,0.016158640384674
200,test,0,1,attention_cosine_to_baseline,0.9999810457229614
200,test,0,2,attention_norm_entropy_mean,0.999999701976776
200,test,0,2,attention_mae_from_baseline,0.0006536144064739
200,test,0,2,attention_max_abs_diff_from_baseline,0.0095987319946289
200,test,0,2,attention_cosine_to_baseline,0.9999826550483704
250,val,0,1,attention_norm_entropy_mean,0.9999990463256836
250,val,0,1,attention_mae_from_baseline,0.0009847856126725
250,val,0,1,attention_max_abs_diff_from_baseline,0.016142725944519
250,val,0,1,attention_cosine_to_baseline,0.9999810457229614
250,val,0,2,attention_norm_entropy_mean,0.999999701976776
250,val,0,2,attention_mae_from_baseline,0.0006535801221616
250,val,0,2,attention_max_abs_diff_from_baseline,0.009595513343811
250,val,0,2,attention_cosine_to_baseline,0.99998277425766
250,test,0,1,attention_norm_entropy_mean,0.9999990463256836
250,test,0,1,attention_mae_from_baseline,0.0009847856126725
250,test,0,1,attention_max_abs_diff_from_baseline,0.016142725944519
250,test,0,1,attention_cosine_to_baseline,0.9999810457229614
250,test,0,2,attention_norm_entropy_mean,0.999999701976776
250,test,0,2,attention_mae_from_baseline,0.0006535801221616
250,test,0,2,attention_max_abs_diff_from_baseline,0.009595513343811
250,test,0,2,attention_cosine_to_baseline,0.99998277425766
300,val,0,1,attention_norm_entropy_mean,0.9999990463256836
300,val,0,1,attention_mae_from_baseline,0.0009846438188105
300,val,0,1,attention_max_abs_diff_from_baseline,0.0161325335502624
300,val,0,1,attention_cosine_to_baseline,0.9999809861183168
300,val,0,2,attention_norm_entropy_mean,0.999999701976776
300,val,0,2,attention_mae_from_baseline,0.0006535354768857
300,val,0,2,attention_max_abs_diff_from_baseline,0.0095909833908081
300,val,0,2,attention_cosine_to_baseline,0.9999829530715942
300,test,0,1,attention_norm_entropy_mean,0.9999990463256836
300,test,0,1,attention_mae_from_baseline,0.0009846439352259
300,test,0,1,attention_max_abs_diff_from_baseline,0.0161325335502624
300,test,0,1,attention_cosine_to_baseline,0.9999809861183168
300,test,0,2,attention_norm_entropy_mean,0.999999701976776
300,test,0,2,attention_mae_from_baseline,0.0006535354768857
300,test,0,2,attention_max_abs_diff_from_baseline,0.0095909833908081
300,test,0,2,attention_cosine_to_baseline,0.9999829530715942
350,val,0,1,attention_norm_entropy_mean,0.9999990463256836
350,val,0,1,attention_mae_from_baseline,0.000984564772807
350,val,0,1,attention_max_abs_diff_from_baseline,0.0161194801330566
350,val,0,1,attention_cosine_to_baseline,0.9999808073043824
350,val,0,2,attention_norm_entropy_mean,0.999999701976776
350,val,0,2,attention_mae_from_baseline,0.0006534915301017
350,val,0,2,attention_max_abs_diff_from_baseline,0.00960174202919
350,val,0,2,attention_cosine_to_baseline,0.9999830722808838
350,test,0,1,attention_norm_entropy_mean,0.9999990463256836
350,test,0,1,attention_mae_from_baseline,0.000984564772807
350,test,0,1,attention_max_abs_diff_from_baseline,0.0161194801330566
350,test,0,1,attention_cosine_to_baseline,0.9999808073043824
350,test,0,2,attention_norm_entropy_mean,0.999999701976776
350,test,0,2,attention_mae_from_baseline,0.0006534915883094
350,test,0,2,attention_max_abs_diff_from_baseline,0.00960174202919
350,test,0,2,attention_cosine_to_baseline,0.9999830722808838
400,val,0,1,attention_norm_entropy_mean,0.9999990463256836
400,val,0,1,attention_mae_from_baseline,0.0009844329906627
400,val,0,1,attention_max_abs_diff_from_baseline,0.0161072313785552
