event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8999999761581421, 0.949999988079071, 0.5]",,,,0,,,0.9000000357627869,0.9499999284744263,0.5,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.5,,,,,,,,,,,,
backward,0,train,0,0.003,3,,,,,,,,,,,,0,0.003881820011883974,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.003,3,,,,,,,,,,,,0,0.005145689006894827,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8997296690940857, 0.9498573541641235, 0.49924999475479126]",,,,0,,,0.8997296094894409,0.949857234954834,0.49924999475479126,0.0,0.0,0.0,0.8997296690940857,0.9498573541641235,0.49924999475479126,,,,,0.9999842643737793,nan,nan,nan,0.999987006187439,nan,nan,nan
forward,0,test,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8997296690940857, 0.9498573541641235, 0.49924999475479126]",,,,0,,,0.8997296094894409,0.949857234954834,0.49924999475479126,0.0,0.0,0.0,0.8997296690940857,0.9498573541641235,0.49924999475479126,,,,,0.9999842643737793,nan,nan,nan,0.999987006187439,nan,nan,nan
forward,50,train,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8863455057144165, 0.9427588582038879, 0.5017843842506409]",,,,0,,,0.8863455057144165,0.9427589178085327,0.5017843246459961,0.0,0.0,0.0,0.8863455057144165,0.9427588582038879,0.5017843842506409,,,,,,,,,,,,
backward,50,train,0,0.003,3,,,,,,,,,,,,0,0.04484901204705238,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.003,3,,,,,,,,,,,,0,0.040698885917663574,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8860828876495361, 0.9426131844520569, 0.5019446611404419]",,,,0,,,0.8860829472541809,0.9426130652427673,0.5019446611404419,0.0,0.0,0.0,0.8860828876495361,0.9426131844520569,0.5019446611404419,,,,,0.999995231628418,0.0009805645095184445,0.01745644211769104,0.9999815225601196,0.9999977946281433,0.0006658395286649466,0.010296106338500977,0.9999823570251465
forward,50,test,0,0.003,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8860828876495361, 0.9426131844520569, 0.5019446611404419]",,,,0,,,0.8860829472541809,0.9426130652427673,0.5019446611404419,0.0,0.0,0.0,0.8860828876495361,0.9426131844520569,0.5019446611404419,,,,,0.999995231628418,0.0009805645095184445,0.01745644211769104,0.9999815225601196,0.9999977946281433,0.0006658395868726075,0.010296106338500977,0.9999823570251465
forward,100,train,0,0.00108,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8773850202560425, 0.9368175268173218, 0.503439724445343]",,,,0,,,0.8773850202560425,0.9368175268173218,0.5034396648406982,0.0,0.0,0.0,0.8773850202560425,0.9368175268173218,0.503439724445343,,,,,,,,,,,,
backward,100,train,0,0.00108,3,,,,,,,,,,,,0,0.006013423670083284,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.00108,3,,,,,,,,,,,,0,0.018487155437469482,,,,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.00108,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8773011565208435, 0.9367575645446777, 0.5035037398338318]",,,,0,,,0.8773010969161987,0.9367576241493225,0.503503680229187,0.0,0.0,0.0,0.8773011565208435,0.9367575645446777,0.5035037398338318,,,,,0.9999987483024597,0.0009888687636703253,0.016311615705490112,0.9999808073043823,0.9999995827674866,0.0006550913094542921,0.00973019003868103,0.9999822378158569
forward,100,test,0,0.00108,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8773011565208435, 0.9367575645446777, 0.5035037398338318]",,,,0,,,0.8773010969161987,0.9367576241493225,0.503503680229187,0.0,0.0,0.0,0.8773011565208435,0.9367575645446777,0.5035037398338318,,,,,0.9999987483024597,0.0009888687636703253,0.016311615705490112,0.9999808073043823,0.9999995827674866,0.000655091367661953,0.00973019003868103,0.9999822378158569
forward,150,train,0,8.39808e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8760524392127991, 0.9359473586082458, 0.5037719011306763]",,,,0,,,0.8760524392127991,0.9359472990036011,0.5037719011306763,0.0,0.0,0.0,0.8760524392127991,0.9359473586082458,0.5037719011306763,,,,,,,,,,,,
backward,150,train,0,8.39808e-05,3,,,,,,,,,,,,0,0.007333692628890276,,,,,,,,,,,,,,,,,,,,,,
backward,150,train,1,8.39808e-05,3,,,,,,,,,,,,0,0.010472274385392666,,,,,,,,,,,,,,,,,,,,,,
forward,150,val,0,8.39808e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.876044511795044, 0.9359430074691772, 0.5037780404090881]",,,,0,,,0.8760444521903992,0.9359430074691772,0.5037779211997986,0.0,0.0,0.0,0.876044511795044,0.9359430074691772,0.5037780404090881,,,,,0.9999989867210388,0.0009851614013314247,0.01622125506401062,0.999981164932251,0.9999997019767761,0.0006537255248986185,0.009622454643249512,0.9999827146530151
forward,150,test,0,8.39808e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.876044511795044, 0.9359430074691772, 0.5037780404090881]",,,,0,,,0.8760444521903992,0.9359430074691772,0.5037779211997986,0.0,0.0,0.0,0.876044511795044,0.9359430074691772,0.5037780404090881,,,,,0.9999989867210388,0.0009851614013314247,0.01622125506401062,0.999981164932251,0.9999997019767761,0.0006537255248986185,0.009622454643249512,0.9999827146530151
forward,200,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8759012818336487, 0.935854434967041, 0.503886878490448]",,,,0,,,0.8759013414382935,0.9358543753623962,0.503886878490448,0.0,0.0,0.0,0.8759012818336487,0.935854434967041,0.503886878490448,,,,,,,,,,,,
backward,200,train,0,1e-05,3,,,,,,,,,,,,0,0.00754225580021739,,,,,,,,,,,,,,,,,,,,,,
backward,200,train,1,1e-05,3,,,,,,,,,,,,0,0.012805542908608913,,,,,,,,,,,,,,,,,,,,,,
forward,200,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.875900149345398, 0.935853898525238, 0.5038877725601196]",,,,0,,,0.8759000897407532,0.9358538389205933,0.5038877725601196,0.0,0.0,0.0,0.875900149345398,0.935853898525238,0.5038877725601196,,,,,0.9999990463256836,0.000984860467724502,0.016158640384674072,0.9999810457229614,0.9999997019767761,0.0006536144064739347,0.009598731994628906,0.9999826550483704
forward,200,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.875900149345398, 0.935853898525238, 0.5038877725601196]",,,,0,,,0.8759000897407532,0.9358538389205933,0.5038877725601196,0.0,0.0,0.0,0.875900149345398,0.935853898525238,0.5038877725601196,,,,,0.9999990463256836,0.000984860467724502,0.016158640384674072,0.9999810457229614,0.9999997019767761,0.0006536144064739347,0.009598731994628906,0.9999826550483704
forward,250,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8758612275123596, 0.9358261227607727, 0.5039140582084656]",,,,0,,,0.8758611679077148,0.9358261823654175,0.5039140582084656,0.0,0.0,0.0,0.8758612275123596,0.9358261227607727,0.5039140582084656,,,,,,,,,,,,
backward,250,train,0,1e-05,3,,,,,,,,,,,,0,0.012968309223651886,,,,,,,,,,,,,,,,,,,,,,
backward,250,train,1,1e-05,3,,,,,,,,,,,,0,0.021448707208037376,,,,,,,,,,,,,,,,,,,,,,
forward,250,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8758602738380432, 0.9358256459236145, 0.5039148330688477]",,,,0,,,0.8758602738380432,0.9358256459236145,0.5039148330688477,0.0,0.0,0.0,0.8758602738380432,0.9358256459236145,0.5039148330688477,,,,,0.9999990463256836,0.0009847856126725674,0.016142725944519043,0.9999810457229614,0.9999997019767761,0.0006535801221616566,0.009595513343811035,0.9999827742576599
forward,250,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8758602738380432, 0.9358256459236145, 0.5039148330688477]",,,,0,,,0.8758602738380432,0.9358256459236145,0.5039148330688477,0.0,0.0,0.0,0.8758602738380432,0.9358256459236145,0.5039148330688477,,,,,0.9999990463256836,0.0009847856126725674,0.016142725944519043,0.9999810457229614,0.9999997019767761,0.0006535801221616566,0.009595513343811035,0.9999827742576599
forward,300,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8758155703544617, 0.9357995986938477, 0.5039371848106384]",,,,0,,,0.8758156299591064,0.9357994794845581,0.5039371848106384,0.0,0.0,0.0,0.8758155703544617,0.9357995986938477,0.5039371848106384,,,,,,,,,,,,
backward,300,train,0,1e-05,3,,,,,,,,,,,,0,0.01047668606042862,,,,,,,,,,,,,,,,,,,,,,
backward,300,train,1,1e-05,3,,,,,,,,,,,,0,0.010762124322354794,,,,,,,,,,,,,,,,,,,,,,
forward,300,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8758145570755005, 0.9357991218566895, 0.5039380192756653]",,,,0,,,0.8758145570755005,0.9357991218566895,0.5039380192756653,0.0,0.0,0.0,0.8758145570755005,0.9357991218566895,0.5039380192756653,,,,,0.9999990463256836,0.0009846438188105822,0.01613253355026245,0.9999809861183167,0.9999997019767761,0.000653535476885736,0.009590983390808105,0.9999829530715942
forward,300,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8758145570755005, 0.9357991218566895, 0.5039380192756653]",,,,0,,,0.8758145570755005,0.9357991218566895,0.5039380192756653,0.0,0.0,0.0,0.8758145570755005,0.9357991218566895,0.5039380192756653,,,,,0.9999990463256836,0.000984643935225904,0.01613253355026245,0.9999809861183167,0.9999997019767761,0.000653535476885736,0.009590983390808105,0.9999829530715942
forward,350,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757712244987488, 0.935772716999054, 0.5039576292037964]",,,,0,,,0.875771164894104,0.9357727766036987,0.5039576292037964,0.0,0.0,0.0,0.8757712244987488,0.935772716999054,0.5039576292037964,,,,,,,,,,,,
backward,350,train,0,1e-05,3,,,,,,,,,,,,0,0.006226317025721073,,,,,,,,,,,,,,,,,,,,,,
backward,350,train,1,1e-05,3,,,,,,,,,,,,0,0.0009238854981958866,,,,,,,,,,,,,,,,,,,,,,
forward,350,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757703900337219, 0.935772180557251, 0.5039583444595337]",,,,0,,,0.8757703304290771,0.9357720613479614,0.5039583444595337,0.0,0.0,0.0,0.8757703900337219,0.935772180557251,0.5039583444595337,,,,,0.9999990463256836,0.0009845647728070617,0.01611948013305664,0.9999808073043823,0.9999997019767761,0.0006534915301017463,0.009601742029190063,0.9999830722808838
forward,350,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757703900337219, 0.935772180557251, 0.5039583444595337]",,,,0,,,0.8757703304290771,0.9357720613479614,0.5039583444595337,0.0,0.0,0.0,0.8757703900337219,0.935772180557251,0.5039583444595337,,,,,0.9999990463256836,0.0009845647728070617,0.01611948013305664,0.9999808073043823,0.9999997019767761,0.0006534915883094072,0.009601742029190063,0.9999830722808838
forward,400,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757300972938538, 0.9357442259788513, 0.5039780139923096]",,,,0,,,0.875730037689209,0.9357441067695618,0.5039780139923096,0.0,0.0,0.0,0.8757300972938538,0.9357442259788513,0.5039780139923096,,,,,,,,,,,,
backward,400,train,0,1e-05,3,,,,,,,,,,,,0,0.008109182119369507,,,,,,,,,,,,,,,,,,,,,,
backward,400,train,1,1e-05,3,,,,,,,,,,,,0,0.01692277379333973,,,,,,,,,,,,,,,,,,,,,,
forward,400,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757292628288269, 0.9357436895370483, 0.5039781332015991]",,,,0,,,0.8757291436195374,0.9357436895370483,0.5039780735969543,0.0,0.0,0.0,0.8757292628288269,0.9357436895370483,0.5039781332015991,,,,,0.9999990463256836,0.0009844329906627536,0.016107231378555298,0.9999807476997375,0.9999997019767761,0.000653433206025511,0.00960010290145874,0.9999830722808838
forward,400,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8757292628288269, 0.9357436895370483, 0.5039781332015991]",,,,0,,,0.8757291436195374,0.9357436895370483,0.5039780735969543,0.0,0.0,0.0,0.8757292628288269,0.9357436895370483,0.5039781332015991,,,,,0.9999990463256836,0.0009844329906627536,0.016107231378555298,0.9999807476997375,0.9999997019767761,0.000653433206025511,0.00960010290145874,0.9999830722808838
forward,450,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.875685453414917, 0.9357152581214905, 0.5040177702903748]",,,,0,,,0.875685453414917,0.9357152581214905,0.5040177702903748,0.0,0.0,0.0,0.875685453414917,0.9357152581214905,0.5040177702903748,,,,,,,,,,,,
backward,450,train,0,1e-05,3,,,,,,,,,,,,0,0.009806329384446144,,,,,,,,,,,,,,,,,,,,,,
backward,450,train,1,1e-05,3,,,,,,,,,,,,0,0.0059293583035469055,,,,,,,,,,,,,,,,,,,,,,
forward,450,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8756845593452454, 0.9357146620750427, 0.5040186047554016]",,,,0,,,0.8756845593452454,0.9357146620750427,0.5040185451507568,0.0,0.0,0.0,0.8756845593452454,0.9357146620750427,0.5040186047554016,,,,,0.9999991655349731,0.000984301557764411,0.016090482473373413,0.9999806880950928,0.9999997019767761,0.0006533949635922909,0.009600162506103516,0.9999831914901733
forward,450,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8756845593452454, 0.9357146620750427, 0.5040186047554016]",,,,0,,,0.8756845593452454,0.9357146620750427,0.5040185451507568,0.0,0.0,0.0,0.8756845593452454,0.9357146620750427,0.5040186047554016,,,,,0.9999991655349731,0.000984301557764411,0.016090482473373413,0.9999806880950928,0.9999997019767761,0.0006533949635922909,0.009600162506103516,0.9999831914901733
