event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8999999761581421, 0.949999988079071, 0.5]",,,,0,,,0.9000000357627869,0.9499999284744263,0.5,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.5,,,,,,,,,,,,
backward,0,train,0,0.002,3,,,,,,,,,,,,0,0.010332760401070118,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.002,3,,,,,,,,,,,,0,0.011303847655653954,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",,,,0,,,0.899562418460846,0.950010359287262,0.5010439157485962,4.1678358684293926e-06,1.0671499239833793e-06,1.2092905308236368e-05,0.8998197913169861,0.9499048590660095,0.500499963760376,,,,,0.999983549118042,nan,nan,nan,0.9999850392341614,nan,nan,nan
forward,0,test,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",,,,0,,,0.899562418460846,0.950010359287262,0.5010439157485962,4.1678358684293926e-06,1.0671499239833793e-06,1.2092905308236368e-05,0.8998197913169861,0.9499048590660095,0.500499963760376,,,,,0.999983549118042,nan,nan,nan,0.9999850392341614,nan,nan,nan
forward,50,train,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8902593851089478, 0.9456948041915894, 0.5142000913619995]",,,,0,,,0.8834156394004822,0.9481396675109863,0.5297155976295471,0.00011404416727600619,2.7101672458229586e-05,0.0004354392585810274,0.8902593851089478,0.9456948041915894,0.5142000913619995,,,,,,,,,,,,
backward,50,train,0,0.002,3,,,,,,,,,,,,0,0.00844986829906702,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.002,3,,,,,,,,,,,,0,0.044379834085702896,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.89003986120224, 0.945615291595459, 0.5145758986473083]",,,,0,,,0.8829403519630432,0.948148787021637,0.5304630398750305,6.283776019699872e-05,1.9629349480965175e-05,0.00032173938234336674,0.89003986120224,0.945615291595459,0.5145758986473083,,,,,0.9999929070472717,0.0008087643072940409,0.014686226844787598,0.9999876022338867,0.9999945759773254,0.0007624580175615847,0.00923869013786316,0.999985933303833
forward,50,test,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.89003986120224, 0.945615291595459, 0.5145758986473083]",,,,0,,,0.8829403519630432,0.948148787021637,0.5304630398750305,6.283776019699872e-05,1.9629349480965175e-05,0.00032173938234336674,0.89003986120224,0.945615291595459,0.5145758986473083,,,,,0.9999929070472717,0.0008087643072940409,0.014686226844787598,0.9999876022338867,0.9999945759773254,0.0007624579011462629,0.00923869013786316,0.999985933303833
forward,100,train,0,0.0007199999999999999,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8821197748184204, 0.941675066947937, 0.527676522731781]",,,,0,,,0.8669773936271667,0.9467623829841614,0.5566465854644775,5.473097553476691e-05,8.636483471491374e-06,0.0004048840200994164,0.8821197748184204,0.941675066947937,0.527676522731781,,,,,,,,,,,,
backward,100,train,0,0.0007199999999999999,3,,,,,,,,,,,,0,0.017941147089004517,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.0007199999999999999,3,,,,,,,,,,,,0,0.020085807889699936,,,,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.0007199999999999999,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.882056713104248, 0.9416346549987793, 0.5277824401855469]",,,,0,,,0.8668549656867981,0.9467344284057617,0.5568884015083313,3.41896629834082e-05,6.732738711434649e-06,0.0003310282772872597,0.882056713104248,0.9416346549987793,0.5277824401855469,,,,,0.9999978542327881,0.0009043827303685248,0.014509439468383789,0.9999844431877136,0.9999979734420776,0.0008186109480448067,0.00970044732093811,0.9999839067459106
forward,100,test,0,0.0007199999999999999,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.882056713104248, 0.9416346549987793, 0.5277824401855469]",,,,0,,,0.8668549656867981,0.9467344284057617,0.5568884015083313,3.41896629834082e-05,6.732738711434649e-06,0.0003310282772872597,0.882056713104248,0.9416346549987793,0.5277824401855469,,,,,0.9999978542327881,0.0009043827303685248,0.014509439468383789,0.9999844431877136,0.9999979734420776,0.0008186110062524676,0.00970044732093811,0.9999839067459106
forward,150,train,0,5.5987199999999985e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8809388279914856, 0.9408901929855347, 0.5294584035873413]",,,,0,,,0.8647580742835999,0.9462199807167053,0.5602218508720398,4.6290093450807035e-05,6.8291501520434394e-06,0.0003824529121629894,0.8809388279914856,0.9408901929855347,0.5294584035873413,,,,,,,,,,,,
backward,150,train,0,5.5987199999999985e-05,3,,,,,,,,,,,,0,0.00620017247274518,,,,,,,,,,,,,,,,,,,,,,
backward,150,train,1,5.5987199999999985e-05,3,,,,,,,,,,,,0,0.019082630053162575,,,,,,,,,,,,,,,,,,,,,,
forward,150,val,0,5.5987199999999985e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8809340596199036, 0.9408873319625854, 0.5294610261917114]",,,,0,,,0.8647496700286865,0.946218729019165,0.5602419376373291,2.7896077881450765e-05,5.5056166274880525e-06,0.0003064378979615867,0.8809340596199036,0.9408873319625854,0.5294610261917114,,,,,0.9999982714653015,0.0009124086936935782,0.014881610870361328,0.9999840259552002,0.9999984502792358,0.0008206659695133567,0.00983157753944397,0.9999834895133972
forward,150,test,0,5.5987199999999985e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8809340596199036, 0.9408873319625854, 0.5294610261917114]",,,,0,,,0.8647496700286865,0.946218729019165,0.5602419376373291,2.7896077881450765e-05,5.5056166274880525e-06,0.0003064378979615867,0.8809340596199036,0.9408873319625854,0.5294610261917114,,,,,0.9999982714653015,0.0009124086936935782,0.014881610870361328,0.9999840259552002,0.9999984502792358,0.0008206659695133567,0.00983157753944397,0.9999834895133972
forward,200,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8808243274688721, 0.940815806388855, 0.5295680165290833]",,,,0,,,0.8645491600036621,0.9461763501167297,0.5604324340820312,4.419750257511623e-05,6.742123332514893e-06,0.0003890061052516103,0.8808243274688721,0.940815806388855,0.5295680165290833,,,,,,,,,,,,
backward,200,train,0,1e-05,3,,,,,,,,,,,,0,0.003529229434207082,,,,,,,,,,,,,,,,,,,,,,
backward,200,train,1,1e-05,3,,,,,,,,,,,,0,0.021375302225351334,,,,,,,,,,,,,,,,,,,,,,
forward,200,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8808233737945557, 0.940815269947052, 0.5295683741569519]",,,,0,,,0.8645468354225159,0.9461762309074402,0.5604320764541626,2.708655119931791e-05,5.214882094151108e-06,0.0003012607921846211,0.8808233737945557,0.940815269947052,0.5295683741569519,,,,,0.9999982714653015,0.0009131186525337398,0.014889180660247803,0.9999837279319763,0.9999984502792358,0.0008209528750739992,0.009828776121139526,0.9999836087226868
forward,200,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8808233737945557, 0.940815269947052, 0.5295683741569519]",,,,0,,,0.8645468354225159,0.9461762309074402,0.5604320764541626,2.708655119931791e-05,5.214882094151108e-06,0.0003012607921846211,0.8808233737945557,0.940815269947052,0.5295683741569519,,,,,0.9999982714653015,0.0009131187107414007,0.014889180660247803,0.9999837279319763,0.9999984502792358,0.0008209529332816601,0.009828776121139526,0.9999836087226868
forward,250,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8807770013809204, 0.9407892823219299, 0.5296154618263245]",,,,0,,,0.8644559383392334,0.9461662769317627,0.5605146884918213,4.339998122304678e-05,6.592976660613203e-06,0.00040946248918771744,0.8807770013809204,0.9407892823219299,0.5296154618263245,,,,,,,,,,,,
backward,250,train,0,1e-05,3,,,,,,,,,,,,0,0.00453433720394969,,,,,,,,,,,,,,,,,,,,,,
backward,250,train,1,1e-05,3,,,,,,,,,,,,0,0.016397733241319656,,,,,,,,,,,,,,,,,,,,,,
forward,250,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.880776047706604, 0.940788745880127, 0.52961665391922]",,,,0,,,0.8644534349441528,0.9461658000946045,0.5605174899101257,2.6920997697743587e-05,5.088188572699437e-06,0.00029912879108451307,0.880776047706604,0.940788745880127,0.52961665391922,,,,,0.9999982714653015,0.0009134301217272878,0.014898359775543213,0.999983549118042,0.9999984502792358,0.0008210537489503622,0.009827107191085815,0.9999836683273315
forward,250,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.880776047706604, 0.940788745880127, 0.52961665391922]",,,,0,,,0.8644534349441528,0.9461658000946045,0.5605174899101257,2.6920997697743587e-05,5.088188572699437e-06,0.00029912879108451307,0.880776047706604,0.940788745880127,0.52961665391922,,,,,0.9999982714653015,0.0009134301799349487,0.014898359775543213,0.999983549118042,0.9999984502792358,0.0008210538071580231,0.009827107191085815,0.9999836683273315
