epoch,phase,layer_id,hop,stat_name,stat_value
0,val,0,1,attention_norm_entropy_mean,0.999983549118042
0,val,0,2,attention_norm_entropy_mean,0.9999850392341614
0,test,0,1,attention_norm_entropy_mean,0.999983549118042
0,test,0,2,attention_norm_entropy_mean,0.9999850392341614
50,val,0,1,attention_norm_entropy_mean,0.9999927878379822
50,val,0,1,attention_mae_from_baseline,0.00081006961409
50,val,0,1,attention_max_abs_diff_from_baseline,0.0147107541561126
50,val,0,1,attention_cosine_to_baseline,0.9999873638153076
50,val,0,2,attention_norm_entropy_mean,0.9999945759773254
50,val,0,2,attention_mae_from_baseline,0.0007633434142917
50,val,0,2,attention_max_abs_diff_from_baseline,0.0091720819473266
50,val,0,2,attention_cosine_to_baseline,0.999986171722412
50,test,0,1,attention_norm_entropy_mean,0.9999927878379822
50,test,0,1,attention_mae_from_baseline,0.00081006961409
50,test,0,1,attention_max_abs_diff_from_baseline,0.0147107541561126
50,test,0,1,attention_cosine_to_baseline,0.9999873638153076
50,test,0,2,attention_norm_entropy_mean,0.9999945759773254
50,test,0,2,attention_mae_from_baseline,0.0007633434724994
50,test,0,2,attention_max_abs_diff_from_baseline,0.0091720819473266
50,test,0,2,attention_cosine_to_baseline,0.999986171722412
100,val,0,1,attention_norm_entropy_mean,0.999997854232788
100,val,0,1,attention_mae_from_baseline,0.0009030189830809
100,val,0,1,attention_max_abs_diff_from_baseline,0.0138471722602844
100,val,0,1,attention_cosine_to_baseline,0.9999841451644896
100,val,0,2,attention_norm_entropy_mean,0.9999979734420776
100,val,0,2,attention_mae_from_baseline,0.0008190340013243
100,val,0,2,attention_max_abs_diff_from_baseline,0.0099017024040222
100,val,0,2,attention_cosine_to_baseline,0.9999837875366212
100,test,0,1,attention_norm_entropy_mean,0.999997854232788
100,test,0,1,attention_mae_from_baseline,0.0009030189830809
100,test,0,1,attention_max_abs_diff_from_baseline,0.0138471722602844
100,test,0,1,attention_cosine_to_baseline,0.9999841451644896
100,test,0,2,attention_norm_entropy_mean,0.9999979734420776
100,test,0,2,attention_mae_from_baseline,0.0008190340595319
100,test,0,2,attention_max_abs_diff_from_baseline,0.0099017024040222
100,test,0,2,attention_cosine_to_baseline,0.9999837875366212
150,val,0,1,attention_norm_entropy_mean,0.9999982714653016
150,val,0,1,attention_mae_from_baseline,0.0009107766672968
150,val,0,1,attention_max_abs_diff_from_baseline,0.0143290162086486
150,val,0,1,attention_cosine_to_baseline,0.999984085559845
150,val,0,2,attention_norm_entropy_mean,0.9999983310699464
150,val,0,2,attention_mae_from_baseline,0.0008209309889934
150,val,0,2,attention_max_abs_diff_from_baseline,0.0099267959594726
150,val,0,2,attention_cosine_to_baseline,0.9999839067459106
150,test,0,1,attention_norm_entropy_mean,0.9999982714653016
150,test,0,1,attention_mae_from_baseline,0.0009107766090892
150,test,0,1,attention_max_abs_diff_from_baseline,0.0143290162086486
150,test,0,1,attention_cosine_to_baseline,0.999984085559845
