event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8999999761581421, 0.949999988079071, 0.5]",,,,0,,,0.9000000357627869,0.9499999284744263,0.5,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.5,,,,,,,,,,,,
backward,0,train,0,0.002,3,,,,,,,,,,,,0,0.010332761332392693,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.002,3,,,,,,,,,,,,0,0.011303846724331379,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",,,,0,,,0.8998197317123413,0.9499047994613647,0.5004999041557312,0.0,0.0,0.0,0.8998197913169861,0.9499048590660095,0.500499963760376,,,,,0.999983549118042,nan,nan,nan,0.9999850392341614,nan,nan,nan
forward,0,test,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",,,,0,,,0.8998197317123413,0.9499047994613647,0.5004999041557312,0.0,0.0,0.0,0.8998197913169861,0.9499048590660095,0.500499963760376,,,,,0.999983549118042,nan,nan,nan,0.9999850392341614,nan,nan,nan
forward,50,train,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8902586102485657, 0.9457110166549683, 0.5144160389900208]",,,,0,,,0.8902586102485657,0.9457109570503235,0.514415979385376,0.0,0.0,0.0,0.8902586102485657,0.9457110166549683,0.5144160389900208,,,,,,,,,,,,
backward,50,train,0,0.002,3,,,,,,,,,,,,0,0.00816607940942049,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.002,3,,,,,,,,,,,,0,0.04681364819407463,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8900393843650818, 0.9456326365470886, 0.5148034691810608]",,,,0,,,0.890039324760437,0.9456325173377991,0.5148034691810608,0.0,0.0,0.0,0.8900393843650818,0.9456326365470886,0.5148034691810608,,,,,0.9999927878379822,0.0008100696140900254,0.014710754156112671,0.9999873638153076,0.9999945759773254,0.0007633434142917395,0.00917208194732666,0.9999861717224121
forward,50,test,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8900393843650818, 0.9456326365470886, 0.5148034691810608]",,,,0,,,0.890039324760437,0.9456325173377991,0.5148034691810608,0.0,0.0,0.0,0.8900393843650818,0.9456326365470886,0.5148034691810608,,,,,0.9999927878379822,0.0008100696140900254,0.014710754156112671,0.9999873638153076,0.9999945759773254,0.0007633434724994004,0.00917208194732666,0.9999861717224121
forward,100,train,0,0.0007199999999999999,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8820628523826599, 0.9417762160301208, 0.5288301706314087]",,,,0,,,0.8820627331733704,0.9417762160301208,0.5288301110267639,0.0,0.0,0.0,0.8820628523826599,0.9417762160301208,0.5288301706314087,,,,,,,,,,,,
backward,100,train,0,0.0007199999999999999,3,,,,,,,,,,,,0,0.019831879064440727,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.0007199999999999999,3,,,,,,,,,,,,0,0.024686630815267563,,,,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.0007199999999999999,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8820000290870667, 0.9417364597320557, 0.5289352536201477]",,,,0,,,0.8820000290870667,0.9417364001274109,0.5289352536201477,0.0,0.0,0.0,0.8820000290870667,0.9417364597320557,0.5289352536201477,,,,,0.9999978542327881,0.0009030189830809832,0.013847172260284424,0.9999841451644897,0.9999979734420776,0.0008190340013243258,0.009901702404022217,0.9999837875366211
forward,100,test,0,0.0007199999999999999,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8820000290870667, 0.9417364597320557, 0.5289352536201477]",,,,0,,,0.8820000290870667,0.9417364001274109,0.5289352536201477,0.0,0.0,0.0,0.8820000290870667,0.9417364597320557,0.5289352536201477,,,,,0.9999978542327881,0.0009030189830809832,0.013847172260284424,0.9999841451644897,0.9999979734420776,0.0008190340595319867,0.009901702404022217,0.9999837875366211
forward,150,train,0,5.5987199999999985e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8808744549751282, 0.940997838973999, 0.5307614803314209]",,,,0,,,0.880874514579773,0.940997838973999,0.5307614803314209,0.0,0.0,0.0,0.8808744549751282,0.940997838973999,0.5307614803314209,,,,,,,,,,,,
backward,150,train,0,5.5987199999999985e-05,3,,,,,,,,,,,,0,0.005800687242299318,,,,,,,,,,,,,,,,,,,,,,
backward,150,train,1,5.5987199999999985e-05,3,,,,,,,,,,,,0,0.02021816372871399,,,,,,,,,,,,,,,,,,,,,,
forward,150,val,0,5.5987199999999985e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8808696269989014, 0.9409949779510498, 0.530764639377594]",,,,0,,,0.8808696269989014,0.940994918346405,0.5307645797729492,0.0,0.0,0.0,0.8808696269989014,0.9409949779510498,0.530764639377594,,,,,0.9999982714653015,0.0009107766672968864,0.014329016208648682,0.999984085559845,0.9999983310699463,0.0008209309889934957,0.009926795959472656,0.9999839067459106
forward,150,test,0,5.5987199999999985e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8808696269989014, 0.9409949779510498, 0.530764639377594]",,,,0,,,0.8808696269989014,0.940994918346405,0.5307645797729492,0.0,0.0,0.0,0.8808696269989014,0.9409949779510498,0.530764639377594,,,,,0.9999982714653015,0.0009107766090892255,0.014329016208648682,0.999984085559845,0.9999983310699463,0.0008209309889934957,0.009926795959472656,0.9999839067459106
forward,200,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8807604908943176, 0.9409235119819641, 0.5308853983879089]",,,,0,,,0.8807605504989624,0.9409235119819641,0.5308853983879089,0.0,0.0,0.0,0.8807604908943176,0.9409235119819641,0.5308853983879089,,,,,,,,,,,,
backward,200,train,0,1e-05,3,,,,,,,,,,,,0,0.005923790857195854,,,,,,,,,,,,,,,,,,,,,,
backward,200,train,1,1e-05,3,,,,,,,,,,,,0,0.02572263404726982,,,,,,,,,,,,,,,,,,,,,,
forward,200,val,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8807596564292908, 0.9409229755401611, 0.5308857560157776]",,,,0,,,0.8807596564292908,0.9409229755401611,0.5308857560157776,0.0,0.0,0.0,0.8807596564292908,0.9409229755401611,0.5308857560157776,,,,,0.9999982714653015,0.000911520270165056,0.01433640718460083,0.9999840259552002,0.9999984502792358,0.0008212196989916265,0.009924709796905518,0.9999836683273315
forward,200,test,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8807596564292908, 0.9409229755401611, 0.5308857560157776]",,,,0,,,0.8807596564292908,0.9409229755401611,0.5308857560157776,0.0,0.0,0.0,0.8807596564292908,0.9409229755401611,0.5308857560157776,,,,,0.9999982714653015,0.000911520270165056,0.01433640718460083,0.9999840259552002,0.9999984502792358,0.0008212196407839656,0.009924709796905518,0.9999836683273315
forward,250,train,0,1e-05,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8807134628295898, 0.9408972263336182, 0.5309373140335083]",,,,0,,,0.8807134628295898,0.9408972263336182,0.5309372544288635,0.0,0.0,0.0,0.8807134628295898,0.9408972263336182,0.5309373140335083,,,,,,,,,,,,
backward,250,train,0,1e-05,3,,,,,,,,,,,,0,0.005671062506735325,,,,,,,,,,,,,,,,,,,,,,
