event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,0,train,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8999999761581421, 0.949999988079071, 0.5]",,,,0,,,0.9000000357627869,0.9499999284744263,0.5,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.5,,,,,,,,,,,,
backward,0,train,0,0.002,3,,,,,,,,,,,,0,0.010332762263715267,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.002,3,,,,,,,,,,,,0,0.011303847655653954,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",,,,0,,,0.8998197317123413,0.9499047994613647,0.5004999041557312,0.0,0.0,0.0,0.8998197913169861,0.9499048590660095,0.500499963760376,,,,,0.999983549118042,nan,nan,nan,0.9999850392341614,nan,nan,nan
forward,0,test,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",,,,0,,,0.8998197317123413,0.9499047994613647,0.5004999041557312,0.0,0.0,0.0,0.8998197913169861,0.9499048590660095,0.500499963760376,,,,,0.999983549118042,nan,nan,nan,0.9999850392341614,nan,nan,nan
forward,50,train,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8902586102485657, 0.9457110166549683, 0.5144165754318237]",,,,0,,,0.8902586102485657,0.9457109570503235,0.5144165754318237,0.0,0.0,0.0,0.8902586102485657,0.9457110166549683,0.5144165754318237,,,,,,,,,,,,
backward,50,train,0,0.002,3,,,,,,,,,,,,0,0.008152107708156109,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.002,3,,,,,,,,,,,,0,0.046804267913103104,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8900395035743713, 0.9456326365470886, 0.5148047208786011]",,,,0,,,0.8900395035743713,0.9456325173377991,0.5148047208786011,0.0,0.0,0.0,0.8900395035743713,0.9456326365470886,0.5148047208786011,,,,,0.9999927878379822,0.000809914548881352,0.014720261096954346,0.9999874234199524,0.9999945759773254,0.0007634403300471604,0.009184598922729492,0.9999863505363464
forward,50,test,0,0.002,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8900395035743713, 0.9456326365470886, 0.5148047208786011]",,,,0,,,0.8900395035743713,0.9456325173377991,0.5148047208786011,0.0,0.0,0.0,0.8900395035743713,0.9456326365470886,0.5148047208786011,,,,,0.9999927878379822,0.000809914548881352,0.014720261096954346,0.9999874234199524,0.9999945759773254,0.0007634403300471604,0.009184598922729492,0.9999863505363464
forward,100,train,0,0.0007199999999999999,3,2,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8820630311965942, 0.9417757987976074, 0.5288360714912415]",,,,0,,,0.8820629119873047,0.9417758584022522,0.5288360118865967,0.0,0.0,0.0,0.8820630311965942,0.9417757987976074,0.5288360714912415,,,,,,,,,,,,
backward,100,train,0,0.0007199999999999999,3,,,,,,,,,,,,0,0.019831709563732147,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.0007199999999999999,3,,,,,,,,,,,,0,0.024610722437500954,,,,,,,,,,,,,,,,,,,,,,
