epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
0,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8999999761581421, 0.949999988079071, 0.5]",0.9000000357627869,0.9499999284744264,0.5,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.5
0,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",0.8998197317123413,0.9499047994613647,0.5004999041557312,0.0,0.0,0.0,0.8998197913169861,0.9499048590660096,0.500499963760376
0,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",0.8998197317123413,0.9499047994613647,0.5004999041557312,0.0,0.0,0.0,0.8998197913169861,0.9499048590660096,0.500499963760376
50,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8902586102485657, 0.9457110166549683, 0.5144165754318237]",0.8902586102485657,0.9457109570503236,0.5144165754318237,0.0,0.0,0.0,0.8902586102485657,0.9457110166549684,0.5144165754318237
50,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8900395035743713, 0.9456326365470886, 0.5148047208786011]",0.8900395035743713,0.9456325173377992,0.5148047208786011,0.0,0.0,0.0,0.8900395035743713,0.9456326365470886,0.5148047208786011
50,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8900395035743713, 0.9456326365470886, 0.5148047208786011]",0.8900395035743713,0.9456325173377992,0.5148047208786011,0.0,0.0,0.0,0.8900395035743713,0.9456326365470886,0.5148047208786011
100,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8820630311965942, 0.9417757987976074, 0.5288360714912415]",0.8820629119873047,0.9417758584022522,0.5288360118865967,0.0,0.0,0.0,0.8820630311965942,0.9417757987976074,0.5288360714912415
100,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.882000207901001, 0.9417360424995422, 0.5289410352706909]",0.882000207901001,0.9417360424995422,0.5289410352706909,0.0,0.0,0.0,0.882000207901001,0.9417360424995422,0.5289410352706909
100,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.882000207901001, 0.9417360424995422, 0.5289410352706909]",0.882000207901001,0.9417360424995422,0.5289410352706909,0.0,0.0,0.0,0.882000207901001,0.9417360424995422,0.5289410352706909
150,train,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8808748126029968, 0.9409971833229065, 0.5307682156562805]",0.8808748722076416,0.9409971237182616,0.5307682156562805,0.0,0.0,0.0,0.8808748126029968,0.9409971833229064,0.5307682156562805
150,val,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8808700442314148, 0.9409943222999573, 0.5307713150978088]",0.88086998462677,0.9409943222999572,0.5307713747024536,0.0,0.0,0.0,0.8808700442314148,0.9409943222999572,0.5307713150978088
150,test,0,3,,,,"[2708, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[2708, 3]",,"[2708, 3, 32]","[false, false, false]","[0.8808700442314148, 0.9409943222999573, 0.5307713150978088]",0.88086998462677,0.9409943222999572,0.5307713747024536,0.0,0.0,0.0,0.8808700442314148,0.9409943222999572,0.5307713150978088
