epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
0,train,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.8999999761581421, 0.949999988079071, 0.5]",0.9000000357627869,0.9500004053115844,0.5,0.0,0.0,0.0,0.8999999761581421,0.949999988079071,0.5
0,val,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",0.9002130627632141,0.9497101902961732,0.5015785098075867,0.0001296276604989,4.889616320724599e-05,0.0004575517086777,0.8998197913169861,0.9499048590660096,0.500499963760376
0,test,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.8998197913169861, 0.9499048590660095, 0.500499963760376]",0.9002130627632141,0.9497101902961732,0.5015785098075867,0.0001296276604989,4.889616320724599e-05,0.0004575517086777,0.8998197913169861,0.9499048590660096,0.500499963760376
50,train,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.893062949180603, 0.9451149702072144, 0.5030271410942078]",0.9037176966667176,0.934228777885437,0.4994401931762695,0.0089129842817783,0.0060317474417388,0.0213527996093034,0.893062949180603,0.9451149702072144,0.5030271410942078
50,val,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.8928839564323425, 0.9450128674507141, 0.5032109618186951]",0.9033929705619812,0.9338505268096924,0.5001205801963806,0.0081035429611802,0.0044783717021346,0.0219288971275091,0.8928839564323425,0.945012867450714,0.5032109618186951
50,test,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.8928839564323425, 0.9450128674507141, 0.5032109618186951]",0.9033929705619812,0.9338505268096924,0.5001205801963806,0.0081035429611802,0.0044783717021346,0.0219288971275091,0.8928839564323425,0.945012867450714,0.5032109618186951
100,train,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.887569010257721, 0.9424558281898499, 0.507663905620575]",0.8978269696235657,0.9294118881225586,0.5092760920524597,0.0164085067808628,0.0069223917089402,0.0847018659114837,0.887569010257721,0.94245582818985,0.507663905620575
100,val,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.8875396847724915, 0.9424428939819336, 0.5077006220817566]",0.8977782726287842,0.9300190210342408,0.5063742995262146,0.0147123727947473,0.005003438796848,0.0784511864185333,0.8875396847724915,0.9424428939819336,0.5077006220817566
100,test,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.8875396847724915, 0.9424428939819336, 0.5077006220817566]",0.8977782726287842,0.9300190210342408,0.5063742995262146,0.0147123727947473,0.005003438796848,0.0784511938691139,0.8875396847724915,0.9424428939819336,0.5077006220817566
150,train,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.8869070410728455, 0.9421290755271912, 0.508192241191864]",0.8969353437423706,0.9295700788497924,0.5035461187362671,0.0172667391598224,0.0056847855448722,0.0848102197051048,0.8869070410728455,0.9421290755271912,0.508192241191864
150,val,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.8869031667709351, 0.9421274065971375, 0.5081964135169983]",0.8970568180084229,0.9297304153442384,0.5062597393989563,0.0155325960367918,0.0050357673317193,0.0829976126551628,0.8869031667709351,0.9421274065971376,0.5081964135169983
150,test,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.8869031667709351, 0.9421274065971375, 0.5081964135169983]",0.8970568180084229,0.9297304153442384,0.5062597393989563,0.0155325960367918,0.0050357673317193,0.0829976126551628,0.8869031667709351,0.9421274065971376,0.5081964135169983
200,train,0,3,,,,"[183, 3]",2.0,"[""root"", ""hop_0"", ""hop_1""]","[183, 3]",,"[183, 3, 32]","[false, false, false]","[0.886826753616333, 0.9420897364616394, 0.5082976222038269]",0.8961150646209717,0.9294695258140564,0.5123370289802551,0.0184516496956348,0.0061965258792042,0.0825902447104454,0.886826753616333,0.9420897364616394,0.5082976222038269
