event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3
forward,0,train,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949999988079071, 0.8999999761581421, 0.699999988079071, 0.44999998807907104]",,,,0,,,0.949999988079071,0.9000000357627869,0.7000000476837158,0.45000001788139343,0.0,0.0,0.0,0.0,0.949999988079071,0.8999999761581421,0.699999988079071,0.44999998807907104,,,,,,,,,,,,,,,,
backward,0,train,0,0.005,4,,,,,,,,,,,,0,0.0033972321543842554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9004490971565247, 0.6989489793777466, 0.4512377977371216]",,,,0,,,0.9497619271278381,0.9004489183425903,0.6989489197731018,0.4512377679347992,0.0,0.0,0.0,0.0,0.9497619271278381,0.9004490971565247,0.6989489793777466,0.4512377977371216,,,,,0.999980628490448,nan,nan,nan,0.9987520575523376,nan,nan,nan,0.9996457695960999,nan,nan,nan
forward,0,test,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9004490971565247, 0.6989489793777466, 0.4512377977371216]",,,,0,,,0.9497619271278381,0.9004489183425903,0.6989489197731018,0.4512377679347992,0.0,0.0,0.0,0.0,0.9497619271278381,0.9004490971565247,0.6989489793777466,0.4512377977371216,,,,,0.999980628490448,nan,nan,nan,0.9987521171569824,nan,nan,nan,0.9996457695960999,nan,nan,nan
forward,50,train,0,0.00108,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9466774463653564, 0.8868535757064819, 0.6889907121658325, 0.4641406536102295]",,,,0,,,0.9466774463653564,0.8868535757064819,0.6889907121658325,0.4641406536102295,0.0,0.0,0.0,0.0,0.9466774463653564,0.8868535757064819,0.6889907121658325,0.4641406536102295,,,,,,,,,,,,,,,,
backward,50,train,0,0.00108,4,,,,,,,,,,,,0,0.006720118224620819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.00108,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9466216564178467, 0.886803925037384, 0.688983678817749, 0.4642387330532074]",,,,0,,,0.9466217160224915,0.8868038654327393,0.688983678817749,0.464238703250885,0.0,0.0,0.0,0.0,0.9466216564178467,0.886803925037384,0.688983678817749,0.4642387330532074,,,,,0.9999967813491821,0.0009178600739687681,0.013935893774032593,0.9999826550483704,0.9908950328826904,0.02630743570625782,0.43559008836746216,0.9853301644325256,0.994391918182373,0.017007209360599518,0.37567079067230225,0.9925386309623718
forward,50,test,0,0.00108,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9466216564178467, 0.886803925037384, 0.688983678817749, 0.4642387330532074]",,,,0,,,0.9466217160224915,0.8868038654327393,0.688983678817749,0.464238703250885,0.0,0.0,0.0,0.0,0.9466216564178467,0.886803925037384,0.688983678817749,0.4642387330532074,,,,,0.9999967813491821,0.0009178600739687681,0.013935893774032593,0.9999826550483704,0.9908950328826904,0.02630743570625782,0.43559008836746216,0.98533034324646,0.994391918182373,0.017007209360599518,0.37567076086997986,0.9925386905670166
forward,100,train,0,0.000139968,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9453177452087402, 0.8856460452079773, 0.6892710328102112, 0.46631625294685364]",,,,0,,,0.9453176856040955,0.8856460452079773,0.6892709732055664,0.46631625294685364,0.0,0.0,0.0,0.0,0.9453177452087402,0.8856460452079773,0.6892710328102112,0.46631625294685364,,,,,,,,,,,,,,,,
backward,100,train,0,0.000139968,4,,,,,,,,,,,,0,0.003016046714037657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
