epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.1288859844207764,1.9324369430541992,1.9035383462905884,0.2785714285714286,0.306,0.329,0.005,0.306,0.329,0,Accuracy,higher,final,0
1,2.0827200412750244,1.9133710861206055,1.8942968845367432,0.4785714285714286,0.168,0.189,0.005,0.306,0.329,0,Accuracy,higher,final,0
2,1.8559867143630981,1.8486824035644531,1.8547312021255493,0.5857142857142857,0.322,0.309,0.005,0.322,0.309,2,Accuracy,higher,final,0
3,1.6648125648498535,1.7648003101348877,1.7766711711883545,0.6571428571428571,0.362,0.329,0.005,0.362,0.329,3,Accuracy,higher,final,0
4,1.5403447151184082,1.6395496129989624,1.6428494453430176,0.95,0.532,0.53,0.005,0.532,0.53,4,Accuracy,higher,final,0
5,1.3802200555801392,1.5125646591186523,1.5058493614196777,0.9928571428571429,0.716,0.717,0.005,0.716,0.717,5,Accuracy,higher,final,0
6,1.1955558061599731,1.3577673435211182,1.3505152463912964,0.9928571428571429,0.72,0.689,0.005,0.72,0.689,6,Accuracy,higher,final,0
7,0.9961334466934204,1.1766780614852905,1.1685762405395508,1.0,0.732,0.732,0.005,0.732,0.732,7,Accuracy,higher,final,0
8,0.8318274617195129,1.0265474319458008,1.016767978668213,0.9857142857142858,0.736,0.737,0.005,0.736,0.737,8,Accuracy,higher,final,0
9,0.6565023064613342,0.9164988994598389,0.9076142311096191,0.9928571428571429,0.748,0.745,0.005,0.748,0.745,9,Accuracy,higher,final,0
10,0.5414484143257141,0.8451274633407593,0.8285281658172607,0.9928571428571429,0.738,0.752,0.005,0.748,0.745,9,Accuracy,higher,final,0
11,0.4490349292755127,0.7913316488265991,0.7668554782867432,0.9928571428571429,0.742,0.754,0.005,0.748,0.745,9,Accuracy,higher,final,0
12,0.3284623920917511,0.7944306135177612,0.7642092108726501,0.9928571428571429,0.742,0.766,0.005,0.748,0.745,9,Accuracy,higher,final,0
13,0.24086304008960724,0.744285523891449,0.7067482471466064,0.9928571428571429,0.762,0.781,0.005,0.762,0.781,13,Accuracy,higher,final,0
14,0.2232159823179245,0.6897274255752563,0.6483006477355957,1.0,0.778,0.791,0.005,0.778,0.791,14,Accuracy,higher,final,0
15,0.21096979081630707,0.6894422769546509,0.641440749168396,1.0,0.774,0.788,0.005,0.778,0.791,14,Accuracy,higher,final,0
16,0.1432298719882965,0.7103903889656067,0.6531891822814941,1.0,0.774,0.788,0.005,0.778,0.791,14,Accuracy,higher,final,0
17,0.1290450543165207,0.7134924530982971,0.6522893905639648,1.0,0.776,0.784,0.005,0.778,0.791,14,Accuracy,higher,final,0
18,0.1309073120355606,0.7509289979934692,0.6812188029289246,1.0,0.754,0.781,0.005,0.778,0.791,14,Accuracy,higher,final,0
19,0.10109207779169083,0.7757944464683533,0.7058197855949402,1.0,0.76,0.771,0.005,0.778,0.791,14,Accuracy,higher,final,0
20,0.07738318294286728,0.828370988368988,0.7630109786987305,1.0,0.748,0.759,0.005,0.778,0.791,14,Accuracy,higher,final,0
21,0.07487660646438599,0.8368645310401917,0.772309422492981,1.0,0.738,0.758,0.005,0.778,0.791,14,Accuracy,higher,final,0
22,0.09021405130624771,0.7748197317123413,0.7057598829269409,1.0,0.746,0.775,0.005,0.778,0.791,14,Accuracy,higher,final,0
23,0.05615488439798355,0.74632328748703,0.6687859892845154,1.0,0.756,0.779,0.005,0.778,0.791,14,Accuracy,higher,final,0
24,0.05180595442652702,0.7615330815315247,0.6774268746376038,1.0,0.76,0.784,0.005,0.778,0.791,14,Accuracy,higher,final,0
25,0.06742977350950241,0.816895604133606,0.730000376701355,1.0,0.756,0.776,0.005,0.778,0.791,14,Accuracy,higher,final,0
26,0.03241235762834549,0.8655169606208801,0.7723764181137085,1.0,0.754,0.769,0.005,0.778,0.791,14,Accuracy,higher,final,0
27,0.044986166059970856,0.8980439901351929,0.796720564365387,1.0,0.758,0.765,0.003,0.778,0.791,14,Accuracy,higher,final,0
28,0.032716505229473114,0.8965341448783875,0.7879937887191772,1.0,0.764,0.773,0.003,0.778,0.791,14,Accuracy,higher,final,0
29,0.03425608575344086,0.8692368268966675,0.7561217546463013,1.0,0.766,0.785,0.003,0.778,0.791,14,Accuracy,higher,final,0
30,0.022196615114808083,0.8309876918792725,0.7148123979568481,1.0,0.77,0.793,0.003,0.778,0.791,14,Accuracy,higher,final,0
