event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3
forward,0,train,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949999988079071, 0.949999988079071, 0.699999988079071, 0.44999998807907104]",,,,0,,,0.949999988079071,0.949999988079071,0.7000000476837158,0.45000001788139343,0.0,0.0,0.0,0.0,0.949999988079071,0.949999988079071,0.699999988079071,0.44999998807907104,,,,,,,,,,,,,,,,
backward,0,train,0,0.005,4,,,,,,,,,,,,0,0.005206678062677383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,4,,,,,,,,,,,,0,0.007523303385823965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.7010489702224731, 0.44876280426979065]",,,,0,,,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876277446746826,0.0,0.0,0.0,0.0,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876280426979065,,,,,0.9999816417694092,nan,nan,nan,0.9999844431877136,nan,nan,nan,0.9999871850013733,nan,nan,nan
forward,0,test,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.7010489702224731, 0.44876280426979065]",,,,0,,,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876277446746826,0.0,0.0,0.0,0.0,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876280426979065,,,,,0.9999816417694092,nan,nan,nan,0.9999844431877136,nan,nan,nan,0.9999871850013733,nan,nan,nan
forward,50,train,0,0.003,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.942972719669342, 0.9382085204124451, 0.6757737398147583, 0.4083425998687744]",,,,0,,,0.9429727792739868,0.9382084012031555,0.6757736802101135,0.4083425998687744,0.0,0.0,0.0,0.0,0.942972719669342,0.9382085204124451,0.6757737398147583,0.4083425998687744,,,,,,,,,,,,,,,,
backward,50,train,0,0.003,4,,,,,,,,,,,,0,0.005229468457400799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.003,4,,,,,,,,,,,,0,0.011143341660499573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.003,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9428018927574158, 0.9380694031715393, 0.6756004691123962, 0.4081583619117737]",,,,0,,,0.9428019523620605,0.9380694031715393,0.6756004691123962,0.4081583023071289,0.0,0.0,0.0,0.0,0.9428018927574158,0.9380694031715393,0.6756004691123962,0.4081583619117737,,,,,0.9999982714653015,0.001055144122801721,0.013930708169937134,0.9999778270721436,0.9999994039535522,0.0006839131237939,0.015120387077331543,0.9999803304672241,0.9999998211860657,0.0006815347005613148,0.007835745811462402,0.9999774694442749
forward,50,test,0,0.003,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9428018927574158, 0.9380694031715393, 0.6756004691123962, 0.4081583619117737]",,,,0,,,0.9428019523620605,0.9380694031715393,0.6756004691123962,0.4081583023071289,0.0,0.0,0.0,0.0,0.9428018927574158,0.9380694031715393,0.6756004691123962,0.4081583619117737,,,,,0.9999982714653015,0.001055144122801721,0.013930708169937134,0.9999778270721436,0.9999994039535522,0.0006839131237939,0.015120387077331543,0.9999803304672241,0.9999998211860657,0.0006815347005613148,0.007835745811462402,0.9999773502349854
forward,100,train,0,0.0003888,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9393383264541626, 0.9349814653396606, 0.6721914410591125, 0.4067207872867584]",,,,0,,,0.9393382668495178,0.9349814057350159,0.6721914410591125,0.4067207872867584,0.0,0.0,0.0,0.0,0.9393383264541626,0.9349814653396606,0.6721914410591125,0.4067207872867584,,,,,,,,,,,,,,,,
backward,100,train,0,0.0003888,4,,,,,,,,,,,,0,0.001267988234758377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.0003888,4,,,,,,,,,,,,0,0.003707221010699868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.0003888,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.939314603805542, 0.9349609613418579, 0.6721786260604858, 0.4067212641239166]",,,,0,,,0.939314603805542,0.9349608421325684,0.6721786260604858,0.4067213237285614,0.0,0.0,0.0,0.0,0.939314603805542,0.9349609613418579,0.6721786260604858,0.4067212641239166,,,,,0.9999993443489075,0.001054233405739069,0.014525234699249268,0.9999780654907227,0.9999998807907104,0.000687332940287888,0.015023678541183472,0.9999809265136719,1.0,0.0006868143100291491,0.00789642333984375,0.9999783039093018
