epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.057056427001953,1.9407167434692383,1.966540813446045,0.24285714285714285,0.22,0.207,0.005,0.22,0.207,0,Accuracy,higher,final,0
1,2.1099114418029785,1.9238628149032593,1.912323236465454,0.34285714285714286,0.298,0.293,0.005,0.298,0.293,1,Accuracy,higher,final,0
2,2.0236833095550537,1.9912458658218384,1.9765222072601318,0.32857142857142857,0.132,0.145,0.005,0.298,0.293,1,Accuracy,higher,final,0
3,1.9687608480453491,1.9379889965057373,1.9352948665618896,0.3,0.126,0.161,0.005,0.298,0.293,1,Accuracy,higher,final,0
4,1.9470367431640625,1.8964678049087524,1.9077509641647339,0.16428571428571428,0.132,0.118,0.005,0.298,0.293,1,Accuracy,higher,final,0
5,1.9023716449737549,1.860718011856079,1.8810198307037354,0.30714285714285716,0.182,0.177,0.005,0.298,0.293,1,Accuracy,higher,final,0
6,1.8701616525650024,1.8388246297836304,1.8584035634994507,0.42857142857142855,0.33,0.305,0.005,0.33,0.305,6,Accuracy,higher,final,0
7,1.8950814008712769,1.8245283365249634,1.839321494102478,0.4142857142857143,0.252,0.227,0.005,0.33,0.305,6,Accuracy,higher,final,0
8,1.8416029214859009,1.8214313983917236,1.8297978639602661,0.6071428571428571,0.38,0.39,0.005,0.38,0.39,8,Accuracy,higher,final,0
9,1.8573418855667114,1.7961318492889404,1.799027919769287,0.7,0.568,0.562,0.005,0.568,0.562,9,Accuracy,higher,final,0
10,1.7930619716644287,1.7576510906219482,1.7591930627822876,0.7571428571428571,0.574,0.592,0.005,0.574,0.592,10,Accuracy,higher,final,0
11,1.779200792312622,1.7164404392242432,1.7192836999893188,0.7642857142857142,0.592,0.582,0.005,0.592,0.582,11,Accuracy,higher,final,0
12,1.6433513164520264,1.6754767894744873,1.6824661493301392,0.8714285714285714,0.6,0.603,0.005,0.6,0.603,12,Accuracy,higher,final,0
13,1.6373273134231567,1.623727560043335,1.635966420173645,0.8571428571428571,0.552,0.57,0.005,0.6,0.603,12,Accuracy,higher,final,0
14,1.5439642667770386,1.5239803791046143,1.5399911403656006,0.8928571428571429,0.564,0.57,0.005,0.6,0.603,12,Accuracy,higher,final,0
