event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3
forward,0,train,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.949999988079071, 0.949999988079071, 0.699999988079071, 0.44999998807907104]",,,,0,,,0.9500004053115845,0.9500004053115845,0.7000002861022949,0.45000001788139343,0.0,0.0,0.0,0.0,0.949999988079071,0.949999988079071,0.699999988079071,0.44999998807907104,,,,,,,,,,,,,,,,
backward,0,train,0,0.005,4,,,,,,,,,,,,0,0.016378872096538544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,4,,,,,,,,,,,,0,0.013208120130002499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.6989489793777466, 0.44876280426979065]",,,,0,,,0.949761688709259,0.949761688709259,0.6989492774009705,0.4487628638744354,0.0,0.0,0.0,0.0,0.9497619271278381,0.9497619271278381,0.6989489793777466,0.44876280426979065,,,,,0.9758830070495605,nan,nan,nan,0.9718745350837708,nan,nan,nan,0.9749721884727478,nan,nan,nan
forward,0,test,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.6989489793777466, 0.44876280426979065]",,,,0,,,0.949761688709259,0.949761688709259,0.6989492774009705,0.4487628638744354,0.0,0.0,0.0,0.0,0.9497619271278381,0.9497619271278381,0.6989489793777466,0.44876280426979065,,,,,0.9758830070495605,nan,nan,nan,0.9718745350837708,nan,nan,nan,0.9749721884727478,nan,nan,nan
forward,50,train,0,0.0018,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9493703842163086, 0.9390219449996948, 0.6665648221969604, 0.4108743667602539]",,,,0,,,0.9493709802627563,0.9390220046043396,0.6665648818016052,0.41087424755096436,0.0,0.0,0.0,0.0,0.9493703842163086,0.9390219449996948,0.6665648221969604,0.4108743667602539,,,,,,,,,,,,,,,,
backward,50,train,0,0.0018,4,,,,,,,,,,,,0,0.008764220401644707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.0018,4,,,,,,,,,,,,0,0.005088699981570244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.0018,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9492954611778259, 0.9389327168464661, 0.6663678884506226, 0.4107224941253662]",,,,0,,,0.9492951035499573,0.9389329552650452,0.6663681268692017,0.41072264313697815,0.0,0.0,0.0,0.0,0.9492954611778259,0.9389327168464661,0.6663678884506226,0.4107224941253662,,,,,0.8706201910972595,0.10874324291944504,0.8588595986366272,0.9461148977279663,0.810924768447876,0.03038964979350567,0.9661117792129517,0.8653098940849304,0.8006995916366577,0.022626835852861404,0.9651059508323669,0.7581111788749695
forward,50,test,0,0.0018,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[183, 4]","[183, 4]",,"[183, 4, 64]","[false, false, false, false]","[0.9492954611778259, 0.9389327168464661, 0.6663678884506226, 0.4107224941253662]",,,,0,,,0.9492951035499573,0.9389329552650452,0.6663681268692017,0.41072264313697815,0.0,0.0,0.0,0.0,0.9492954611778259,0.9389327168464661,0.6663678884506226,0.4107224941253662,,,,,0.8706201910972595,0.10874324291944504,0.8588595986366272,0.9461148977279663,0.810924768447876,0.03038964979350567,0.9661117792129517,0.8653098940849304,0.8006995916366577,0.022626835852861404,0.9651059508323669,0.7581111788749695
