epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.6163479089736938,1.6734952926635742,1.1798408031463623,0.5287356321839081,0.5254237288135594,0.6486486486486487,0.005,0.5254237288135594,0.6486486486486487,0,Accuracy,higher,final,0
1,1.2831740379333496,1.4452983140945435,1.108172059059143,0.5977011494252874,0.5254237288135594,0.7027027027027027,0.005,0.5254237288135594,0.6486486486486487,0,Accuracy,higher,final,0
2,1.164886474609375,1.3421473503112793,1.1085383892059326,0.632183908045977,0.3898305084745763,0.4594594594594595,0.005,0.5254237288135594,0.6486486486486487,0,Accuracy,higher,final,0
3,1.2176084518432617,1.2203471660614014,1.0092891454696655,0.7126436781609196,0.5932203389830508,0.6756756756756757,0.005,0.5932203389830508,0.6756756756756757,3,Accuracy,higher,final,0
4,1.0851444005966187,1.1915955543518066,0.9327390789985657,0.5287356321839081,0.5254237288135594,0.6486486486486487,0.005,0.5932203389830508,0.6756756756756757,3,Accuracy,higher,final,0
5,1.0917694568634033,1.2328988313674927,0.9226680397987366,0.5287356321839081,0.5254237288135594,0.6486486486486487,0.005,0.5932203389830508,0.6756756756756757,3,Accuracy,higher,final,0
6,1.1353120803833008,1.2544435262680054,0.9158546924591064,0.5287356321839081,0.5254237288135594,0.6486486486486487,0.005,0.5932203389830508,0.6756756756756757,3,Accuracy,higher,final,0
7,1.078700304031372,1.235135555267334,0.906450629234314,0.5747126436781609,0.5254237288135594,0.6486486486486487,0.005,0.5932203389830508,0.6756756756756757,3,Accuracy,higher,final,0
8,0.97900390625,1.1973453760147095,0.8993642926216125,0.7011494252873564,0.5254237288135594,0.7027027027027027,0.005,0.5932203389830508,0.6756756756756757,3,Accuracy,higher,final,0
9,0.9509714245796204,1.1339752674102783,0.8871383666992188,0.8160919540229885,0.6101694915254238,0.7297297297297297,0.005,0.6101694915254238,0.7297297297297297,9,Accuracy,higher,final,0
10,0.8983796834945679,1.0619865655899048,0.8579500317573547,0.8505747126436781,0.6440677966101694,0.7297297297297297,0.005,0.6440677966101694,0.7297297297297297,10,Accuracy,higher,final,0
11,0.7783306837081909,0.9981715083122253,0.809171736240387,0.8735632183908046,0.711864406779661,0.7567567567567568,0.005,0.711864406779661,0.7567567567567568,11,Accuracy,higher,final,0
12,0.8188676238059998,0.9578095078468323,0.7561802864074707,0.8620689655172413,0.711864406779661,0.7567567567567568,0.005,0.711864406779661,0.7567567567567568,11,Accuracy,higher,final,0
13,0.6977876424789429,0.9388077259063721,0.7181941866874695,0.8620689655172413,0.711864406779661,0.7297297297297297,0.005,0.711864406779661,0.7567567567567568,11,Accuracy,higher,final,0
14,0.5954439043998718,0.9161913394927979,0.686193585395813,0.8620689655172413,0.711864406779661,0.7297297297297297,0.005,0.711864406779661,0.7567567567567568,11,Accuracy,higher,final,0
15,0.5721756219863892,0.8835688233375549,0.6554160118103027,0.9080459770114943,0.7288135593220338,0.7297297297297297,0.005,0.7288135593220338,0.7297297297297297,15,Accuracy,higher,final,0
16,0.558030366897583,0.8358559012413025,0.6278871297836304,0.9425287356321839,0.7627118644067796,0.7027027027027027,0.005,0.7627118644067796,0.7027027027027027,16,Accuracy,higher,final,0
17,0.47493717074394226,0.7789217233657837,0.6076933145523071,0.9770114942528736,0.7627118644067796,0.7027027027027027,0.005,0.7627118644067796,0.7027027027027027,16,Accuracy,higher,final,0
18,0.46132269501686096,0.7379045486450195,0.5929010510444641,0.9770114942528736,0.7796610169491526,0.7567567567567568,0.005,0.7796610169491526,0.7567567567567568,18,Accuracy,higher,final,0
19,0.3919293284416199,0.7070428729057312,0.5840209126472473,0.9885057471264368,0.7966101694915254,0.8108108108108109,0.005,0.7966101694915254,0.8108108108108109,19,Accuracy,higher,final,0
