epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9472826719284058,1.9539129734039307,1.953779935836792,0.14285714285714285,0.114,0.103,0.005,0.114,0.103,0,Accuracy,higher,hpo,0
1,1.9481909275054932,1.9512959718704224,1.9509114027023315,0.22857142857142856,0.118,0.109,0.005,0.118,0.109,1,Accuracy,higher,hpo,0
2,1.9398945569992065,1.9478260278701782,1.9475030899047852,0.22142857142857142,0.118,0.107,0.005,0.118,0.109,1,Accuracy,higher,hpo,0
3,1.937400221824646,1.943672776222229,1.9435092210769653,0.37142857142857144,0.156,0.145,0.005,0.156,0.145,3,Accuracy,higher,hpo,0
4,1.931984543800354,1.9386144876480103,1.9384607076644897,0.4642857142857143,0.226,0.209,0.005,0.226,0.209,4,Accuracy,higher,hpo,0
5,1.9324004650115967,1.9344990253448486,1.9342156648635864,0.7142857142857143,0.424,0.432,0.005,0.424,0.432,5,Accuracy,higher,hpo,0
6,1.9272905588150024,1.9300775527954102,1.9296913146972656,0.7285714285714285,0.52,0.507,0.005,0.52,0.507,6,Accuracy,higher,hpo,0
7,1.9187272787094116,1.9262017011642456,1.925693154335022,0.7571428571428571,0.476,0.496,0.005,0.52,0.507,6,Accuracy,higher,hpo,0
8,1.9158556461334229,1.9223415851593018,1.9216358661651611,0.7785714285714286,0.476,0.487,0.005,0.52,0.507,6,Accuracy,higher,hpo,0
9,1.9061336517333984,1.9184399843215942,1.9175833463668823,0.8214285714285714,0.488,0.509,0.005,0.52,0.507,6,Accuracy,higher,hpo,0
10,1.9018423557281494,1.9155681133270264,1.9146158695220947,0.9071428571428571,0.568,0.574,0.005,0.568,0.574,10,Accuracy,higher,hpo,0
11,1.892331600189209,1.9128801822662354,1.9117392301559448,0.95,0.658,0.648,0.005,0.658,0.648,11,Accuracy,higher,hpo,0
12,1.869722843170166,1.9103261232376099,1.9090107679367065,0.9928571428571429,0.742,0.713,0.005,0.742,0.713,12,Accuracy,higher,hpo,0
13,1.8585697412490845,1.9079245328903198,1.9064321517944336,0.9928571428571429,0.72,0.724,0.005,0.742,0.713,12,Accuracy,higher,hpo,0
14,1.8656429052352905,1.9058516025543213,1.9041368961334229,0.9928571428571429,0.674,0.675,0.005,0.742,0.713,12,Accuracy,higher,hpo,0
15,1.8546264171600342,1.9037208557128906,1.901763916015625,0.9928571428571429,0.606,0.607,0.005,0.742,0.713,12,Accuracy,higher,hpo,0
16,1.8282976150512695,1.900455117225647,1.8982800245285034,0.9857142857142858,0.556,0.547,0.005,0.742,0.713,12,Accuracy,higher,hpo,0
17,1.8064175844192505,1.8953778743743896,1.893141508102417,0.9857142857142858,0.54,0.533,0.005,0.742,0.713,12,Accuracy,higher,hpo,0
18,1.8026173114776611,1.8884310722351074,1.8861342668533325,0.9785714285714285,0.556,0.542,0.005,0.742,0.713,12,Accuracy,higher,hpo,0
19,1.7866798639297485,1.8807673454284668,1.8782436847686768,0.9714285714285714,0.568,0.538,0.005,0.742,0.713,12,Accuracy,higher,hpo,0
20,1.7679343223571777,1.87086820602417,1.8680113554000854,0.9928571428571429,0.572,0.561,0.005,0.742,0.713,12,Accuracy,higher,hpo,0
