event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3
forward,0,train,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949999988079071, 0.8999999761581421, 0.699999988079071, 0.44999998807907104]",,,,0,,,0.949999988079071,0.9000000357627869,0.7000000476837158,0.45000001788139343,0.0,0.0,0.0,0.0,0.949999988079071,0.8999999761581421,0.699999988079071,0.44999998807907104,,,,,,,,,,,,,,,,
backward,0,train,0,0.01,4,,,,,,,,,,,,0,2.806792690535076e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949522852897644, 0.8990963697433472, 0.697895884513855, 0.45247599482536316]",,,,0,,,0.949522852897644,0.8990963101387024,0.697895884513855,0.45247596502304077,0.0,0.0,0.0,0.0,0.949522852897644,0.8990963697433472,0.697895884513855,0.45247599482536316,,,,,,,,,,,,,,,,
forward,0,test,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949522852897644, 0.8990963697433472, 0.697895884513855, 0.45247599482536316]",,,,0,,,0.949522852897644,0.8990963101387024,0.697895884513855,0.45247596502304077,0.0,0.0,0.0,0.0,0.949522852897644,0.8990963697433472,0.697895884513855,0.45247599482536316,,,,,,,,,,,,,,,,
forward,50,train,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9644914269447327, 0.924081027507782, 0.743858277797699, 0.5341290831565857]",,,,0,,,0.9644914269447327,0.9240809082984924,0.7438582181930542,0.5341290831565857,0.0,0.0,0.0,0.0,0.9644914269447327,0.924081027507782,0.743858277797699,0.5341290831565857,,,,,,,,,,,,,,,,
backward,50,train,0,0.01,4,,,,,,,,,,,,0,0.03415093198418617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9648295044898987, 0.9246910810470581, 0.7459641098976135, 0.5371459126472473]",,,,0,,,0.9648295044898987,0.9246910810470581,0.7459641098976135,0.5371458530426025,0.0,0.0,0.0,0.0,0.9648295044898987,0.9246910810470581,0.7459641098976135,0.5371459126472473,,,,,,,,,,,,,,,,
forward,50,test,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9648295044898987, 0.9246910810470581, 0.7459641098976135, 0.5371459126472473]",,,,0,,,0.9648295044898987,0.9246910810470581,0.7459641098976135,0.5371458530426025,0.0,0.0,0.0,0.0,0.9648295044898987,0.9246910810470581,0.7459641098976135,0.5371459126472473,,,,,,,,,,,,,,,,
forward,100,train,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9736722707748413, 0.9343393445014954, 0.8150641322135925, 0.6440905332565308]",,,,0,,,0.9736722707748413,0.9343393445014954,0.8150641918182373,0.6440905332565308,0.0,0.0,0.0,0.0,0.9736722707748413,0.9343393445014954,0.8150641322135925,0.6440905332565308,,,,,,,,,,,,,,,,
backward,100,train,0,0.01,4,,,,,,,,,,,,0,0.014657827094197273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
