epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9465842247009277,1.953465223312378,1.9527016878128052,0.14285714285714285,0.122,0.13,0.01,0.122,0.13,0,Accuracy,higher,hpo,0
1,1.9448586702346802,1.94574773311615,1.9452775716781616,0.39285714285714285,0.188,0.194,0.01,0.188,0.194,1,Accuracy,higher,hpo,0
2,1.9407540559768677,1.9400774240493774,1.9400607347488403,0.34285714285714286,0.234,0.206,0.01,0.234,0.206,2,Accuracy,higher,hpo,0
3,1.937308430671692,1.9375637769699097,1.9377906322479248,0.3142857142857143,0.224,0.202,0.01,0.234,0.206,2,Accuracy,higher,hpo,0
4,1.9278743267059326,1.9355766773223877,1.9356974363327026,0.5714285714285714,0.238,0.207,0.01,0.238,0.207,4,Accuracy,higher,hpo,0
5,1.9245949983596802,1.9326847791671753,1.9325106143951416,0.9428571428571428,0.406,0.369,0.01,0.406,0.369,5,Accuracy,higher,hpo,0
6,1.9181252717971802,1.9314258098602295,1.9310020208358765,0.95,0.44,0.427,0.01,0.44,0.427,6,Accuracy,higher,hpo,0
7,1.9097460508346558,1.9283807277679443,1.9278745651245117,0.9214285714285714,0.362,0.363,0.01,0.44,0.427,6,Accuracy,higher,hpo,0
8,1.897731065750122,1.9247233867645264,1.924086570739746,0.9071428571428571,0.326,0.327,0.01,0.44,0.427,6,Accuracy,higher,hpo,0
9,1.8757200241088867,1.9197375774383545,1.9190285205841064,0.9428571428571428,0.366,0.355,0.01,0.44,0.427,6,Accuracy,higher,hpo,0
10,1.8737823963165283,1.9128063917160034,1.9118351936340332,0.9857142857142858,0.452,0.451,0.01,0.452,0.451,10,Accuracy,higher,hpo,0
11,1.8562602996826172,1.9046242237091064,1.9033299684524536,1.0,0.558,0.548,0.01,0.558,0.548,11,Accuracy,higher,hpo,0
12,1.8256257772445679,1.895888328552246,1.8944334983825684,1.0,0.59,0.59,0.01,0.59,0.59,12,Accuracy,higher,hpo,0
13,1.794402837753296,1.8880014419555664,1.8861593008041382,1.0,0.594,0.595,0.01,0.594,0.595,13,Accuracy,higher,hpo,0
14,1.7862274646759033,1.882075548171997,1.8797252178192139,1.0,0.556,0.549,0.01,0.594,0.595,13,Accuracy,higher,hpo,0
15,1.770374059677124,1.8754026889801025,1.8725939989089966,1.0,0.53,0.53,0.01,0.594,0.595,13,Accuracy,higher,hpo,0
16,1.739127516746521,1.8668618202209473,1.8636503219604492,1.0,0.54,0.541,0.01,0.594,0.595,13,Accuracy,higher,hpo,0
17,1.6940639019012451,1.8566995859146118,1.8533744812011719,1.0,0.574,0.567,0.01,0.594,0.595,13,Accuracy,higher,hpo,0
18,1.6843830347061157,1.8438405990600586,1.8404624462127686,1.0,0.576,0.589,0.01,0.594,0.595,13,Accuracy,higher,hpo,0
19,1.6557459831237793,1.8283051252365112,1.8249914646148682,1.0,0.592,0.6,0.01,0.594,0.595,13,Accuracy,higher,hpo,0
20,1.614009141921997,1.8112751245498657,1.8081697225570679,1.0,0.61,0.608,0.01,0.61,0.608,20,Accuracy,higher,hpo,0
21,1.5669759511947632,1.7953697443008423,1.7923043966293335,1.0,0.596,0.602,0.01,0.61,0.608,20,Accuracy,higher,hpo,0
22,1.5399986505508423,1.7785546779632568,1.7752543687820435,1.0,0.604,0.61,0.01,0.61,0.608,20,Accuracy,higher,hpo,0
23,1.488408088684082,1.7592267990112305,1.7555209398269653,1.0,0.628,0.627,0.01,0.628,0.627,23,Accuracy,higher,hpo,0
24,1.4614876508712769,1.7405288219451904,1.7362393140792847,1.0,0.64,0.646,0.01,0.64,0.646,24,Accuracy,higher,hpo,0
