event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3
forward,0,train,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949999988079071, 0.949999988079071, 0.699999988079071, 0.44999998807907104]",,,,0,,,0.949999988079071,0.949999988079071,0.7000000476837158,0.45000001788139343,0.0,0.0,0.0,0.0,0.949999988079071,0.949999988079071,0.699999988079071,0.44999998807907104,,,,,,,,,,,,,,,,
backward,0,train,0,0.005,4,,,,,,,,,,,,0,0.006155669689178467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,4,,,,,,,,,,,,0,0.008903872221708298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.7010489702224731, 0.44876280426979065]",,,,0,,,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876277446746826,0.0,0.0,0.0,0.0,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876280426979065,,,,,,,,,,,,,,,,
forward,0,test,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.7010489702224731, 0.44876280426979065]",,,,0,,,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876277446746826,0.0,0.0,0.0,0.0,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876280426979065,,,,,,,,,,,,,,,,
forward,50,train,0,0.0018,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9437368512153625, 0.940081775188446, 0.6796806454658508, 0.41519489884376526]",,,,0,,,0.9437369108200073,0.9400818347930908,0.6796806454658508,0.41519489884376526,0.0,0.0,0.0,0.0,0.9437368512153625,0.940081775188446,0.6796806454658508,0.41519489884376526,,,,,,,,,,,,,,,,
backward,50,train,0,0.0018,4,,,,,,,,,,,,0,0.0016678108368068933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.0018,4,,,,,,,,,,,,0,0.004851728677749634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.0018,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9436479806900024, 0.9399909377098083, 0.67947918176651, 0.41513198614120483]",,,,0,,,0.9436478614807129,0.9399908781051636,0.67947918176651,0.41513195633888245,0.0,0.0,0.0,0.0,0.9436479806900024,0.9399909377098083,0.67947918176651,0.41513198614120483,,,,,,,,,,,,,,,,
forward,50,test,0,0.0018,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9436479806900024, 0.9399909377098083, 0.67947918176651, 0.41513198614120483]",,,,0,,,0.9436478614807129,0.9399908781051636,0.67947918176651,0.41513195633888245,0.0,0.0,0.0,0.0,0.9436479806900024,0.9399909377098083,0.67947918176651,0.41513198614120483,,,,,,,,,,,,,,,,
forward,100,train,0,0.000139968,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9416558146476746, 0.9382628798484802, 0.6770097017288208, 0.4147794842720032]",,,,0,,,0.9416557550430298,0.9382628798484802,0.6770097017288208,0.4147794842720032,0.0,0.0,0.0,0.0,0.9416558146476746,0.9382628798484802,0.6770097017288208,0.4147794842720032,,,,,,,,,,,,,,,,
backward,100,train,0,0.000139968,4,,,,,,,,,,,,0,0.00018764911510515958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.000139968,4,,,,,,,,,,,,0,0.0022438049782067537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
