epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,edge_hops,branch_names,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3
0,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949999988079071, 0.949999988079071, 0.699999988079071, 0.44999998807907104]",0.949999988079071,0.949999988079071,0.7000000476837158,0.4500000178813934,0.0,0.0,0.0,0.0,0.949999988079071,0.949999988079071,0.699999988079071,0.449999988079071
0,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.7010489702224731, 0.44876280426979065]",0.949761927127838,0.949761927127838,0.7010489702224731,0.4487627744674682,0.0,0.0,0.0,0.0,0.949761927127838,0.949761927127838,0.7010489702224731,0.4487628042697906
0,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.7010489702224731, 0.44876280426979065]",0.949761927127838,0.949761927127838,0.7010489702224731,0.4487627744674682,0.0,0.0,0.0,0.0,0.949761927127838,0.949761927127838,0.7010489702224731,0.4487628042697906
50,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9437368512153625, 0.940081775188446, 0.6796806454658508, 0.41519489884376526]",0.9437369108200072,0.9400818347930908,0.6796806454658508,0.4151948988437652,0.0,0.0,0.0,0.0,0.9437368512153624,0.940081775188446,0.6796806454658508,0.4151948988437652
50,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9436479806900024, 0.9399909377098083, 0.67947918176651, 0.41513198614120483]",0.9436478614807128,0.9399908781051636,0.67947918176651,0.4151319563388824,0.0,0.0,0.0,0.0,0.9436479806900024,0.9399909377098083,0.67947918176651,0.4151319861412048
50,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9436479806900024, 0.9399909377098083, 0.67947918176651, 0.41513198614120483]",0.9436478614807128,0.9399908781051636,0.67947918176651,0.4151319563388824,0.0,0.0,0.0,0.0,0.9436479806900024,0.9399909377098083,0.67947918176651,0.4151319861412048
100,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9416558146476746, 0.9382628798484802, 0.6770097017288208, 0.4147794842720032]",0.9416557550430298,0.9382628798484802,0.6770097017288208,0.4147794842720032,0.0,0.0,0.0,0.0,0.9416558146476746,0.9382628798484802,0.6770097017288208,0.4147794842720032
100,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9416473507881165, 0.9382558465003967, 0.6770012974739075, 0.41478127241134644]",0.9416472911834716,0.9382558465003968,0.6770012974739075,0.4147813022136688,0.0,0.0,0.0,0.0,0.9416473507881165,0.9382558465003968,0.6770012974739075,0.4147812724113464
100,test,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9416473507881165, 0.9382558465003967, 0.6770012974739075, 0.41478127241134644]",0.9416472911834716,0.9382558465003968,0.6770012974739075,0.4147813022136688,0.0,0.0,0.0,0.0,0.9416473507881165,0.9382558465003968,0.6770012974739075,0.4147812724113464
150,train,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.941452145576477, 0.9380868673324585, 0.6767507791519165, 0.41480791568756104]",0.941452145576477,0.9380868673324584,0.6767507791519165,0.4148078858852386,0.0,0.0,0.0,0.0,0.941452145576477,0.9380868673324584,0.6767507791519165,0.414807915687561
150,val,0,4,,,,"[2708, 4]",3.0,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9414511322975159, 0.9380859136581421, 0.6767488718032837, 0.41480812430381775]",0.941451132297516,0.9380859732627868,0.6767488718032837,0.414808064699173,0.0,0.0,0.0,0.0,0.941451132297516,0.938085913658142,0.6767488718032837,0.4148081243038177
