epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.0727145671844482,1.9723834991455078,2.0003740787506104,0.16428571428571428,0.142,0.123,0.005,0.142,0.123,0,Accuracy,higher,hpo,0
1,2.107651710510254,1.9373259544372559,1.9270092248916626,0.19285714285714287,0.166,0.152,0.005,0.166,0.152,1,Accuracy,higher,hpo,0
2,2.0045723915100098,1.9710932970046997,1.961620807647705,0.20714285714285716,0.126,0.136,0.005,0.166,0.152,1,Accuracy,higher,hpo,0
3,1.9816079139709473,1.893835186958313,1.8940026760101318,0.18571428571428572,0.144,0.149,0.005,0.166,0.152,1,Accuracy,higher,hpo,0
4,1.9019173383712769,1.8423645496368408,1.8546051979064941,0.45,0.306,0.309,0.005,0.306,0.309,4,Accuracy,higher,hpo,0
5,1.813070297241211,1.8360886573791504,1.8576289415359497,0.39285714285714285,0.252,0.24,0.005,0.306,0.309,4,Accuracy,higher,hpo,0
6,1.825142502784729,1.8222229480743408,1.8444801568984985,0.37142857142857144,0.268,0.244,0.005,0.306,0.309,4,Accuracy,higher,hpo,0
7,1.7987630367279053,1.7820544242858887,1.8014895915985107,0.5214285714285715,0.336,0.322,0.005,0.336,0.322,7,Accuracy,higher,hpo,0
8,1.7911014556884766,1.7351999282836914,1.7468881607055664,0.85,0.56,0.542,0.005,0.56,0.542,8,Accuracy,higher,hpo,0
9,1.683627724647522,1.672885775566101,1.6780390739440918,0.7928571428571428,0.474,0.457,0.005,0.56,0.542,8,Accuracy,higher,hpo,0
10,1.5942169427871704,1.5981333255767822,1.6021665334701538,0.6857142857142857,0.376,0.365,0.005,0.56,0.542,8,Accuracy,higher,hpo,0
11,1.4999984502792358,1.4577769041061401,1.465519905090332,0.8714285714285714,0.526,0.514,0.005,0.56,0.542,8,Accuracy,higher,hpo,0
12,1.2778630256652832,1.2776545286178589,1.2938092947006226,0.95,0.706,0.658,0.005,0.706,0.658,12,Accuracy,higher,hpo,0
