event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3
forward,0,train,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949999988079071, 0.949999988079071, 0.699999988079071, 0.44999998807907104]",,,,0,,,0.949999988079071,0.949999988079071,0.7000000476837158,0.45000001788139343,0.0,0.0,0.0,0.0,0.949999988079071,0.949999988079071,0.699999988079071,0.44999998807907104,,,,,,,,,,,,,,,,
backward,0,train,0,0.005,4,,,,,,,,,,,,0,0.0077059571631252766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,0,train,1,0.005,4,,,,,,,,,,,,0,0.009571022354066372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.7010489702224731, 0.44876280426979065]",,,,0,,,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876277446746826,0.0,0.0,0.0,0.0,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876280426979065,,,,,,,,,,,,,,,,
forward,0,test,0,0.005,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9497619271278381, 0.9497619271278381, 0.7010489702224731, 0.44876280426979065]",,,,0,,,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876277446746826,0.0,0.0,0.0,0.0,0.9497619271278381,0.9497619271278381,0.7010489702224731,0.44876280426979065,,,,,,,,,,,,,,,,
forward,50,train,0,0.0018,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9417260885238647, 0.9410927295684814, 0.6727966666221619, 0.41910064220428467]",,,,0,,,0.9417260885238647,0.9410927891731262,0.6727966666221619,0.41910067200660706,0.0,0.0,0.0,0.0,0.9417260885238647,0.9410927295684814,0.6727966666221619,0.41910064220428467,,,,,,,,,,,,,,,,
backward,50,train,0,0.0018,4,,,,,,,,,,,,0,0.00047504782560281456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,50,train,1,0.0018,4,,,,,,,,,,,,0,0.007864957675337791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.0018,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9416298866271973, 0.9409956336021423, 0.6726049184799194, 0.4190082848072052]",,,,0,,,0.9416298270225525,0.9409956932067871,0.6726048588752747,0.4190083146095276,0.0,0.0,0.0,0.0,0.9416298866271973,0.9409956336021423,0.6726049184799194,0.4190082848072052,,,,,,,,,,,,,,,,
forward,50,test,0,0.0018,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9416298866271973, 0.9409956336021423, 0.6726049184799194, 0.4190082848072052]",,,,0,,,0.9416298270225525,0.9409956932067871,0.6726048588752747,0.4190083146095276,0.0,0.0,0.0,0.0,0.9416298866271973,0.9409956336021423,0.6726049184799194,0.4190082848072052,,,,,,,,,,,,,,,,
forward,100,train,0,0.000139968,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9396921396255493, 0.9389285445213318, 0.6707009673118591, 0.417999267578125]",,,,0,,,0.9396920204162598,0.938928484916687,0.6707009673118591,0.417999267578125,0.0,0.0,0.0,0.0,0.9396921396255493,0.9389285445213318,0.6707009673118591,0.417999267578125,,,,,,,,,,,,,,,,
backward,100,train,0,0.000139968,4,,,,,,,,,,,,0,0.0019671295303851366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
backward,100,train,1,0.000139968,4,,,,,,,,,,,,0,0.0027452916838228703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,100,val,0,0.000139968,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9396836757659912, 0.9389203190803528, 0.6706989407539368, 0.4179984927177429]",,,,0,,,0.939683735370636,0.938920259475708,0.670698881149292,0.41799843311309814,0.0,0.0,0.0,0.0,0.9396836757659912,0.9389203190803528,0.6706989407539368,0.4179984927177429,,,,,,,,,,,,,,,,
