epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,2.043696165084839,1.9948502779006958,2.0031628608703613,0.14285714285714285,0.168,0.149,0.005,0.168,0.149,0,Accuracy,higher,hpo,0
1,1.9915697574615479,1.9821659326553345,1.9765512943267822,0.2,0.078,0.087,0.005,0.168,0.149,0,Accuracy,higher,hpo,0
2,2.0653529167175293,1.9203898906707764,1.92604660987854,0.2357142857142857,0.184,0.161,0.005,0.184,0.161,2,Accuracy,higher,hpo,0
3,1.9599454402923584,1.871930718421936,1.8828542232513428,0.30714285714285716,0.194,0.198,0.005,0.194,0.198,3,Accuracy,higher,hpo,0
4,1.9680633544921875,1.857715368270874,1.870010495185852,0.2714285714285714,0.196,0.187,0.005,0.196,0.187,4,Accuracy,higher,hpo,0
5,1.9411320686340332,1.839393973350525,1.8499408960342407,0.44285714285714284,0.31,0.314,0.005,0.31,0.314,5,Accuracy,higher,hpo,0
6,1.9092952013015747,1.822973608970642,1.830129861831665,0.5571428571428572,0.27,0.268,0.005,0.31,0.314,5,Accuracy,higher,hpo,0
7,1.8015280961990356,1.8033753633499146,1.8094987869262695,0.5928571428571429,0.36,0.355,0.005,0.36,0.355,7,Accuracy,higher,hpo,0
8,1.8389735221862793,1.7696291208267212,1.7752599716186523,0.6,0.37,0.351,0.005,0.37,0.351,8,Accuracy,higher,hpo,0
9,1.7529337406158447,1.7291938066482544,1.734968900680542,0.6357142857142857,0.406,0.397,0.005,0.406,0.397,9,Accuracy,higher,hpo,0
10,1.7988917827606201,1.6641919612884521,1.6736674308776855,0.8285714285714286,0.584,0.585,0.005,0.584,0.585,10,Accuracy,higher,hpo,0
11,1.5908989906311035,1.5822851657867432,1.5955002307891846,0.9,0.69,0.703,0.005,0.69,0.703,11,Accuracy,higher,hpo,0
12,1.6239070892333984,1.4980556964874268,1.5126129388809204,0.8857142857142857,0.666,0.661,0.005,0.69,0.703,11,Accuracy,higher,hpo,0
13,1.4169729948043823,1.3710976839065552,1.3832449913024902,0.9285714285714286,0.694,0.682,0.005,0.694,0.682,13,Accuracy,higher,hpo,0
14,1.2926537990570068,1.168148398399353,1.1832612752914429,0.9571428571428572,0.73,0.721,0.005,0.73,0.721,14,Accuracy,higher,hpo,0
15,1.1216487884521484,0.9468013644218445,0.966339111328125,0.9642857142857143,0.748,0.74,0.005,0.748,0.74,15,Accuracy,higher,hpo,0
16,0.9490760564804077,0.8345789909362793,0.8525636196136475,0.9642857142857143,0.752,0.761,0.005,0.752,0.761,16,Accuracy,higher,hpo,0
17,0.8001731038093567,0.794407308101654,0.8047413229942322,0.9714285714285714,0.76,0.751,0.005,0.76,0.751,17,Accuracy,higher,hpo,0
18,0.6702616810798645,0.7264625430107117,0.7341700196266174,0.9714285714285714,0.78,0.775,0.005,0.78,0.775,18,Accuracy,higher,hpo,0
19,0.5837061405181885,0.7121622562408447,0.7149560451507568,0.9785714285714285,0.744,0.756,0.005,0.78,0.775,18,Accuracy,higher,hpo,0
20,0.5603708624839783,0.6758952736854553,0.6670700311660767,0.9785714285714285,0.778,0.776,0.005,0.78,0.775,18,Accuracy,higher,hpo,0
21,0.49992480874061584,0.6933197975158691,0.6835720539093018,0.9857142857142858,0.778,0.768,0.005,0.78,0.775,18,Accuracy,higher,hpo,0
22,0.4339410364627838,0.643266499042511,0.6290765404701233,0.9857142857142858,0.79,0.796,0.005,0.79,0.796,22,Accuracy,higher,hpo,0
23,0.4214739203453064,0.6474648714065552,0.632567286491394,0.9928571428571429,0.784,0.789,0.005,0.79,0.796,22,Accuracy,higher,hpo,0
24,0.3248216211795807,0.6461344957351685,0.6239125728607178,0.9928571428571429,0.782,0.791,0.005,0.79,0.796,22,Accuracy,higher,hpo,0
25,0.2856100797653198,0.6730757355690002,0.6466026902198792,0.9928571428571429,0.778,0.786,0.005,0.79,0.796,22,Accuracy,higher,hpo,0
26,0.2343326061964035,0.6494432091712952,0.6195006966590881,0.9928571428571429,0.782,0.803,0.005,0.79,0.796,22,Accuracy,higher,hpo,0
27,0.20407535135746002,0.647821843624115,0.6148843765258789,1.0,0.796,0.8,0.005,0.796,0.8,27,Accuracy,higher,hpo,0
