epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9462401866912842,1.9457478523254395,1.9464772939682007,0.32857142857142857,0.246,0.249,0.01,0.246,0.249,0,Accuracy,higher,hpo,0
1,1.939693570137024,1.9400715827941895,1.9405021667480469,0.7142857142857143,0.392,0.383,0.01,0.392,0.383,1,Accuracy,higher,hpo,0
2,1.9234882593154907,1.9318162202835083,1.931670069694519,0.8928571428571429,0.448,0.453,0.01,0.448,0.453,2,Accuracy,higher,hpo,0
3,1.9058164358139038,1.9207050800323486,1.9200420379638672,0.9,0.398,0.402,0.01,0.448,0.453,2,Accuracy,higher,hpo,0
4,1.8785200119018555,1.9076679944992065,1.9066064357757568,0.9642857142857143,0.49,0.503,0.01,0.49,0.503,4,Accuracy,higher,hpo,0
5,1.849368691444397,1.8899484872817993,1.8887070417404175,0.9857142857142858,0.7,0.696,0.01,0.7,0.696,5,Accuracy,higher,hpo,0
6,1.8041893243789673,1.8706765174865723,1.8693617582321167,0.9928571428571429,0.756,0.753,0.01,0.756,0.753,6,Accuracy,higher,hpo,0
7,1.7503827810287476,1.8479753732681274,1.8467339277267456,0.9928571428571429,0.748,0.776,0.01,0.756,0.753,6,Accuracy,higher,hpo,0
8,1.7144348621368408,1.821962833404541,1.8207697868347168,0.9928571428571429,0.75,0.775,0.01,0.756,0.753,6,Accuracy,higher,hpo,0
9,1.6421756744384766,1.7933520078659058,1.7921137809753418,0.9928571428571429,0.744,0.776,0.01,0.756,0.753,6,Accuracy,higher,hpo,0
10,1.5759469270706177,1.763346791267395,1.7616984844207764,1.0,0.744,0.769,0.01,0.756,0.753,6,Accuracy,higher,hpo,0
11,1.5151017904281616,1.7304617166519165,1.7285925149917603,1.0,0.74,0.764,0.01,0.756,0.753,6,Accuracy,higher,hpo,0
12,1.4547886848449707,1.694969892501831,1.6925439834594727,1.0,0.73,0.762,0.01,0.756,0.753,6,Accuracy,higher,hpo,0
