event,epoch,phase,layer_id,lr,num_hops,edge_hops,branch_names,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_mean_hop_3,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,weights_std_hop_3,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,hop_scalar_hop_3,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2,attention_norm_entropy_mean_hop_3,attention_mae_from_baseline_hop_3,attention_max_abs_diff_from_baseline_hop_3,attention_cosine_to_baseline_hop_3
forward,0,train,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949999988079071, 0.8999999761581421, 0.699999988079071, 0.44999998807907104]",,,,0,,,0.949999988079071,0.9000000357627869,0.7000000476837158,0.45000001788139343,0.0,0.0,0.0,0.0,0.949999988079071,0.8999999761581421,0.699999988079071,0.44999998807907104,,,,,,,,,,,,,,,,
backward,0,train,0,0.01,4,,,,,,,,,,,,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,0,val,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949522852897644, 0.8990963697433472, 0.697895884513855, 0.45247599482536316]",,,,0,,,0.949522852897644,0.8990963101387024,0.697895884513855,0.45247596502304077,0.0,0.0,0.0,0.0,0.949522852897644,0.8990963697433472,0.697895884513855,0.45247599482536316,,,,,,,,,,,,,,,,
forward,0,test,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.949522852897644, 0.8990963697433472, 0.697895884513855, 0.45247599482536316]",,,,0,,,0.949522852897644,0.8990963101387024,0.697895884513855,0.45247596502304077,0.0,0.0,0.0,0.0,0.949522852897644,0.8990963697433472,0.697895884513855,0.45247599482536316,,,,,,,,,,,,,,,,
forward,50,train,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9607133865356445, 0.877112090587616, 0.6360449194908142, 0.4589124619960785]",,,,0,,,0.9607133269309998,0.8771121501922607,0.6360449194908142,0.4589124321937561,0.0,0.0,0.0,0.0,0.9607133865356445,0.877112090587616,0.6360449194908142,0.4589124619960785,,,,,,,,,,,,,,,,
backward,50,train,0,0.01,4,,,,,,,,,,,,0,0.00355508248321712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forward,50,val,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9610046744346619, 0.8760879039764404, 0.6350638270378113, 0.45949363708496094]",,,,0,,,0.9610046744346619,0.8760879635810852,0.6350638270378113,0.4594936668872833,0.0,0.0,0.0,0.0,0.9610046744346619,0.8760879039764404,0.6350638270378113,0.45949363708496094,,,,,,,,,,,,,,,,
forward,50,test,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9610046744346619, 0.8760879039764404, 0.6350638270378113, 0.45949363708496094]",,,,0,,,0.9610046744346619,0.8760879635810852,0.6350638270378113,0.4594936668872833,0.0,0.0,0.0,0.0,0.9610046744346619,0.8760879039764404,0.6350638270378113,0.45949363708496094,,,,,,,,,,,,,,,,
forward,100,train,0,0.01,4,3,"[""root"", ""hop_0"", ""hop_1"", ""hop_2""]","[2708, 4]","[2708, 4]",,"[2708, 4, 64]","[false, false, false, false]","[0.9694318175315857, 0.8114116191864014, 0.5640377402305603, 0.47650226950645447]",,,,0,,,0.9694317579269409,0.8114116191864014,0.5640376806259155,0.47650226950645447,0.0,0.0,0.0,0.0,0.9694318175315857,0.8114116191864014,0.5640377402305603,0.47650226950645447,,,,,,,,,,,,,,,,
backward,100,train,0,0.01,4,,,,,,,,,,,,0,0.0025639792438596487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
