epoch,train_loss,val_loss,test_loss,train_metric,val_metric,test_metric,lr,best_val_metric,best_test_metric,best_epoch,metric_name,metric_direction,run_mode,seed
0,1.9462419748306274,1.9458129405975342,1.9464905261993408,0.16428571428571428,0.164,0.149,0.01,0.164,0.149,0,Accuracy,higher,hpo,0
1,1.9405827522277832,1.9401518106460571,1.9406174421310425,0.7785714285714286,0.458,0.434,0.01,0.458,0.434,1,Accuracy,higher,hpo,0
2,1.9277299642562866,1.9321293830871582,1.932262659072876,0.8714285714285714,0.468,0.473,0.01,0.468,0.473,2,Accuracy,higher,hpo,0
3,1.9114153385162354,1.9228013753890991,1.922565221786499,0.9428571428571428,0.522,0.512,0.01,0.522,0.512,3,Accuracy,higher,hpo,0
4,1.8885005712509155,1.910529375076294,1.9099980592727661,0.9857142857142858,0.654,0.655,0.01,0.654,0.655,4,Accuracy,higher,hpo,0
5,1.8595914840698242,1.8952357769012451,1.8945266008377075,0.9928571428571429,0.736,0.734,0.01,0.736,0.734,5,Accuracy,higher,hpo,0
6,1.8188855648040771,1.8779281377792358,1.8771686553955078,0.9928571428571429,0.736,0.751,0.01,0.736,0.734,5,Accuracy,higher,hpo,0
7,1.7696619033813477,1.858020305633545,1.8572173118591309,0.9928571428571429,0.726,0.75,0.01,0.736,0.734,5,Accuracy,higher,hpo,0
8,1.734899878501892,1.8340163230895996,1.8331133127212524,0.9857142857142858,0.726,0.749,0.01,0.736,0.734,5,Accuracy,higher,hpo,0
9,1.6666618585586548,1.8060604333877563,1.8050576448440552,1.0,0.72,0.749,0.01,0.736,0.734,5,Accuracy,higher,hpo,0
10,1.5972330570220947,1.775944471359253,1.7744354009628296,1.0,0.724,0.746,0.01,0.736,0.734,5,Accuracy,higher,hpo,0
11,1.538731336593628,1.7434459924697876,1.7415324449539185,1.0,0.726,0.741,0.01,0.736,0.734,5,Accuracy,higher,hpo,0
12,1.483259916305542,1.7084133625030518,1.7059322595596313,1.0,0.726,0.741,0.01,0.736,0.734,5,Accuracy,higher,hpo,0
13,1.387359380722046,1.670289397239685,1.667043685913086,1.0,0.73,0.749,0.01,0.736,0.734,5,Accuracy,higher,hpo,0
14,1.2956633567810059,1.629751443862915,1.62546706199646,1.0,0.74,0.759,0.01,0.74,0.759,14,Accuracy,higher,hpo,0
15,1.2134407758712769,1.5863789319992065,1.5807663202285767,1.0,0.756,0.77,0.01,0.756,0.77,15,Accuracy,higher,hpo,0
16,1.1358897686004639,1.5417165756225586,1.5345813035964966,1.0,0.764,0.79,0.01,0.764,0.79,16,Accuracy,higher,hpo,0
17,1.0468701124191284,1.4954496622085571,1.4868669509887695,1.0,0.764,0.788,0.01,0.764,0.79,16,Accuracy,higher,hpo,0
18,0.9103673696517944,1.4477648735046387,1.4375602006912231,1.0,0.778,0.795,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
19,0.877918541431427,1.4033002853393555,1.3913755416870117,1.0,0.774,0.794,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
20,0.8344804644584656,1.3611258268356323,1.3477307558059692,1.0,0.772,0.788,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
21,0.7894493341445923,1.320379614830017,1.3062868118286133,1.0,0.756,0.789,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
22,0.6584426760673523,1.281534194946289,1.266311526298523,1.0,0.756,0.793,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
23,0.6514201760292053,1.2397215366363525,1.223659634590149,1.0,0.762,0.795,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
24,0.5485709309577942,1.1999253034591675,1.1822872161865234,1.0,0.764,0.795,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
25,0.5119163990020752,1.1605138778686523,1.1417956352233887,1.0,0.77,0.794,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
26,0.4647950232028961,1.1302711963653564,1.1096103191375732,1.0,0.774,0.799,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
27,0.4457046091556549,1.1052919626235962,1.0821921825408936,1.0,0.77,0.798,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
28,0.38991421461105347,1.0820341110229492,1.0573548078536987,1.0,0.766,0.793,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
29,0.3588365316390991,1.0640270709991455,1.0380735397338867,1.0,0.772,0.791,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
30,0.32192152738571167,1.047782063484192,1.0213134288787842,1.0,0.766,0.796,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
31,0.322278767824173,1.036786675453186,1.0094387531280518,1.0,0.76,0.792,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
32,0.28834137320518494,1.0278327465057373,0.9992898106575012,1.0,0.748,0.79,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
33,0.24904261529445648,1.016273856163025,0.9870947003364563,1.0,0.752,0.789,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
34,0.2746433615684509,1.0064795017242432,0.9768754243850708,1.0,0.748,0.786,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
35,0.2525207996368408,0.9978206753730774,0.9672840237617493,1.0,0.748,0.786,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
36,0.23872414231300354,0.9932624697685242,0.9615222811698914,1.0,0.75,0.779,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
37,0.236128568649292,0.9869785308837891,0.9538774490356445,1.0,0.746,0.776,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
38,0.21290288865566254,0.9807343482971191,0.9451344013214111,1.0,0.75,0.781,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
39,0.2117365002632141,0.9767705202102661,0.9391791820526123,1.0,0.746,0.786,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
40,0.21313385665416718,0.970896303653717,0.9323163628578186,1.0,0.748,0.788,0.01,0.778,0.795,18,Accuracy,higher,hpo,0
